course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses,prereq_course_codes,coreq_course_codes,dependency_count
A/ST 697,Research Capstone and Practicum,3,,,A/ST 600,,A/ST600,,1
ACCT 202,Managerial Accounting,3,,,ACCT 201 with a “C” or better and Pre-Business and Business majors only.,,ACCT201,,1
ACCT 300A,Intermediate Accounting,4,,,ACCT 201 with a grade of “C” or better. Accounting and Pre-Accounting majors only. Exclude freshmen.,ACCT 202,ACCT201,ACCT202,2
ACCT 300B,Intermediate Accounting,4,,,ACCT 300A with a grade of “C” or better. Accounting majors only. Exclude Freshmen.,,ACCT300A,,1
ACCT 320,Cost Accounting,4,,,ACCT 201 and ACCT 202 with a grade of “C” or better. Accounting and Pre-Accounting majors only. Freshmen excluded.,,ACCT201|ACCT202,,2
ACCT 351,Federal Tax Law,4,,,ACCT 201 with a grade of “C” or better. Accounting majors only. Exclude freshman.,,ACCT201,,1
ACCT 352,Voluntary Income Tax Assistance (VITA),1-4,,,ACCT 351,,ACCT351,,1
ACCT 400,Advanced Accounting,4,,,ACCT 300B with grade of “C” or better,,ACCT300B,,1
ACCT 460,Accountants’ Professional Responsibilities and Ethics,3,,,"ACCT 300B with a grade of “C” or better, I S 301",,ACCT300B|ACCT301,,2
ACCT 465,International Accounting,3,,,ACCT 201,,ACCT201,,1
ACCT 470,Auditing,4,,,ACCT 300B and ACCT 320 with grades of “C” or better; I S 301,,ACCT300B|ACCT320|ACCT301,,3
ACCT 480,Accounting Systems and Data Processing,4,,,ACCT 300B and ACCT 320 with grades of “C” or better; I S 300,,ACCT300B|ACCT320|ACCT300,,3
ACCT 493,Accounting Internships,3,,,ACCT 300A,,ACCT300A,,1
ACCT 610,Managerial Accounting and Control,3,,,ACCT 500 and MBA majors only.,,ACCT500,,1
ACCT 695,Selected Topics in Accountancy,3,,,ACCT 500 and MBA majors only.,,ACCT500,,1
ACCT 697,Directed Studies in Accountancy,1-4,,,ACCT 500,,ACCT500,,1
ACCT 699,Accountant’s Professional Responsibilities and Ethics,4,,,ACCT 611,,ACCT611,,1
AFRS 100B,Composition II,3,,,CSU General Education Written Communication Placement; credit in ENGL 100A,,ENGL100A,,1
AFRS 325,Africana Psychology,3,,,AFRS 110 or PSY 100,,AFRS110|PSY100,,2
AFRS 330,Politics of the African American Community,3,,,AFRS 110 and AFRS 121,,AFRS110|AFRS121,,2
AFRS 335,Economic Development in the African American Community,3,,,AFRS 110 and AFRS 121,,AFRS110|AFRS121,,2
AFRS 410,The African American Family,3,,,GE Foundation requirements. AFRS 325 or consent of instructor.,,AFRS325,,1
AFRS 475,Racism and Sexism: An Analytical Approach,3,,,AFRS 332,,AFRS332,,1
AFRS 495,Research Methods in Africana Studies,3,,,AFRS 110 and 6 units upper-division work in Africana Studies. For Department majors.,,AFRS110,,1
AH 300,Art History Careers,3,,,"Any two courses from: AH 111A, AH 111B, AH 111C, AH 111D, AH 111E, AH 111F, AH",,AH111A|AH111B|AH111C|AH111D|AH111E|AH111F,,6
AH 365,History of Prints and Drawings,3,,,AH 111A,,AH111A,,1
AH 400,19th Century Photography,3,,,AH 111A or AH 111B,,AH111A|AH111B,,2
AH 401,American Art to 1900,3,,,AH 111A and AH 111B,,AH111A|AH111B,,2
AH 408,Early Christian and Byzantine Art,3,,,AH 111A,,AH111A,,1
AH 409,Romanesque Art,3,,,AH 111A,,AH111A,,1
AH 410,Gothic Art,3,,,AH 111A or AH 111B,,AH111A|AH111B,,2
AH 411,20th Century Photography to the Present,3,,,AH 111A,,AH111A,,1
AH 416,Greek Art,3,,,AH 111A,,AH111A,,1
AH 417,Roman Art,3,,,School of Art majors and Art History minors only. AH 111A and AH 111B,,AH111A|AH111B,,2
AH 424,High Renaissance Art in Italy,3,,,Two of the following courses: AH 111A,,AH111A,,1
AH 425,Northern Renaissance Art,3,,,AH 111A and AH 111B,,AH111A|AH111B,,2
AH 426,Northern Baroque Art,3,,,AH 111A and AH 111B,,AH111A|AH111B,,2
AH 427,Southern Baroque Art,3,,,AH 111A,,AH111A,,1
AH 430,Introduction to Curatorial Practices,3,,,AH 111A and AH 111B,,AH111A|AH111B,,2
AH 431,History of Museums and Exhibitions,3,,,School of Art majors and Art History minors only. AH 111A,,AH111A,,1
AH 433,Exhibition and Display Practices,3,,,GE Foundation completed. AH 111B or consent of instructor. GE Advanced Skills Capstone.,,AH111B,,1
AH 436,"Neo-Classicism to Romanticism, 1789-1850",3,,,AH 111A,,AH111A,,1
AH 437,"Impressionism to Post-Impressionism, 1850-1900",3,,,AH 111A and AH 111B,,AH111A|AH111B,,2
AH 438,Art of Early to Mid-Twentieth Century,3,,,AH 111A and AH 111B,,AH111A|AH111B,,2
AH 439,Art of Mid to Late Twentieth Century,3,,,AH 111A,,AH111A,,1
AH 441,Contemporary Art in Context,3,,,AH 111A,,AH111A,,1
AH 444,History of Graphic Design,3,,,AH 111A,,AH111A,,1
AH 450,Art Theory and Criticism,3,,,AH 111A and AH 111B,,AH111A|AH111B,,2
AH 453,Arts of the African Diaspora,3,,,Art History minors. GE Foundation completed. Students must have scored 11 or higher on the GWAR Placement Examination or successfully completed the necessary portfolio course that is a prerequisite for a GWAR Writing AH 111A,,AH111A,,1
AH 455,Traditional Art of Africa: A Thematic Approach,3,,,AH 111A and AH 111B,,AH111A|AH111B,,2
AH 456,Native American Art,3,,,AH 111A and AH 111B,,AH111A|AH111B,,2
AH 457A,Pre-Columbian Art: Mesoamerica,3,,,Three units from AH 111A,,AH111A,,1
AH 457B,Pre-Columbian Art: The Andes,3,,,Three units from AH 111A,,AH111A,,1
AH 457C,Pre-Columbian Art,3,,,Three units from AH 111A,,AH111A,,1
AH 458,Art of Latin America: 1800-1940,3,,,,One of the following courses: AH 111A,,AH111A,1
AH 459,Art of Latin America: 1940-Present,3,,,Three units from AH 111A,,AH111A,,1
AH 460,Art of Mexico,3,,,Three units from AH 111A,,AH111A,,1
AH 465,Ancient Art of the Near East,3,,,Three units from AH 111A,,AH111A,,1
AH 466,Buddhist Art of India and S.E. Asia,3,,,Three units from AH 111A,,AH111A,,1
AH 467,Hindu and Islamic Art of India,3,,,Three units from AH 111A,,AH111A,,1
AH 468,Early Chinese Art,3,,,Three units from AH 111A,,AH111A,,1
AH 469,Later Chinese Art,3,,,Three units from AH 111A,,AH111A,,1
AH 470A,Japanese Buddhist Art to 1500,3,,,Three units from AH 111A,,AH111A,,1
AH 470B,Japanese Art 1500-1868,3,,,"AH 111A or AH 111B or AH 111D or AH 111E, or A/ST 393",,AH111A|AH111B|AH111D|AH111E|A/ST393,,5
AH 471B,Modern Japanese Plastic Art,3,,,One of the following: AH 111A,,AH111A,,1
AH 471C,Modern Japanese Architecture,3,,,Three units from AH 111A,,AH111A,,1
AH 496,Special Studies in Art History,3,,,AH 447,,AH447,,1
AH 497,Seminar in Art History,3,,,ART 311 or AH 446 or AH 453 or consent of instructor.,,ART311|AH446|AH453,,3
AH 499Q,Special Studies in Museum Studies,3,,,AH 431 or consent of instructor.,,AH431,,1
AH 542,Internship in Museum Studies,3,,,AH 430,,AH430,,1
AH 545B,Museum-Gallery Practices,3,,,AH 545A or consent of instructor.,,AH545A,,1
AH 570A,Japanese Buddhist Art to 1500,3,,,One of the following: AH 111A,,AH111A,,1
AMST 498,Senior Seminar in American Studies,3,,,Completion of AMST 300,6 additional units of upper-division AMST courses.,AMST300,,1
ANTH 363,Natural History of Primates,3,,,ANTH 110,,ANTH110,,1
ANTH 405,Principles of Archaeology,3,,,ANTH 140 or Consent of Instructor Completion of 60 Units.,Completion of 60 Units.,ANTH140|ANTH60,,2
ANTH 435,Human Evolution,3,,,ANTH 110,,ANTH110,,1
ANTH 436,Medical Anthropology,3,,,ANTH 353 recommended.,,ANTH353,,1
ANTH 439,Methods in Biological Anthropology,3,,,ANTH 110 and Department approved statistics course,,ANTH110,,1
ANTH 458,Ethnographic Methods,3,,,ANTH 120 or consent of instructor.,,ANTH120,,1
ANTH 501,Current Trends in Anthropological Theory,3,,,"ANTH 401 or equivalent, and graduate standing.",,ANTH401,,1
ANTH 514,Anthropology of Religion,3,,,ANTH 120 and upper-division/graduate standing or consent of instructor.,,ANTH120,,1
ANTH 517,Applied Anthropology,3,,,ANTH 120 and upper-division/graduate standing or consent of instructor.,,ANTH120,,1
ANTH 522,The Anthropology of Gender,3,,,Graduate standing or consent of instructor (ANTH 351 recommended).,,ANTH351,,1
ANTH 561,Basic Computer Research Applications in Anthropology,3,,,ANTH 560 or consent of instructor.,,ANTH560,,1
ANTH 570,Linguistic Field Methods,3,,,LING 420 and LING 421,,LING420|LING421,,2
ARAB 101B,Elementary Arabic 2,4,,,ARAB 101A,ARAB 101A,ARAB101A,ARAB101A,2
ARAB 201A,Intermediate Arabic 1,4,,,ARAB 101B or three years of high school Arabic or equivalent.,Any Foundation course,ARAB101B,,1
ARAB 201B,Intermediate Arabic 2,4,,,ARAB 201A or four years of high school Arabic or equivalent.,Any Foundation course,ARAB201A,,1
ART 132,Foundation Color Theory,3,,,ART 130,ART 130,ART130,ART130,2
ART 149,Foundation Computer Art,3,,,ART 130,,ART130,,1
ART 184,Foundation Life Drawing,3,,,ART 181,,ART181,,1
ART 265,Intro Studio: Fiber,3,,,ART 130,,ART130,,1
ART 271,Intro Studio: Illustration - Rendering,3,,,ART 130,,ART130,,1
ART 272,Drawing with Perspective,3,,,ART 130,,ART130,,1
ART 287,Intro Studio: Painting,3,,,ART 130,,ART130,,1
ART 291,Intro Studio: Animation,3,,,ART 130,,ART130,,1
ART 316,Core Studio: Fiber - Pattern Design/Printing,3,,,ART 130,,ART130,,1
ART 317,Core Studio: Fiber - Dyeing,3,,,ART 130,,ART130,,1
ART 318,Advanced Studio: Graphic Design - TYPE II: Intermediate,3,,,For Art Majors and Pre-Art majors: ART 130,"For Art Majors and Pre-Art Majors: ART 184; ART 132, ART 241, ART 270 or",ART130,ART184|ART132|ART241|ART270,5
ART 321,Graphic Design I: Introduction to Graphic Design,3,,,For Art Majors and Pre-Art Majors: ART 130,"For Art Majors and Pre-Art majors: ART 184; and ART 132, or ART 241, or",ART130,ART184|ART132|ART241,4
ART 327,Graphic Design II: Intermediate Graphic Design,3,,,ART 223,,ART223,,1
ART 328,Core Studio: Fiber - Soft Forms,3,,,ART 265,,ART265,,1
ART 329,Core Studio: Fiber - Structures,3,,,ART 265 and Art majors only; or consent of Department Advisor or Instructor,,ART265,,1
ART 332,Graphic Design: Professional Preparation,3,,,ART 318,,ART318,,1
ART 334,Core Studio: Graphic Design - Exploration and Experimentation,3,,,ART 327,,ART327,,1
ART 335,Graphic Design - Concept Development,3,,,ART 223 and ART 321,,ART223|ART321,,2
ART 336,Core Studio: Graphic Design - Development and Analysis,3,,,ART 327,,ART327,,1
ART 337,Core Studio: Graphic Design - Packaging,3,,,ART 334,,ART334,,1
ART 340,Core Studio: Photography - Darkroom,3,,,ART 130,ART 181,ART130,ART181,2
ART 341A,Core Studio: Ceramic Arts - Hand-building,3,,,ART 251A,,ART251A,,1
