course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
FMD 152,Quick Sketch for Fashion,1,,,"Pre-Fashion Design, Fashion Design majors and Fashion Design minors only",
FMD 154,Fundamentals of Apparel Production,3,,,"Open to Pre-Fashion Design majors or minors, Fashion Design majors or minors, or Fashion Merchandising majors only",
FMD 251,Fashion Strategies for Consumers,3,,,,"One GE foundation course Apparel selection for professional and personal needs based on design, culture and fashion"
FMD 255,Fashion Industry Ethics and Social Responsibility,3,,,A grade of “C” or better in FMD 155,
FMD 256,Intermediate Apparel Production,3,,,"A grade of “C” or better in FMD 154 , FMD 155 or FMD 251",
FMD 257,Introduction to Apparel Flat Pattern,3,,,"A grade of “C” or better in FMD 152 , FMD 154 , and FMD 155 or FMD 251",
FMD 258,Fashion Merchandising and Design Practicum,3,,,A grade of “C” or better in FMD 155,
FMD 296,Computer Applications for Professionals,3,,,"A grade of “C” or better in FMD 155; Open only to Fashion Merchandising majors/minors, Fashion Design majors/minors, and Textiles minors",
FMD 350,Fashion Forecasting,3,,,A grade of “C” or better in FMD 258 and FMD 296,
FMD 351,Fashion Promotion and Sales,3,,,FMD 155 and FMD 296 with a grade of “C” or better,
FMD 353,Intermediate Textiles,3,,,"A grade of “C” or better in the following: CHEM 100 , CHEM 111A , CHEM 112A or any general chemistry with a lab, and FMD 253",
FMD 354,Apparel Tailoring,3,,,"A grade of “C” or better in FMD 257; Fashion Design majors and minors only; Excludes first-time, first-year students",A grade of “C” or better in FMD 256
FMD 355,Fashion Buying,3,,,A grade of “C” or better in FMD 155 and FMD 258,
FMD 356,Fashion Retail Management,3,,,FMD 355,
FMD 357,Advanced Apparel Flat Pattern,3,,,"A grade of “C” or better in FMD 257; Fashion Design majors and minors only; Excludes first-time, first-year students",A grade of “C” or better in FMD 256
FMD 358,E-Commerce and Social Media in Fashion,3,,,A grade of “C” or better in FMD 155 and Junior standing,
FMD 359,Advanced Computer Applications for Fashion,2,,,"FMD 152 and FMD 296 , with grades of C or better",
FMD 450,Cultural Perspectives of Dress,3,,,GE Foundation requirements; a grade of “C” or better in ANTH 120 or SOC 100 or SOC 142 and upper-division standing,
FMD 451,The Fashion Customer,3,,,A grade of “C” or better in FMD 351,
FMD 452,Apparel Draping,3,,,"A grade of “C” or better in FMD 353 , FMD 357 , and FMD 359",
FMD 454,Experimental Apparel Design,3,,,A grade of “C” or better in FMD 452,
FMD 455,International Fashion Retailing,3,,,A grade of “C” or better in FMD 351 ; senior standing,
FMD 456,Historic Perspectives of Fashion,3,,,A grade of “C” or better in FMD 253 and junior standing,
FMD 457,Global Sourcing for the Fashion Industry,3,,,"Open only to Fashion Merchandising majors, Fashion Design majors, and Textiles minors",
FMD 458,Fashion Product Development,3,,,A grade of “C” or better in FMD 296 and FMD 353 ; senior standing,
FMD 459,Computerized Apparel Flat Pattern,3,,,"A grade of “C” or better in FMD 357 , FMD 359",
FMD 490B,New York Fashion Study Tour,,,,Freshmen are prohibited from enrolling in upper division courses,
FMD 492,Internship in Fashion Merchandising and Design,3,,,Open only to Fashion Merchandising majors and Fashion Design majors,
FMD 497,Directed Studies,,,,"Upper division standing, consent of instructor",
