course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
GLST 300,International Studies Core Seminar,3,,,GE foundations,
GLST 318,Cases in International Social Conflict,3,,,GE Foundations,
GLST 320,Migration and Modernity,3,,,Completion of all GE Foundation courses,
GLST 321,The Fabric of Everyday Life: Issues in the Analysis of Culture(s),3,,,"GE Foundation requirements, one Exploration course, and upper division standing",
GLST 339,"Global Transnational Feminisms: Contexts, Conflicts, and Solidarities",3,,,"GE Foundations What kind of feminist movement is possible when women across the globe have such different visions of what it means to thrive? This course examines the lives, activism, and movements these different visions engender, arguing for solidarity across diversity",
GLST 342,Powering the Future,3,,,"Completion of GE Foundation requirements, one GE Explorations course, upper division standing, and HDEV 190 , PSY 110 , SOC 170 , STAT 118 , MATH 122 , MATH 119A , MATH 115 , or ECON 101",
GLST 350,"Water: People, Politics, and Processes",3,,,GE Foundation requirements,
GLST 399,Contemporary Global Divisions of Labor,3,,,GE Foundations Course Description: Examines divisions of labor across the globe and modern global connectivity,
GLST 400,Global Competencies Abroad,3,,,,INTL 200 or INTL 400 or consent of department
GLST 405,Un-Imaging the Middle East,3,,,Upper-Division standing,
GLST 419,Applied International Development,3,,,GLST 319 recommended,
GLST 476,Power and Violence in Latin America and the Caribbean,3,,,GLST 200 or instructor consent,
GLST 490,Senior Research Seminar in International Studies,3,,,Senior standing or consent of the International Studies advisor and instructor,
GLST 491,Intercultural Competency for Education Abroad and Internships,1,,,Completion of GE Foundations,
GLST 492,International Studies Internship/Foreign Study,2,,,Consent of GLST advisor; completion of a minimum of 15 upper division units required for the major in International Studies,
GLST 493,Selected Topics in International Studies,,,,Consent of instructor,
GLST 499,Directed Studies,,,,Consent of instructor,
