course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
HRM 360,Organizational Behavior,3,,,"Business majors, Pre-Business majors, Human Resource Management minors, Entrepreneurship minors, and Asian Studies",
HRM 361,The Human Resource Function,3,,,"HRM majors and minors, MGMT, HFHM, Nutrition & Dietetics, CEM majors, Entrepreneurship minors, Pre-HRM majors or Pre-MGMT majors only",
HRM 445,Compensation Administration,3,,,( HRM 361 and I S 301 and HRM majors only) or ( HRM 361 or HCA 312 and HRM minors or Master of Science in Psychology Option in Industrial Organizational Psychology majors only),
HRM 446,Leadership and Motivation in Organizations,3,,,( HRM 360 and I S 301 and HRM & MGMT majors) or ( HRM 360 or HCA 410 and HRM minors),
HRM 458,Managing Culture and Diversity,3,,,( HRM 360 or HRM 361 & I S 301 and HRM and International Business majors only) or ( HRM 360 or HRM 361 or HCA 312 or HCA 410 and HRM minors only),
HRM 460,Current Issues in Human Resource Management,3,,,( HRM 360 or HRM 361 & I S 301 and HRM majors) or ( HRM 360 or HRM 361 or HCA 312 or HCA 410 and HRM minors) Exclude freshmen,
HRM 461,Employment Law,3,,,HRM Majors: HRM 360 or HRM 361 ; I S 301,
HRM 462,Labor-Management Relations,3,,,"I S 301 and HRM majors, or HRM minors",
HRM 463,Organizational Training and Development,3,,,( HRM 360 or HRM 361 & I S 301 and HRM majors) or ( HRM 360 or HRM 361 or HCA 312 or HCA 410 and HRM minors) Freshmen excluded,
HRM 465,Staffing and Performance Management,3,,,"( HRM 361 , I S 301 and HRM majors) or ( HRM 361 or HCA 312 and HRM minors) Freshmen excluded",
HRM 497,Directed Studies in Human Resource Management,,,,HRM majors only,
HRM 652,Seminar in Human Resources Management,3,,,MBA majors only,
HRM 654,Seminar in Negotiation and Conflict Management,3,,,MBA majors only,
HRM 655,Seminar in Motivation and Organization Change,3,,,MBA majors only,
HRM 657,Seminar in Leadership Skills,3,,,MBA majors only,
HRM 658,Diverse Talent Management,3,,,"Graduate standing, HRM 652 Principles of managing a diverse workforce, talent management, and multiculturalism are explored through individual, relationship, and team-level approaches",
HRM 697,Directed Studies in Human Resource Management,,,,Consent of department chair,
