course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
JOUR 240,Multimedia Storytelling,3,,,,JOUR 120 This course is designed to develop basic skills in multimedia storytelling
JOUR 300,Photojournalism,3,,,JOUR 120 with a grade of C or higher,
JOUR 305,Media Design,3,,,JOUR 120 with a grade of “C” or better,
JOUR 310,Writing for the LBC,3,,,"JOUR 120 with a grade of “C” or better, or consent of instructor Students will write general assignment stories for the Long Beach Current (LBC) newspaper and website",
JOUR 311,News Reporting and Ethics,3,,,JOUR 120 with a grade of “C” or better,
JOUR 312,Global News Media,3,,,"GE Foundation requirements, one or more Exploration courses and upper-division standing",
JOUR 315,Literary Journalism,3,,,Upper division status and completion of GE Foundation,
JOUR 318,Sports Journalism,3,,,JOUR 120 and JOUR 240 with a grade of “C” or better,
JOUR 321,Broadcast News Writing and Reporting,3,,,JOUR 120 with a grade of “C” or better,
JOUR 331,Editing for Print and Online,3,,,JOUR 120 with a grade of “C” or better,
JOUR 335,Entertainment Publicity,3,,,Upper division standing,
JOUR 340,Advanced Multimedia Journalism,3,,,JOUR 240 and JOUR 311 with a grade of “C” or better,
JOUR 360,Culture and Politics of the Internet,3,,,The entire Foundation curriculum along with one or more Explorations courses and upper-division standing,
JOUR 374,Media Relations Writing,3,,,JOUR 120 and JOUR 270 with a grade of “C” or better,
JOUR 375,Strategic Communication for Organizations,3,,,JOUR 120 and JOUR 270 with a grade of “C” or better,
JOUR 380,Advanced Photojournalism,3,,,"JOUR 120 with a grade of “C” or better, JOUR 300",
JOUR 405,Advanced Media Design,3,,,"JOUR 120 with a grade of “C” or better, JOUR 305",
JOUR 420,Beat Reporting for the LBC,3,,,JOUR 240 and JOUR 311 with a grade of “C” or better,
JOUR 425,"The Business of Journalism: Advertising, Operations and Strategic Communication for Media Organizations",3,,,Upper division standing,
JOUR 430,Communication Law and Policy,3,,,Upper division standing,
JOUR 431,Mass Media Ethics,3,,,Sophomore standing and above,
JOUR 440,Trends in Online Media,3,,,JOUR 120 and JOUR 240 with a grade of “C” or better,
JOUR 450,Bilingual Journalism,3,,,"JOUR 240 and JOUR 311 with grades of C or better or instructor consent This course covers bilingual reporting on diverse communities, with an emphasis on Latinx populations",
JOUR 470,Digital Tools for Public Relations,3,,,"JOUR 120 and JOUR 270 with a grade of “C” or better This course covers challenges and opportunities presented to public relations practitioners in the digital age, how social media are changing the communication landscape, and best practices in digital public relations including social media strategies, search engine optimization and media monitoring",
JOUR 471,Public Relations Management and Campaigns,3,,,JOUR 374 or JOUR 375 with a grade of “C” or better,
JOUR 478,Public Relations Case Studies,3,,,Upper division standing,
JOUR 480,Magazine Writing and Editing,3,,,JOUR 240 and JOUR 311 with a grade of “C” or better,
JOUR 482,Television News Production and Performance,3,,,JOUR 120 and JOUR 321 with a grade of “C” or better,
JOUR 485,Public Relations Agency,3,,,Consent of the instructor,
JOUR 494,Research Methods,3,,,Upper division standing,
JOUR 495,Enterprise Reporting in Diverse Communities,3,,,JOUR 240 and JOUR 311 with a grade of “C” or better Students conceive stories and report on diverse neighborhoods throughout Long Beach,
JOUR 498,Internship,3,,,Senior standing or consent of instructor,
