course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
POSC 362,Society and National Politics of China,3,,,Upper division status; completion of GE Foundation,
POSC 401,Feminist Political Theory,3,,,Upper-division status; completion of GE foundation,
POSC 417,Legal Practices: Moot Court,3,,,"POSC 311 or POSC 312 , and either POSC 412 or POSC 414 ; and upper division standing",
POSC 418,Legal/Judicial Apprenticeship,3,,,Consent of instructor,
POSC 447,Public Service Internship I,3,,,Consent of instructor,
POSC 448,Public Service Internship II,3,,,Consent of instructor,
POSC 490H,Honors Seminar,3,,,Admission to the Honors Program in Political Science,
POSC 491H,Honors Research,3,,,Admission to the Honors Program in Political Science,
POSC 492H,Honors Thesis,3,,,POSC 491H,
POSC 493,Selected Topics in Political Science,3,,,Consent of instructor,
POSC 496,Washington Center Internship,3,,,Upper-division standing and consent of instructor,
POSC 497,Selected Topics in Political Science,3,,,Consent of instructor,
POSC 498,Practicum in Politics,,,,Consent of instructor and department chair,
POSC 499,Readings and Conference in Political Science,,,,Consent of instructor,
POSC 500,Foundations and Scope of Political Science,3,,,Graduate standing in Political Science or consent of instructor,
POSC 525,Seminar in Political Theory,3,,,Graduate standing in political science or consent of instructor,
POSC 550,Research Methods in Political Science,3,,,Graduate standing in political science or consent of instructor,
POSC 590,Advanced Study,3,,,Consent of Graduate Coordinator and Instructor,
POSC 599,Graduate Studies,3,,,Consent of Graduate Coordinator and instructor,
POSC 600,Seminar in International Politics,3,,,Graduate standing in Political Science or consent of instructor; POSC 371 or equivalent,
POSC 605,Selected Topics in International Politics,3,,,"Graduate standing in political science or consent of instructor Analysis of historical and contemporary international events, processes, trends, and system dynamics",
POSC 610,Seminar in Comparative Politics,3,,,Three upper division units in comparative government,
POSC 615,Selected Topics in Comparative Politics,3,,,"Graduate standing in political science or consent of instructor Application of comparative politics concepts and theories to contemporary issues, with particular emphasis on the policy implications for various countries and regions of the world",
POSC 640,Seminar in American Political Behavior,3,,,"Graduate standing in political science or consent of instructor Examination of contemporary literature on mass political behavior in the United States, including overt forms of political behavior such as voting, and long-standing questions about the origins and consequences of the American public’s political attitudes",
POSC 642,Seminar in American Political Institutions,3,,,Graduate standing in political science or consent of instructor Examination of U,
POSC 644,Selected Topics in Policy and Politics,3,,,Graduate standing in political science or consent of instructor Approaches to the study of American policy and politics,
POSC 646,Selected Topics in Law and Politics,3,,,"Graduate standing in political science or consent of instructor Examination of the role, processes, and dynamics of law, courts, and judges in the American political system, including law and American society; political controversies over judges, courts and cases; features of courts; judicial selection and decision-making; legal interpretation; and judicial effectiveness",
POSC 695,College Teaching Practicum,3,,,Consent of Graduate Coordinator,
POSC 697,Directed Research,3,,,Consent of Graduate Coordinator,
POSC 698,Thesis,3,,,Consent of Graduate Coordinator,
