course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
COTA 400,Introduction to Interdisciplinary Arts: Theory and Practicum,3,,,"Junior, Senior or Graduate standing",
COTA 492A,COTA Internship,3,,,Upper division standing and declared College of Arts major and permission of instructor,
COTA 492B,COTA Internship,3,,,Upper division standing and declared College of Arts major and permission of instructor,
COUN 191,Career and Personal Explorations,3,,,,Any foundation (G
COUN 360,Life and Career Decisions,3,,,"Completion of GE Foundation requirements, one or more Explorations courses, and upper-division standing",
COUN 506,Introduction to School Counseling,3,,,School Counseling Majors Only,
COUN 507,Foundations of Career Development in K-12 Schools,3,,,COUN 506,
COUN 508A,Family Systems Applied to Aging and Lifespan Development,3,,,Counseling Psychology Majors Only,
COUN 508B,Family Systems Methods,3,,,COUN 508A or consent of instructor,
COUN 510,Law and Ethics for Counselors,3,,,"Counseling Psychology Majors, School Counseling Majors, or Student Development in Higher Education Majors only",
COUN 511,Counseling the Alcohol/Chemically Dependent Person,2,,,Counseling Psychology Majors Only,
COUN 512,Child and Spousal/Partner Abuse,1,,,Counseling Psychology Majors Only,
COUN 513,Introduction to Clinical Interviewing,3,,,"Counseling Psychology Majors, School Counseling Majors, or Student Development in Higher Education Majors only",
COUN 514,Psychopharmacology for Counselors,3,,,COUN 513,
COUN 515,Counseling Theories,3,,,,COUN 513
COUN 522,Counseling Methods and Techniques,3,,,,"COUN 513 , COUN 515"
COUN 543,Human Sexuality Counseling,3,,,COUN 515,
COUN 555,Cross-Cultural Counseling,3,,,"COUN 510 , COUN 513 , COUN 515 ; COUN 506 for School Counseling Option, SDHE 510 for SDHE Option",
COUN 556,Counseling Children and Adolescents,3,,,COUN 515,
COUN 557,Counseling Couples,3,,,COUN 515,
COUN 559,Play and Art Therapy for Children/Adolescents,3,,,Counseling Psychology Majors Only,
COUN 601,Trauma and Grief Counseling,3,,,COUN 556,
COUN 602,College Counseling for Equity and Access in K-12 Schools,3,,,"COUN 513 , School Counseling and Student Development in Higher Education majors only",
COUN 604,Multi-Tiered Systems of Support (MTSS) for School Counselors,3,,,COUN 506 and Department Consent,
COUN 605,Mental Health and Crisis Response in Schools,3,,,School Counseling Majors or Department Consent,
COUN 606,School Counseling Curriculum and Instructional Design,3,,,COUN 506,COUN 643A or COUN 644A
COUN 607,School Counseling Practicum,3,,,"COUN 506 , COUN 513 , Certificate of Clearance",COUN 515 Candidates gain exposure to the climate and conditions within the K-12 school setting and the role of the school counselor
COUN 608,Psychological Assessment and Testing,3,,,"COUN 510 , COUN 511 , COUN 512 , COUN 513 , COUN 515 , COUN 522",
COUN 609,Counseling Psychology Practicum,4,,,"COUN 510 , COUN 511 , COUN 512 , COUN 513 , COUN 515 , COUN 522 , and COUN 608",
COUN 638,Group Counseling,3,,,"COUN 510 , COUN 513 , COUN 515",
COUN 643A,Counseling Field Work (School Counseling),3,,,"COUN 607, COUN 638","COUN 606, EDP 596"
COUN 643D,Counseling Field Work (Counseling Psychology),3,,,"COUN 608 , COUN 609",
COUN 644A,Advanced Counseling Fieldwork (Advanced School Counseling),3,,,"EDP 596, COUN 606, COUN 643A",
COUN 644D,Advanced Counseling Field Work (Counseling Psychology),3,,,"COUN 638 , COUN 643D",
COUN 685,Community Mental Health Counseling,1,,,Counseling Psychology Majors Only,
COUN 695C,Integrative Seminar in Professional School Counseling,3,,,"COUN 555 , EDP 596 , COUN 643A",COUN 644A
CRES 698,Capstone in Comparative Ethnic Studies,3,,,"CRES 519, CRES 520",
CRJU 101,The Criminal Justice System in Society,3,,,,One GE Foundation course
CRJU 300,"Research, Writing, and Reasoning for Criminology and Criminal Justice",3,,,A grade of “C” or better in ENGL 100B or GE English Composition (Area 1A) or GE Critical Thinking (Area 1B),
CRJU 301,Criminal Courts and Judicial Processes,3,,,A grade of “C” or better in CRJU 101,CRJU 110 or CRJU 300
CRJU 302,Policing,3,,,A grade of “C” or better in CRJU 101,CRJU 110 or CRJU 300
CRJU 303,"Corrections: Theory, Policy, and Practice",3,,,A grade of “C” or better in CRJU 101,CRJU 110 or CRJU 300
CRJU 304,Criminological Theory,3,,,"A grade of “C” or better in CRJU 101 and CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110)",
CRJU 320,Criminal Justice Research Methods,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 304",
CRJU 325,Statistics for Criminal Justice,4,,,"A grade of “C” in CRJU 101, CRJU 110 or CRJU 300 , and CRJU 304",
CRJU 330,"Criminal Justice Ethics, Values, and Diversity",3,,,CRJU 302 and CRJU 303,
CRJU 340,Substantive Criminal Law,3,,,A grade of “C” or better in CRJU 301,
CRJU 350,Constitutional Criminal Procedure,3,,,A grade of “C” or better in CRJU 301,
CRJU 401,Victimology,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 304",
CRJU 402,Crime and Inequality,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 304",
CRJU 403,Comparative Criminal Justice and Transnational Crimes,3,,,"A grade of “C” or better in CRJU 101 and CRJU 300 (or as previously offered before Fall 2023, CRJU 110)",
CRJU 404,"Terrorism, Homeland Security, and Criminal Justice",3,,,"A grade of “C” or better in CRJU 101 and CRJU 300 (or as previously offered before Fall 2023, CRJU 110)",
CRJU 406,Delinquency and the Juvenile Justice System,3,,,"A grade of “C” or better in CRJU 101 and CRJU 300 (or as previously offered before Fall 2023, CRJU 110)",
CRJU 408,Serial Killers and Psychopaths: The Psychology of the Criminal Mind,3,,,A grade of “C” or better in CRJU 304,
CRJU 409,Drugs and the Drug War,3,,,"A grade of “C” or better in CRJU 101 and CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110)",
CRJU 410,Police Administration,3,,,A grade of “C” or better in CRJU 302 and CRJU 330,
CRJU 412,Criminal Investigation,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 302 , and CRJU majors only",
CRJU 420,Legal Aspects of Corrections,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 303",
CRJU 423,Correctional Environments,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 303 , and instructor consent",
CRJU 425,Collateral Consequences of Incarceration,3,,,"A grade of “C” or better in CRJU 101 , CRJU 110 or CRJU 300 , and CRJU 303 , or instructor consent",
CRJU 426,Social Justice in Action,3,,,A grade of “C” or better in CRJU 101,CRJU 110 or CRJU 300
CRJU 430,Criminal Evidence and Trials,3,,,"A grade of “C” or better in CRJU 301 , and CRJU 340 or CRJU 350",
CRJU 432,"Probation, Parole and Community Corrections",3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 303",
CRJU 440,Criminalistics: Forensic Science in the Crime Laboratory,3,,,A grade of “C” or better in CRJU 230,
CRJU 441,Investigating High-Tech Crimes,3,,,A grade of “C” or better in CRJU 230,
CRJU 442,Forensic Psychology and the Criminal Justice System,3,,,A grade of “C” or better in CRJU 301,
CRJU 443,Forensic Pathology and the Medical-Legal Investigation of Death,3,,,A grade of “C” or better in CRJU 230,
CRJU 444,Forensic Photography,3,,,A grade of “C” or better in CRJU 230,
CRJU 450,Domestic Violence and the Criminal Justice System,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), CRJU 301 , CRJU 302 , and CRJU 304",
CRJU 460,Introduction to Crime Analysis,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), CRJU 304",
CRJU 461,Crime Analysis Technique 1: Social Network Analysis,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 304",
CRJU 462,Crime Analysis Technique 2: Crime Mapping,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), CRJU 304 , CRJU 460 , and GEOG 471",
CRJU 463,Crime Analysis Technique 3: Intelligence Analysis,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), CRJU 304 , and CRJU 460",
CRJU 490,Selected Topics in Criminal Justice,3,,,A grade of “C” or better in all 300-level core courses,
CRJU 497,Directed Research or Independent Study,3,,,"A grade of “C” or better in all 300-level core courses ( CRJU 301 , CRJU 302 , CRJU 303 , CRJU 304 , CRJU 320 , CRJU 325 , CRJU 330 , CRJU 340 , and CRJU 350 ) and department consent",
CRJU 498,Senior Thesis,3,,,"A grade of “C” or better in all 300-level core courses ( CRJU 301 , CRJU 302 , CRJU 303 , CRJU 304 , CRJU 320 , CRJU 325 , CRJU 330 , CRJU 340 , and CRJU 350 ); a minimum 3",
CRJU 501,Proseminar and Professional Writing in Criminology and Criminal Justice,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 504,Criminological Theory,3,,,Open to Criminology & Criminal Justice master’s students only who have taken CRJU 304 or an equivalent undergraduate-level course in criminological theory as approved by the graduate advisor or graduate advisor permission,
CRJU 520,Advanced Criminal Justice Research Methods,3,,,Open to Criminology & Criminal Justice master’s students only who have taken CRJU 320 or an equivalent undergraduate-level social scientific research methods course as approved by the graduate advisor or graduate advisor permission,
CRJU 525,Advanced Statistics for Criminal Justice,3,,,Open to Criminology & Criminal Justice master’s students only who have taken CRJU 325 or an equivalent undergraduate-level social science statistics course as approved by the graduate advisor or graduate advisor permission,
CRJU 530,"Criminal Justice Ethics, Values, and Diversity",3,,,Open to Criminology & Criminal Justice master’s students only and graduate advisor permission,
CRJU 535,Criminal Justice Policy,3,,,"Open to Criminology & Criminal Justice master’s students only who have taken CRJU 504 , CRJU 520 , and CRJU 525 or graduate advisor permission",
CRJU 540,Substantive Criminal Law,3,,,Open to Criminology & Criminal Justice master’s students only and graduate advisor permission,
CRJU 550,Constitutional Criminal Procedure,3,,,Open to Criminology & Criminal Justice master’s students only and graduate advisor permission,
CRJU 555,"Law, Justice, and Social Control",3,,,Open to Criminology & Criminal Justice master&rsquo;s students only who have taken CRJU 504 and CRJU 520 or graduate advisor permission,
CRJU 601,Victimology,3,,,A grade of “B” or better in CRJU 504 or consent of instructor,
CRJU 604,"Terrorism, Homeland Security, and Criminal Justice",3,,,Open to Criminology & Criminal Justice master’s students and EMER majors only or graduate advisor permission,
CRJU 606,Delinquency and the Juvenile Justice System,3,,,A grade of “B” or better in CRJU 501 and CRJU 504 or consent of instructor,
CRJU 608,Serial Killers and Psychopaths: The Psychology of the Criminal Mind,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 609,Drugs and the Drug War,3,,,A grade of “B” or better in CRJU 501 and CRJU 504 or consent of instructor,
CRJU 621,Administration and Management of Criminal Justice Organizations,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 623,Correctional Environments,3,,,"Open to Criminology & Criminal Justice master’s students only who have taken CRJU 501 , CRJU 504 , CRJU 520 , or graduate advisor permission, and consent of instructor",
CRJU 625,Collateral Consequences of Incarceration,3,,,A grade of “B” or better in CRJU 501 and CRJU 504 ;or consent of instructor,
CRJU 626,Social Justice in Action,3,,,A grade of “B” or better in CRJU 501 and CRJU 504 ;or consent of instructor,
CRJU 640,Criminalistics: Forensic Science in the Crime Laboratory,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 641,Investigating High-Tech Crimes,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 642,Forensic Psychology and the Criminal Justice System,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 643,Forensic Pathology and the Medical-Legal Investigation of Death,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 660,Introduction to Crime Analysis,3,,,Open to Criminology & Criminal Justice master&rsquo;s students only or graduate advisor permission,
CRJU 661,Crime Analysis Technique 1: Social Network Analysis,3,,,CRJU 660,
CRJU 662,Crime Analysis Technique 2: Crime Mapping,3,,,CRJU 660,
CRJU 663,Crime Analysis Technique 3: Intelligence Analysis,3,,,CRJU 660,
CRJU 690,Selected Topics in Criminal Justice,3,,,A grade of “B” or better in CRJU 504 or consent of instructor,
CRJU 691,Instructional Strategies for Criminal Justice Professionals,3,,,Open to Criminology and Criminal Justice master’s students only who have advanced to candidacy and graduate advisor permission,Consent of instructor
CRJU 694,Thesis I,3,,,Open to Criminology and Criminal Justice master’s students only who have advanced to candidacy and graduate advisor permission,
CRJU 695,Directed Readings/Independent Study,,,,Open to Criminology & Criminal Justice master’s students only and graduate advisor permission,
CRJU 697,Directed Research,3,,,Open to Criminology & Criminal Justice master’s students only and graduate advisor permission,
CRJU 698,Thesis II,3,,,A grade of “B” or better in CRJU 694,
CWL 115,Intro to Health Humanities,3,,,,One GE Foundation course
CWL 206,"Science Fiction, Fantasy, and Horror",3,,,,One GE Foundation course
CWL 225,Short Stories of the World,3,,,,One GE Foundation course
CWL 242,The Bible As Literature,3,,,One GE Foundation course,
CWL 265,Intro to Literary Theory,3,,,,One GE Foundation course
CWL 300,Representing the World: Literature and Culture in Contact and Conflict,3,,,GE Foundation and upper-division status,
CWL 320,Comic Spirit,3,,,"GE Foundation requirements, one or more Exploration courses, and upper-division standing",
CWL 324,Theatre Today,3,,,"GE Foundation requirements, one or more Exploration courses, and upper-division standing",
CWL 344,Literature of the Holocaust,3,,,Completion of at least 60 units,
CWL 350,Global Literature in American Culture,3,,,Upper-division standing,
CWL 366,"Classical Stories, Modern Voices",3,,,GE Foundation requirements and upper-division standing,
CWL 405,Global Fantasy,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage",
CWL 430,Dante,3,,,Completion of at least 60 units,
CWL 451,Film and Novel in Society,3,,,"GE Foundation requirements, one or more Exploration courses, and upper-division standing",
CWL 492,Internship Program,,,,Consent of instructor and department chair,
CWL 495,Genre,,,,Consent of instructor,
CWL 499,Directed Studies,,,,Consent of instructor,
CWL 502,Selected Topics - Middle Eastern Literature and Culture,3,,,One course in literature or consent of instructor,
CWL 503,Selected Topics - Asian Literature,3,,,One course in literature or consent of instructor,
CWL 504,Selected Topics - Women in World Literature,3,,,One course in literature or consent of instructor,
