course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
DANC 100,Orientation to Dance,2,,,,Concurrent enrollment in at least one GE Foundation course
DANC 101,Introduction to Modern Dance,3,,,One GE Foundation course,One GE Foundation course
DANC 102,Introduction to Ballet,3,,,One GE Foundation Course,One GE Foundation Course
DANC 103,Introduction to Jazz,3,,,One GE Foundation Course,One GE Foundation Course
DANC 104,Introduction to Tap,3,,,One GE Foundation course,One GE Foundation course
DANC 106,Introduction to African/African Diasporic Dance,3,,,,Concurrent enrollment in or completion of at least one GE Foundation course
DANC 107,Introduction to Street and Club Dances,3,,,One GE Foundation course,One GE Foundation course
DANC 109B,Street and Club Dances I,2,,,Placement screening required,
DANC 110,Viewing Dance,3,,,,One GE Foundation course
DANC 118A,Movement Practices I,2,,,Dance major or Dance Pre-major,
DANC 118B,Movement Practices I,2,,,Dance major or Dance Pre-major,
DANC 119,Dance Activity I,,,,Consent of Instructor,
DANC 152A,Modern-Contemporary Techniques I,2,,,"Dance major, Dance Pre-major, or consent of instructor",
DANC 152B,Modern-Contemporary Techniques I,2,,,"Dance major, Dance Pre-major, or consent of instructor",
DANC 154A,Ballet Technique I,2,,,"Dance major, Dance Pre-major, or consent of instructor",
DANC 154B,Ballet Technique I,2,,,"Dance major, Dance Pre-major, or consent of instructor",
DANC 161,Body Awareness and Conditioning for Dancers,2,,,,Completion of or concurrent enrollment in at least one GE Foundation course
DANC 180,Dance Performance,1,,,Dance major or Dance Pre-major,
DANC 181,Dance Production Technical,1,,,Dance major or Pre-major; DANC 182,Dance major or Pre-major; DANC 182
DANC 182,Introduction to Dance Production,2,,,Dance major or Dance Pre-major,
DANC 200,Ballet History in Western Culture,3,,,Any GE Foundation Course,
DANC 205,Introduction to Dance History,3,,,Completion of GE 1A (English Communication) requirement; and Sophomore Standing,
DANC 209A,Street and Club Dances II,2,,,"Dance Major or Dance Pre-Major; DANC 109 or DANC 109A or DANC 109B , or department consent",
DANC 209B,Street and Club Dances II,2,,,"Dance Major or Dance Pre-Major; DANC 109, DANC 109A or DANC 109B , or department consent",
DANC 210A,Dances of Africa and the African Diaspora I,2,,,"Dance major, dance pre-major, or consent of instructor",
DANC 216A,Jazz Technique II,2,,,"Dance Major or Dance Pre-Major; DANC 116, or DANC 116A or DANC 116B , or department consent",
DANC 216B,Jazz Techniques II,2,,,"Dance Major or Dance Pre-Major; DANC 116, or DANC 116A , or DANC 116B , or department consent",
DANC 218A,Movement Practices II,2,,,Dance major or Pre-major,
DANC 218B,Movement Practices II,2,,,Dance major or Dance Pre-major,
DANC 220,Dance Composition I,3,,,DANC 120,
DANC 252A,Modern-Contemporary Techniques II,2,,,"Dance major or Dance pre-major; DANC 152, or DANC 152A, or DANC 152B, or department consent",
DANC 252B,Modern-Contemporary Techniques II,2,,,"Dance major or Dance Pre-major; DANC 152, or DANC 152A, or DANC 152B, or department consent",
DANC 254A,Ballet Technique II,2,,,"Dance major or Dance pre-major; DANC 154, or DANC 154A, or DANC 154B, or department consent",
DANC 254B,Ballet Technique II,2,,,"Dance major or Dance Pre-major; DANC 154, or DANC 154A, or DANC 154B, or department consent",
DANC 260,Functional Anatomy for the Dancer,3,,,DANC 161 or consent of the instructor,
DANC 261,Anatomy with Clay Laboratory,1,,,DANC 161 or consent of the instructor,DANC 260 or consent of the instructor
DANC 295,Repertory,,,,Dance major,
