course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
DESN 120A,Fundamentals of Design,3,,,"Design, Industrial Design, and Interior Design pre-majors and majors only",
DESN 120B,Fundamentals of Design,3,,,"DESN 120A with a ‘C’ or better; Design, Industrial Design, and Interior Design pre-majors and majors only",
DESN 130,Perspective and Rendering for Interiors,3,,,Interior Design major or pre-major only,
DESN 132A,Perspective and Rendering Systems,3,,,"Design, Industrial Design, and Interior Design pre-majors and majors only",
DESN 132B,Perspective and Rendering Systems,3,,,"DESN 130 or DESN 132A with a ‘C’ or better; Design, Industrial Design, and Interior Design pre-majors and majors only",
DESN 141,Interior/Architectural Drafting,3,,,"Design, Industrial Design, and Interior Design pre-majors and majors only",
DESN 142,Beginning Space Planning,3,,,DESN 120A or ART 130 with a ‘C’ or better; DESN 130 and DESN 141 with a ‘C’ or better; and BFA Interior Design Major or Pre-Major status; BA in Design with consent of instructor,
DESN 143,Materials of Interiors,3,,,DESN 142 with a “C” or better,
DESN 150,Design Drafting,3,,,"Design, Industrial Design, and Interior Design pre-majors and majors only",
DESN 151,Design Materials and Tools,2,,,"Design, Industrial Design, and Interior Design pre-majors and majors only",
DESN 154,Modeling and Prototyping Techniques,3,,,DESN 150 and DESN 151 with a “C” or better,
DESN 156,3D Computer-Aided Design,3,,,DESN 150 with a “C” or better,
DESN 230,Visualization for Interior Architecture,3,,,DESN 142 Introduction to visual communication methods and techniques used by interior designers to develop and convey two-dimensional and three-dimensional ideas,DESN 142 Introduction to visual communication methods and techniques used by interior designers to develop and convey two-dimensional and three-dimensional ideas
DESN 232,Visualization Techniques,3,,,DESN 120B or ART 130 with a “C” or better; and DESN 130 or DESN 132B with a “C” or better,
DESN 244,Lighting Design for Interior Architecture,3,,,"DESN 120B and DESN 130 with a “C” or better, or consent of instructor",DESN 142 Exploration of fundamentals of natural and engineered light in architectural and interior space
DESN 245,Building Systems for Interior Architecture,3,,,DESN 142 with a “C” or better,
DESN 246,Computer-Aided Drafting,3,,,DESN 141 with a “C” or better,
DESN 254,Production Materials and Technical Processes,3,,,DESN 154 and DESN 156 with a ‘C’ or better,
DESN 255,2D Computer-Aided Graphics,3,,,"Design, Industrial Design, and Interior Design pre-majors and majors only",
DESN 268,History and Theory of Sustainability in Design,3,,,GE Foundation Requirements or consent of instructor,
DESN 280,Industrial Design Processes,3,,,,DESN 255 Introductory course in the design processes utilized by industrial designers for product development
DESN 300,Designers in Their Own Words,3,,,"BA Design, Industrial Design or Interior Design majors only, upper division standing",
DESN 312,Interior Architectural Model Building,3,,,"DESN 130 , DESN 142 and DESN 151 or consent of instructor",
DESN 315,Form and Figures: The Mathematics of Design,3,,,Completion of GE Foundation and Exploration Requirements,
DESN 320,Advanced Form Study,3,,,DESN 232 with a “C” or better,
DESN 331A,Industrial Design,3,,,"DESN 280, Junior standing in the Industrial Design program or consent of instructor, and department advisor consent",
DESN 331B,Industrial Design,3,,,"DESN 331A with a “C” or better, Junior standing in the Industrial Design program or consent of instructor, and department advisor consent",
DESN 332,Advanced Idea Generation for Designers,3,,,DESN 232 with a “C” or better,
DESN 333A,Industrial Design Methodology,3,,,"DESN 280, Junior standing in the Industrial Design program or consent of instructor, and department advisor consent",
DESN 333B,Industrial Design Methodology,3,,,"DESN 333A with a “C” or better, Junior standing in the Industrial Design program or consent of instructor, and department advisor consent",
DESN 336,Advanced Visualization and 3D Modeling,3,,,DESN 120B with a “C” or better,
DESN 340,Interior Design Process and Theory,3,,,DESN 130 and DESN 142 with a “C” or better,
DESN 341A,Interior Design,4,,,"DESN 230 , DESN 244 , DESN 245 , DESN 246 , DESN 312 , DESN 340, Junior standing in the Interior Design program, and department advisor consent",DESN 342 or consent of instructor
DESN 341B,Interior Design,4,,,"DESN 341A with a “C” or better, Junior standing in the Interior Design program or consent of instructor, and department advisor consent",
DESN 342,Interior/Architectural Presentations,3,,,"DESN 340 , Junior standing in the Interior Design program, and department advisor consent",DESN 341A or consent of instructor
DESN 343,Advanced Drafting and Detailing,3,,,"DESN 312 , DESN 245 , Junior standing in the Interior Design program or consent of instructor, and department advisor consent",
DESN 344B,Display and Exhibition Design,3,,,DESN 344A or consent of instructor,
DESN 346,Computer-Aided Design - 3D Modeling,3,,,DESN 246 with a “C” or better,
DESN 351A,Process of Architectural/Interior Lighting Design,2,,,"DESN 230 , DESN 244 or consent of instructor",
DESN 351B,Applications of Architectural/Interior Lighting Design,2,,,"DESN 351A or consent of instructor Focused development of major categories of lighting design application (residential, office, wayfinding, etc",
DESN 352A,Specialty Equipment,1,,,DESN 156 or DESN 336 or DESN 346 ; or consent of instructor,
DESN 352B,Advanced Specialty Equipment,1,,,DESN 352A or consent of instructor,
DESN 355,Computer Aided Graphics II,3,,,DESN 255 or consent of instructor,
DESN 356,Advanced 3D Computer-Aided Design,3,,,"DESN 120B or ART 131 with a “C” or better; DESN 150 , DESN 151 , DESN 156 , DESN 232 , and DESN 255 with a “C” or better",
DESN 360A,Environmental Communication Design,3,,,DESN 230 or DESN 255 ; DESN 336 or DESN 346 or DESN 356,
DESN 360B,Advanced Environmental Communication Design,3,,,DESN 360A with a “C” or better or consent of instructor,
DESN 366,Advanced 3D Digital Modeling,2,,,DESN 346 or consent of instructor,
DESN 367,History and Theory of Architecture,3,,,Completion of GE Foundation requirements,
DESN 368,History and Theory of Design,3,,,Completion of GE Foundation requirements,
DESN 369,History of Furniture and Decorative Arts,3,,,Completion of GE Foundation requirements,
DESN 431A,Advanced Industrial Design,4,,,"DESN 331B or consent of instructor, and department advisor consent",
DESN 431B,Advanced Industrial Design,4,,,"DESN 431A with a “C” or better or consent of instructor, and department advisor consent",
DESN 435A,Furniture Design,3,,,"DESN 120B; DESN 151 ; DESN 230 or DESN 232 ; DESN 336, DESN 346 or DESN 356; DESN 341A - Interior Design and for BA and BS: DESN 255 ; or consent of instructor",
DESN 435B,Advanced Furniture Design,3,,,DESN 435A or consent of instructor,
DESN 440,Professional Practice for Interior Architecture,3,,,"Completion of GE Foundation requirements, completion of one or more Exploration courses, upper division status, and department advisor consent",DESN 441A or consent of instructor
DESN 441A,Advanced Interior Design,4,,,"DESN 341B , DESN 343 or consent of instructor, and department advisor consent",
DESN 441B,Advanced Interior Design,4,,,"DESN 441A with a “C” or better or consent of instructor, and department advisor consent",
DESN 442G,Internship in Industrial Design,3,,,DESN 331A or consent of instructor,
DESN 442H,Internship in Interior Design,,,,DESN 341A or consent of instructor,
DESN 442J,Internship in Design,,,,"BA major, junior or senior, 2",
DESN 450,BA Senior Project,3,,,"DESN 336 , DESN 346 , or DESN 356 ; and DESN 360A or consent of instructor",
DESN 454,Technologies for Hybrid Design,3,,,Upper Division Design student or instructor consent,
DESN 455,Computer Aided Graphics III,3,,,DESN 255 and DESN 355 or consent of instructor,
DESN 469,Entertainment Design: History and Practice,3,,,"Upper Division Standing and 3 units from the following: AH 101 , AH 111A , AH 111B , DANC 205 , DESN 110 , DESN 367 , DESN 368 , DESN 369 , CINE 299 , MUS 191A , MUS 191B , THEA 221 , or THEA 222",
DESN 481,Designing for User Experiences,3,,,Upper division standing or consent of instructor,
DESN 482,Research Methods for Inclusive UX Design,3,,,Upper division standing or consent of instructor,
DESN 483,Data and Technologies of Human Interaction Design,3,,,Upper Division standing and DESN 255 or consent of instructor,
DESN 490,Selected Topics in Design,,,,Consent of instructor,
DESN 495,Field Studies in Design,,,,Consent of instructor,
DESN 499C,Special Studies in Display and Exhibition Design,3,,,Consent of instructor,
DESN 499G,Special Studies in Industrial Design,3,,,Consent of instructor,
DESN 499H,Special Studies in Interior Design,3,,,Consent of instructor,
DESN 551,"Materials, Tools and Techniques of Prototyping",3,,,"Graduate standing in the HXDI program, School of Art, or Engineering; or consent of instructor",
DESN 555,Computer Aided Graphics III,3,,,Graduate student in HXDI prorgam or consent of instructor,
DESN 570,Applied Design in Contemporary Society,3,,,Graduate student in HXDI program or consent of instructor,
DESN 581,Designing for User Experiences,3,,,Graduate student in HXDI program or consent of instructor,
DESN 582,Research Methods for Inclusive UX Design,3,,,Graduate student in HXDI program or consent of instructor,
DESN 583,Data and Technologies of Human Interaction Design,3,,,Graduate student in HXDI program or consent of instructor,
DESN 585,Human Experience and Social Design Seminar,3,,,"DESN 555 or equivalent; DESN 570 ; DESN 581 Graduate seminar involving the social context and interdisciplinarity of user experience including topics such as research-based, design-thinking processes, boundaries of spaces, objects, and interfaces","DESN 555 or equivalent; DESN 570 ; DESN 581 Graduate seminar involving the social context and interdisciplinarity of user experience including topics such as research-based, design-thinking processes, boundaries of spaces, objects, and interfaces"
DESN 586,Human Experience and Embodied Interactions Studio,3,,,"Graduate student in the HXDI program; One of the following: DESN 555 , DESN 570 , DESN 581 , DESN 582 , DESN 583 , DESN 585",
DESN 587,Design Strategy for Human Experience Interactions,3,,,Graduate student in the HXDI program; or consent of instructor,
DESN 590,Selected Topics in Design,,,,Graduate standing; consent of graduate advisor,
DESN 592,Graduate Internship,,,,Graduate standing in the HXDI program; consent of graduate advisor,
DESN 595,Field Studies in Design,,,,Graduate standing; consent of instructor and graduate advisor,
DESN 670,Global Design Theory and Practice,3,,,Graduate student in the HXDI program,
DESN 686,Immersive Design Research Lab,,,,"Graduate student in the HXDI program; One of the following: DESN 555 , DESN 570 , DESN 581 , DESN 582 , DESN 583 , DESN 585",
DESN 697,Directed Graduate Studies,,,,Graduate standing; consent of instructor and graduate advisor,
