course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
DPT 701,Anatomy for Physical Therapy,6,,,Admission to DPT program,
DPT 703,Neuroanatomy,3,,,Open to DPT graduate students only,DPT 701
DPT 705B,Biomechanics II and Gait,3,,,"DPT 701, DPT 705A",
DPT 706,Physiology and Pharmacology for Physical Therapists,4,,,Admission to the DPT program,
DPT 708,Motor Learning and Motor Control,2,,,Admission to DPT program,
DPT 710,Pathology for Physical Therapy,3,,,Admission to DPT program,
DPT 718,Fundamentals of Physical Therapy,2,,,Admission to the DPT program,
DPT 720,Professional Interactions,3,,,Admission to DPT program,
DPT 721,Professional Practice Issues,2,,,DPT 720,
DPT 722,Critical Thinking for Physical Therapy,1,,,"DPT 720 , DPT 721",
DPT 732,Evaluation and Management of Individuals with Musculoskeletal Conditions I,3,,,DPT 705A,
DPT 733,Evaluation and Management of Individuals with Musculoskeletal Conditions II,4,,,"DPT 705A , DPT 732",
DPT 734,Evaluation and Management of Individuals with Musculoskeletal Conditions III,2,,,"DPT 705A , DPT 732 , DPT 733",
DPT 736,Management of Individuals with Orthotic and Prosthetic needs,2,,,"DPT 732 , DPT 705A, DPT 705B",
DPT 737,Sports Rehabilitation in Physical Therapy,2,,,DPT 734,
DPT 740,Evaluation and Management of Individuals with Neurologic Disorders,2,,,DPT 703,
DPT 741,Evaluation and Management of Individuals with Complex Neurologic Disorders,3,,,DPT 740,DPT 782
DPT 742,Advanced Management of Individuals with Neuromuscular Disorders,2,,,"DPT 741 , DPT 783",
DPT 745,Management of the Pediatric Population,3,,,"DPT 707 , DPT 740",
DPT 750,Imaging for Physical Therapists,2,,,"DPT 710 , DPT 732",
DPT 752,Differential Diagnosis for Physical Therapists,2,,,"DPT 710, DPT 721, DPT 731, DPT 732 , DPT 740, DPT 750",
DPT 760,Management of Individuals with Cardiopulmonary Disorders,3,,,"DPT 706 , DPT 709",
DPT 765,Management of Individuals with Integumentary Disorders,2,,,DPT 710,
DPT 767,Management of the Geriatric Population,2,,,"DPT 733 , DPT 734 , DPT 741 , DPT 760",
DPT 768,Integrated Management of Complex Patients,3,,,"DPT 707 , DPT 710 , DPT 731 , DPT 750 , DPT 752",
DPT 769,Advanced Management of Individuals with Cardiopulmonary Disorders,1,,,DPT 760,
DPT 770,Health Care Delivery I,2,,,"DPT 721 , DPT 722",
DPT 771,Health Care Delivery II,2,,,DPT 770,
DPT 780A,Orthopedic Integrated Clinical Experience I,1,,,DPT 732,
DPT 780B,Orthopedic Integrated Clinical Experience II,1,,,"DPT 732 , DPT 733 , DPT 734",
DPT 781,Applied Clinical Decision Making,2,,,"DPT 731 , DPT 732 , DPT 740",
DPT 782,Neurological Integrated Clinical Experience I,1,,,DPT 740,DPT 741
DPT 783,Neurological Integrated Clinical Experience II,1,,,DPT 782,
DPT 784,Full Time Clinical Experience,6,,,"DPT 733 , DPT 734 , DPT 741 , DPT 760 , DPT 781, DPT 782, DPT 783",
DPT 785,Clinical Internship I,6,,,"DPT 752 , DPT 781 , DPT 784",
DPT 786,Clinical Internship II,6,,,"DPT 781 , DPT 784 , DPT 785",
DPT 790,Selected Topics in Physical Therapy,,,,Admission to DPT program or consent of instructor,
DPT 796,Research Methods,2,,,Admission to DPT program,
DPT 799A,Doctoral Project - 1st semester,1,,,DPT 796,
DPT 799B,Doctoral Project - 2nd semester,2,,,DPT 796 and DPT 799A,
DPT 799C,Doctoral Project - 3rd semester,1,,,"DPT 796, DPT 799A, DPT 799B",
