course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
EDCI 500,Studies in Curriculum and Instruction,3,,,"Admission to Master of Arts in Education Option in Curriculum and Instruction, Elementary and Secondary or Dual Language Development",
EDCI 505,History of Education in the United States,3,,,"Admission to Master of Arts in Education Option in Curriculum and Instruction, Elementary and Secondary",
EDCI 530,Cross-cultural Education: US and Global Perspectives,3,,,"Admission to Master of Arts in Education Option in Curriculum and Instruction, Elementary and Secondary or Dual Language Development",
EDCI 532,Socialization of Literacy in More Than One Language,3,,,"Admission to Master of Arts in Education, Option in Dual Language Development",
EDCI 533,Action Research Methods: Teachers as Inquirers,3,,,For students in the Masters of Arts in Education Option in Curriculum and Instruction and Option in Dual Language Development,
EDCI 541,Designing Curriculum and Instruction in Primary and Second Language Settings,3,,,"Admission to Master of Arts in Education, Option in Dual Language Development",
EDCI 615,Contemporary Issues in Elementary and Secondary Education,3,,,EDCI 500,
EDCI 625,"Analysis of Curriculum, Instruction, and Assessment",3,,,"Admission to Master of Arts in Education Option in Curriculum and Instruction, Elementary and Secondary or Dual Language Development",
EDCI 695,Seminar in Curriculum and Instruction,3,,,For students in the Masters of Arts in Education Option in Curriculum and Instruction and Option in Dual Language Development,
EDCI 697,Directed Research in Curriculum and Instruction,,,,"Permission of instructor, department chair, and associate dean",
EDCI 698,Thesis Study in Curriculum and Instruction,3,,,"Advancement to candidacy; approval of thesis advisor, department chair and associate dean",
