course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
EDEL 100,Introduction to Teaching and Learning in Diverse Contemporary Classrooms,1,,,Students must have a valid Certificate of Clearance and proof of a negative TB test to begin fieldwork hours in this course,
EDEL 200,Introduction to the Teaching Profession,3,,,Students must have a valid Certificate of Clearance and proof of a negative TB test to begin fieldwork hours in this course,
EDEL 300,Cultural and Linguistic Diversity in Schools,3,,,EDEL 100 or L/ST 100 and EDEL 200,
EDEL 380,Teaching and Learning in a Democratic Society,3,,,Students must have a valid Certificate of Clearance and proof of a negative TB test to begin fieldwork hours in this course,EDSP 303
EDEL 413,Developmentally Appropriate Teaching Practices,2,,,Students must have a valid Certificate of Clearance and proof of a negative TB test to begin fieldwork hours in this course,
EDEL 431,Cultural and Linguistic Diversity in Schools,3,,,Students must have a valid Certificate of Clearance and proof of a negative TB test to begin fieldwork hours in this course,
EDEL 442,"Teaching and Learning Language Arts, K-8",3,,,EDEL 200 or EDEL 380,
EDEL 452,"Teaching and Learning Reading, K-8",3,,,EDEL 200 or EDEL 380 or EDSP 454,
EDEL 462,"Teaching and Learning Mathematics, K-8",3,,,EDEL 200 or EDEL 380 or EDSP 454,
EDEL 472,"Teaching and Learning History-Social Science, K-8",3,,,EDEL 200 or EDEL 380,
EDEL 482A,Student Teaching in Diverse Classrooms,8,,,Submission of a complete application to student teach by the deadline,
EDEL 482B,Student Teaching in Bilingual Classrooms,8,,,Submission of a complete application to student teach by the deadline,
EDEL 482D,ITEP/UTEACH Student Teaching in Diverse Classrooms,8,,,Submission of a complete application to student teach by the deadline,
EDEL 482F,Student Teaching in Spanish Dual Language Development Classrooms,8,,,Submission of a complete application to student teach by the deadline,
EDEL 483,California Teacher Performance Assessment Support Seminar,2,,,Submission of a complete application to student teach in the Multiple Subject Credential Program by the appointed deadline,
EDEL 497,Independent Study,,,,Consent of instructor and department chair,
EDEL 572A,Multiple Subject Internship,8,,,Admission to Multiple Subject Internship Program and submission of a complete application to student teach by the deadline,
EDEL 572B,Multiple Subject Internship,8,,,Admission to Multiple Subject Internship Program and submission of a complete application to student teach by the deadline,
