course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
EDLD 720,Proseminar in Educational Leadership,1,,,Dept Consent Required,
EDLD 721A,Advanced Proseminar in Educational Leadership,1,,,Dept Consent Required,
EDLD 721B,Advanced Proseminar in Educational Leadership,1,,,Dept Consent Required,
EDLD 721C,Advanced Proseminar in Educational Leadership,3,,,Dept Consent Required,
EDLD 721D,Advanced Proseminar in Educational Leadership,1,,,Dept Consent Required,
EDLD 723,Legal and Ethical Leadership: Implications for Policy and Practice in P-16 Educational Settings,4,,,Dept Consent Required,
EDLD 724,Critical Perspectives of U.S. Education and Diversity,4,,,Dept Consent Required,
EDLD 725,Organizational Leadership in Educational Settings,3,,,Dept Consent Required,
EDLD 726A,"Policy, Politics, and Power in P-12 Educational Settings",3,,,Dept Consent Required,
EDLD 726B,"Policy, Politics, and Power in CC/HE Educational Settings",3,,,Dept Consent Required,
EDLD 730,"Introduction to Educational Research, Epistemologies, Methodologies and Application",2,,,Dept Consent Required,
EDLD 731,Qualitative Research Methods for Educational Leadership,3,,,Dept Consent Required,
EDLD 732A,Inferential Data Analysis in Education,3,,,Dept Consent Required,
EDLD 735,Applied Field Research,1,,,Dept Consent Required,
EDLD 736,Institutional Effectiveness: Leveraging Data to Build a Learning Organization,3,,,Dept Consent Required,
EDLD 737A,Advanced Qualitative Research Methods,2,,,Dept Consent Required,
EDLD 737B,Advanced Quantitative Research Methods,2,,,Dept Consent Required,
EDLD 740,Policy and Finance Issues in Community Colleges,3,,,Dept Consent Required,
EDLD 741,Teaching and Learning in Post-secondary Settings,3,,,Dept Consent Required,
EDLD 742,Exploration of Campus Cultures: Impact and Influence,3,,,Dept Consent Required,
EDLD 743,Leadership in Higher Education,3,,,Dept Consent Required,
EDLD 751,Organizational Culture and Community Engagement in Education,3,,,Dept Consent Required,
EDLD 752,Financial and Human Resource Development,3,,,Dept Consent Required,
EDLD 754,Leadership in P-12 Education,3,,,Dept Consent Required,
EDLD 755,"Curriculum Theory, Instructional Leadership, and Accountability",3,,,Dept Consent Required,
EDLD 790H,Selected Topics - Staff Development Programs,,,,Admission to the Educational Leadership Doctorate program or consent of department chair,
EDLD 797,Directed Individual Doctoral Study,3,,,Dept Consent Required,
