course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
EESJ 550,"Foundations of Equity, Education, and Social Justice",3,,,"Equity, Education and Social Justice Majors only",
EESJ 551,Critical Pedagogies,3,,,"Equity, Education and Social Justice Majors Only",
EESJ 560,History of Social and Educational Inequalities,3,,,Enrollment of non-degree students only allowed with instructor permission,
EESJ 561,Urban Educational Policy,3,,,Enrollment of non-degree students only allowed with instructor permission,
EESJ 562,"Resistance, Agency and Identity in Education",3,,,Enrollment of non-degree students only allowed with instructor permission,
EESJ 564,"Language, Culture, and Education",3,,,Enrollment of non-degree students only allowed with instructor permission,
EESJ 566,Education and Global Inequities,3,,,Enrollment of non-degree students only allowed with instructor permission,
EESJ 567,Activism and Social Movements in a Global Perspective,3,,,Enrollment of non-degree students only allowed with instructor permission,
EESJ 568,"Globalization, Power, and Educational Inequities",3,,,Enrollment of non-degree students only allowed with instructor permission,
EESJ 695,"Equity, Education, and Social Justice Capstone",3,,,"Equity, Education and Social Justice Majors only",
