course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
EMER 301,Emergency Management and Planning,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage",
EMER 401,Advanced Concepts and Integration in Emergency Management and Homeland Security,3,,,EMER 301 or consent of instructor,
EMER 500,Information Literacy and Practical Writing Applications for Emergency Management,3,,,Open to EMER graduate students only,
EMER 506,Emergency Management and Homeland Security,3,,,Open to EMER graduate students only Corequisite(s): EMER 500,
EMER 530,Applied Research Methods and Analytical Techniques for Decision Support and Innovation,4,,,EMER 506,
EMER 540,Emergency Management Organizations: Constructs for Influencing Complex Systems,3,,,"Open to EMER graduate students only Historical events, policies, and complex organizational settings that shape emergency management organizations",
EMER 547,"Continuity of Operations, Recovery, and Emergency Management",3,,,EMER 500 and EMER 506,
EMER 548,"Risk, Crisis, and Inter-Agency Communications",3,,,EMER 500,
EMER 601,"Technology, Cybersecurity, and Emergency Management",3,,,EMER 500 and EMER 506,
EMER 605,Population Health Constructs for the Emergency Services Sector,3,,,EMER 500,
EMER 630,Policy Formulation and Implementation for the Emergency Services,3,,,EMER 500 and EMER 506,
EMER 631,International Emergency Administration Systems: Comparative Analysis,3,,,EMER 500,
EMER 661,Emergency Management Leadership Across the Megacommunity,3,,,"EMER 500 , EMER 506 , and EMER 540",
EMER 671,Strategic Planning and Integrative Practices in Emergency Services Administration,3,,,"EMER 500 , EMER 506 , EMER 530 , EMER 540 , and EMER 548",
EMER 690,Selected Topics in Emergency Management,,,,EMER 500 and EMER 506,
EMER 694,Project: Strategic Planning and Integrative Practices in Emergency Services Administration,3,,,EMER 671 and Advancement to Candidacy Capstone course synthesizing research in emergency services management and research methodologies leading to the development and implementation of a project designed to provide solutions to a problem within the emergency services meta-community,
EMER 695,Independent Study,,,,Department consent,
EMER 697,Directed Studies,3,,,"EMER 500 , EMER 506 , and EMER 530",
EMER 698,Thesis,3,,,EMER 671 and Advancement to Candidacy,
