course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
ERTH 106,Earth Science for Teachers,4,,,Completion of or concurrent enrollment in course that fulfills GE 1A requirement,
ERTH 150,Geology of Parks,4,,,"One GE Foundation course (GE categories 1A, 1B, 1C, or 2)","One GE Foundation course (GE categories 1A, 1B, 1C, or 2)"
ERTH 160,Introduction to Oceanography,3,,,,"ERTH 160L Origin and extent of oceans, nature of ocean floor, and cause and effect of currents, tides, and waves; and life in the ocean"
ERTH 160L,Introduction to Oceanography Laboratory,1,,,,Previous credit or concurrent registration in ERTH 160
ERTH 240,Historical Geology,4,,,"ERTH 106 or both ERTH 102 , ERTH 104 or both ERTH 110 , ERTH 104",
ERTH 250,Introduction to Geologic Field Methods,3,,,ERTH 102 with ERTH 104 or ERTH 105 ; or ERTH 110 with ERTH 104 or ERTH 105 ; or ERTH 106 ; all with grades of “C” or better,
ERTH 280,Water Resources and Society,3,,,"ERTH 102 , ERTH 104",
ERTH 300,Earth Systems and Global Change,3,,,"GE Foundation requirement, upper division standing, and CHEM 100 or CHEM 111A or ERTH 102 or ERTH 106 or ERTH 110 or ERTH 160 with a grade of “C” or better",
ERTH 301,Earth Science Careers,1,,,"Geology or Earth Systems major, or consent of instructor",
ERTH 310,Environmental Impacts of War,3,,,GEOL 102 or BIO 200 or CHEM 111A or ESP 101 or GEOG 340 or instructor consent,
ERTH 322,Crystallography and Mineralogy,3,,,"GEOL 102 ; CHEM 111A Morphological and structural crystallography, crystal structure, chemistry, classification, origin, occurrence, and association of minerals",
ERTH 326,Optical Mineralogy,1,,,GEOL 102 ; CHEM 111A,
ERTH 339,Introduction to Geomorphology,3,,,ERTH 102 with ERTH 104 or ERTH 105 ; or ERTH 106 ; or GEOG 140,
ERTH 340,Climate and Human History,3,,,Any lower division GE science course or GEOG 340 or instructor consent,
ERTH 341,Paleontology and Biostratigraphy,4,,,ERTH 240 and GE Biological Science requirement 5B,
ERTH 350,Spring Field Geology,2,,,ERTH 250 and ERTH 443 with grades of “C” or better,ERTH 433
ERTH 363,Earth Materials,4,,,"GEOL 102, GEOL 104, GEOL 240, and CHEM 111B",
ERTH 370,Geology for Engineers,2,,,"C E 200 Earth processes and materials which influence the design, construction and operation of engineering works, construction materials",
ERTH 420,Geologic Writing,3,,,"GE Foundation completed, upper division standing, ERTH 102 , ERTH 104 , ERTH 240 , ERTH 250 ; and at least 6 units of Geology courses at 300-level or above",
