course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
FIN 300,Business Finance,3,,,"Business majors, Pre-Business majors, Finance minors, Entrepreneurship minors, Asian Studies, Business Economics, and Certificate in Asian Studies, and Applied Mathematics majors",
FIN 310,Personal Finance,3,,,"Finance majors, Pre-Finance majors, and Finance minors only",
FIN 330,Insurance Principles,3,,,"Finance majors, Pre-Finance majors, and Finance minors only",
FIN 340,Real Estate Principles,3,,,"Finance majors, Finance minors, Pre-Finance majors, and Entrepreneurship minors only",
FIN 350,Investment Principles,3,,,FIN 300 with a grade of “C” or better,
FIN 360,Capital Markets,3,,,"Finance majors, Pre-Finance majors, and Asian Studies majors only",
FIN 400,Intermediate Financial Management,3,,,"Finance majors, minors and FIN 300 with a grade of “C” or better",
FIN 450,Portfolio Analysis,3,,,"FIN 350 and Finance majors, Finance minors, and Applied Mathematics majors",
FIN 460,Management in Financial Institutions,3,,,"FIN 300 with grade of “C” or better and Finance majors, Finance minors, Applied Math majors, or Asian Studies majors",
FIN 470,Seminar in Financial Management,3,,,FIN 400 and Finance majors and minors,
FIN 480,Derivatives,3,,,"FIN 350 and Finance majors, Finance minors, Applied MATH majors",
FIN 485,Fixed Income Securities,3,,,"FIN 350 and Finance majors, Finance minors, Applied MATH majors",
FIN 490,International Finance,3,,,"FIN 300 with a “C” or better and Finance & International Business majors and minors, Applied MATH majors",
FIN 495,Selected Topics in Finance,3,,,Consent of department chair,
FIN 497,Directed Studies in Finance,,,,Consent of department chair,
FIN 499A,Applied Portfolio Management,3,,,For Finance Majors: FIN 350 and consent of Instructor; FIN 400 and/or FIN 450 or their equivalent are recommended but can be taken concurrently,
FIN 499B,Applied Portfolio Management,3,,,"FIN 499A : FIN 350 , FIN 400 , FIN 450 (either or both FIN 400 and FIN 450 may be taken concurrently), and consent of instructor; FIN 499B: FIN 499A and consent of instructor",
FIN 501,Financial Management Concepts,3,,,MBA majors or MS Finance majors only,
FIN 600,Seminar in Business Finance,3,,,FIN 501 and MBA majors or Master of Science in Financial Analytics majors only,
FIN 610,Seminar in Financial Analysis and Reporting,3,,,FIN 501 and MBA majors in Finance specialization or MS Finance only,
FIN 620,Capital Budgeting,3,,,"FIN 501 , FIN 600 and MBA majors only",
FIN 630,Seminar in Financial Forecasting,3,,,"FIN 501 , FIN 600 and MBA majors only",
FIN 640,Seminar in Quantitative Analysis,3,,,"FIN 501 , python programming skills, and Master of Science in Financial Analytics majors only",
FIN 650,Seminar in Investments,3,,,MBA majors in the Finance specialization and MS Finance only,
FIN 660,Seminar in Financial Institutions and Ethics,3,,,FIN 501 and MBA majors in Finance specialization and MS Finance only,
FIN 670,Seminar in Equity Securities and Valuation,3,,,FIN 501 and MBA majors in Finance specialization and MS Finance only,
FIN 675,Entrepreneurial Finance,3,,,"Graduate standing, FIN 501",
FIN 680,Seminar in Derivatives,3,,,FIN 501 and MBA majors in Finance specialization and MS Finance only,
FIN 685,Seminar in Fixed-Income Securities,3,,,"FIN 501 , FIN 600 and MBA majors in Finance specialization and MS Finance only",
FIN 690,Seminar in Economics and International Finance,3,,,"FIN 501 , FIN 600 and major MBA majors in Finance specialization and Master of Science in Financial Analytics",
FIN 691,Seminar in Integrated Financial Management,3,,,MS Finance only,
FIN 695,Selected Topics in Finance,3,,,"FIN 501 , consent of instructor",
FIN 697,Directed Studies in Finance,,,,"FIN 501 , consent of department chair",
FIN 699A,Applied Portfolio Management,3,,,"Graduate business standing; FIN 501 , FIN 600 , FIN 650 ; consent of instructor and department chair",
FIN 699B,Applied Portfolio Management,3,,,FIN 699A,
