course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
GERM 101A,Elementary German 1,3,,,,Any GE Foundation course
GERM 101B,Elementary German 2,3,,,GERM 101A or two years of high school German or equivalent,Any Foundation course
GERM 201A,Intermediate German 1,3,,,GERM 101B or three years of high school German or equivalent,Any Foundation course
GERM 201B,Intermediate German 2,3,,,GERM 201A or four years of high school German or equivalent,Any Foundation course
GERM 204,German for Reading Knowledge,3,,,"GERM 101A , GERM 101B or equivalent or consent of instructor",
GERM 301,Fiction and Fact: Short Texts,3,,,GERM 201B or equivalent,
GERM 302,Language of the German Media,3,,,GERM 201B or equivalent,
GERM 305,Advanced German Conversation,3,,,Upper-division standing in German,
GERM 306,Translating German to English,3,,,Upper-division standing in German or consent of instructor,
GERM 380,"Contemporary Germany, Society, and Culture",3,,,"GE Foundation requirements, one or more Exploration courses, and upper-division standing",
GERM 397,"Marx, Nietzsche, Freud",3,,,"GE Foundation requirements, one or more Exploration courses, and upper-division standing",
GERM 398,Selected Topics in German,3,,,Upper-division standing in German or consent of instructor,
GERM 401,Advanced German Syntax and Composition,3,,,"GERM 301 , GERM 302",
GERM 410,History and Stories: German Civilization,3,,,Upper-division standing in German,
GERM 415,Survey of German Literature and Culture I,3,,,Completion of GE Foundation requirements and upper-division standing in German,
GERM 416,Survey of German Literature and Culture II,3,,,GE Foundation Requirements and upper-division standing in German,
GERM 430,German Poetry,3,,,Upper-division standing in German,
GERM 440,German Novella in Context,3,,,Upper-division standing in German,
GERM 450,"Reason, Revolution, Reaction",3,,,Upper-division standing in German,
GERM 458,Road to Modernity,3,,,Upper-division standing in German,
GERM 459,German Literature from 1890-1945,3,,,Upper-division standing in German,
GERM 460,Two Perspectives: 1945 to 1990,3,,,Upper-division standing in German,
GERM 480,German Cinema,3,,,Completion of GE Foundation courses; upper-division standing,
GERM 494,Internship in German,,,,Consent of instructor and department chair,
GERM 498,Selected Topics in German,3,,,Senior standing in German or consent of instructor,
GERM 499,Directed Studies,,,,Consent of instructor and department chair,
GERM 510,"The Faces of United Germany: Past, Present, and Future",3,,,Graduate standing in German or consent of Program Director in German or consent of Graduate Advisor in the German Studies,
GERM 530,German Poetry,3,,,Graduate standing in German,
GERM 540,German Novella,3,,,Graduate standing in German,
GERM 550,"Reason, Revolution and Romantic Thought",3,,,Upper-division standing in German,
GERM 558,Road to Modernity,3,,,Upper-division standing in German,
GERM 559,German Literature from 1890-1945,3,,,Upper-division standing in German,
GERM 560,Two Perspectives: 1945 to 1990,3,,,Upper-division standing in German,
GERM 590,Theoretical Approaches,3,,,B,
GERM 598,Selected Topics in German,3,,,B,
GERM 599,Directed Studies,,,,Graduate standing and consent of instructor and department chair,
GERM 697,Directed Research,,,,Graduate standing and consent of instructor and department chair,
GERM 698,Thesis,,,,Consent of graduate advisor,
