course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
GERN 200,The Journey of Aging,3,,,,One GE Foundation course
GERN 400,Perspectives on Gerontology,3,,,"GE Foundation, one or more Exploration courses, and upper-division standing",
GERN 401,Human Aging,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage For non-science majors, presents the biochemical, genetic, and physiological theories of normal aging, and common pathologies distinguished from expected changes with aging",
GERN 420,Personal Finance for the Aging,3,,,Upper division standing,
GERN 430,Aging and Dementia,3,,,Upper division standing or consent of instructor,
GERN 439,Nutrition and Aging,3,,,NUTR 132 or BIOL 207 or BIOL 301 or GERN 400 or consent of instructor,
GERN 440,End of Life Issues for Older Adults and Their Families,3,,,Upper division standing,
GERN 450,Social Policy and Aging,3,,,Upper division standing or consent of instructor,
GERN 469,"Disability, Culture and Society: Issues and Intervention",3,,,Freshmen are prohibited from enrolling in upper division courses,
GERN 474,Global Aging,3,,,Upper division standing,
GERN 475,Women and Aging: Lessons from the Golden Girls,3,,,"Upper-division or graduate standing or consent of instructor Examination of the biological, psychological and social aging process for women, including topics such as housing, stereotypes, caregiving, health, retirement, a purposeful life, addiction, loss and grief, and sexuality",
GERN 482,Health Assessment of the Aging Client,3,,,Upper division standing or consent of instructor,
GERN 492G,Internship in Gerontology,3,,,Student must be a Gerontology Minor or Gerontology Certificate candidate; approval of the Gerontology Advisor,
GERN 497,Directed Studies,,,,"Upper division standing, consent of instructor",
GERN 499,Selected Topics in Gerontology,,,,Upper division standing,
GERN 500,Introduction to the Professional Practice of Gerontology,3,,,,GERN 400 or equivalent; graduate standing or consent of instructor
GERN 520,Personal Finance for the Aging,3,,,400-level course in Consumer Affairs or consent of instructor,
GERN 530,Aging and Dementia,3,,,Open to GERN graduate students only,
GERN 539,Nutrition and Aging,3,,,NUTR 132 or BIOL 207 or BIOL 301 or GERN 400 or consent of instructor,
GERN 540,End of Life Issues for Older Adults and Their Families,3,,,Graduate standing,
GERN 550,Social Policy and Aging,3,,,Open to GERN graduate students only,
GERN 563,Program Evaluation,3,,,Upper division or graduate course in statistics; GERN 696 or NUTR 696 (may be taken concurrently) or equivalent,
GERN 569,"Disability, Culture and Society: Issues and Social Intervention",3,,,Senior or graduate standing,
GERN 574,Global Aging,3,,,Graduate standing,
GERN 575,Women and Aging: Lessons from the Golden Girls,3,,,Upper-division or graduate standing or consent of instructor,
GERN 582,Health Assessment of the Aging Client,3,,,None,
GERN 590,Selected Topics in Gerontology,3,,,Enrollment in a graduate major in the gerontology department; advancement to candidacy; instructor consent,
GERN 592,Internship in Family and Consumer Sciences/Gerontology,3,,,Graduate standing and consent of instructor,
GERN 597,Independent Study,,,,Graduate standing and consent of instructor,
GERN 599,Selected Topics in Gerontology,,,,Graduate standing Group investigation of topics of current interest in gerontology,
GERN 600,Seminar in Leadership and Administration,3,,,Open to graduate students in FCS and GERN only,
GERN 692,Gerontology Directed Project,3,,,GERN 697,
GERN 696,Research Methods,3,,,Upper-division course in statistics,
GERN 697,Directed Research,3,,,"Advancement to candidacy, GERN 500-level courses in area of study, and GERN 696",
GERN 698,Thesis,3,,,"GERN 697 , advancement to candidacy",
