course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
HM 179,Orientation to the Hospitality Management Major,2,,,Pre-HM and HM majors only,
HM 272,Hotel and Lodging Management,3,,,HM 170,
HM 274,International Hospitality Development,3,,,ENGL 100B or GE English Composition (Area 1A),
HM 278,Legal Issues in Hospitality Management,3,,,HM 170 or consent of instructor,
HM 305,What Happens in Vegas…Consumer Behavior and the Casino Gaming Industry,3,,,GE Foundations,
HM 343,Food Production Systems for Nutrition and Dietetics Professionals,3,,,HM 176 and NUTR 132,
HM 345,Foodservice Operations for Nutrition and Dietetics Professionals,2,,,"HM 343 , CA Food Handler’s card valid for at least one year",
HM 370,Exploring a Sustainable Food System,3,,,Completion of the GE Foundation and upper division,
HM 371,Human Resources in Hospitality Management,3,,,HM 170 and upper division standing; or consent of instructor,
HM 373,Hotel and Restaurant Information Technology,3,,,HM 170 or consent of instructor,
HM 374,Meeting Planning in Hotels and Restaurants,3,,,HM 170,
HM 375,Global Hospitality Management,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage",
HM 376,Hospitality Marketing and Service Management,3,,,HM 170,
HM 379,Professional Integration Into Hospitality Management,2,,,HM 179 and Hospitality Management majors only,
HM 447,Foodservice Administration for Nutrition and Dietetics Professionals,3,,,HM 343,
HM 471,Hotel and Lodging Property Management,3,,,HM 272 or consent of instructor,
HM 472,Advanced Hotel Administration,3,,,HM 272,
HM 475,Managing Events in the Hospitality Industry,3,,,HM 170 and Junior standing,
HM 476,Hotel and Restaurant Financial Management,3,,,ACCT 201 and HM 170,
HM 477,Restaurant and Dining Management,3,,,HM 170 and HM 277,
HM 479,Leadership and Strategic Management in Hospitality,3,,,HM 170 and HM 272; Junior standing,
HM 492J,Internship in Hospitality Management,3,,,Student must be a major or minor in Hospitality Management; have senior standing; have a 2,
HM 497,Directed Studies,,,,"Upper division standing, consent of instructor",
HM 572,Advanced Hotel Administration,3,,,HM 272 or consent of instructor,
HM 577,Restaurant and Dining Management,3,,,Graduate Standing,
