course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
I S 233,Introduction to Business Data Analysis and Programming,3,,,"CBA majors, CBA pre-business majors, MIS Minor, ENTR minor, Food Science majors or Business Analytics certficate Introduction to using spreadsheet applications, database applications, and basic programming for business problem solving",
I S 300,Management Information Systems,3,,,"I S 233 and CBA majors, Pre-CBA majors, Mgmt Information Systems minor, Entrepreneurship minor, Asian Studies, Cert in Asian Studies, Minor in Comp Science Applctns, Cert in Tech & Profsnl Comm or Student Group or Business Analytics certficate",
I S 301,Communication for Business Professionals,3,,,"CBA Pre-Major or Majors, CEM, or Asian Studies majors only",
I S 301L,Business Communication Writing,3,,,Business Major,
I S 310,Business Statistics I,3,,,"STAT 118 with a ”C” or better or STAT 108 with “C” or better, and I S 233",
I S 320,Spreadsheet Modeling for Business and Management,3,,,STAT 118 with “C” or better or STAT 108 with “C” or better; and I S 233,
I S 340,Business Application Programming,3,,,,"I S 300 as a corequisite for IS majors, Pre-IS majors, Computer Science Applications minors; or I S 300 or HCA 416 as a corequisite for MIS or ENTR minors"
I S 355,Business Data Networks and Communication,3,,,"IS majors, Pre-IS majors, and ENTR minors only",
I S 445,Internet Applications Development,3,,,I S 340,
I S 456,Systems Integration and Security,3,,,IS majors only or Computer Science Minors in Cyber Security,
I S 457,Wireless Systems and Mobile Applications,3,,,I S 340,
I S 470,Business Intelligence,3,,,I S 310,
I S 480,Advanced Database Management,3,,,I S 380,
I S 482,Enterprise Systems,3,,,I S 340 and I S 380,
I S 485,Information Systems Project,3,,,I S 301 and I S 380,
I S 495,Selected Topics in Information Systems,3,,,I S majors only,
I S 497,Directed Studies in Information Systems,,,,Consent of department chair,
I S 545,Internet Applications Development,3,,,I S 602,
I S 570,Business Intelligence,3,,,I S 601,
I S 601,Quantitative Methods for Managerial Decision Making,3,,,MBA and MSIS majors only,
I S 602,Management of Information Systems,3,,,MBA and MSIS majors only,
I S 610,Business Data Analysis,3,,,MSIS majors only,
I S 635,Technology and Start-ups: Applications of AI and Blockchain,3,,,Graduate standing,
I S 640,Programming for Business Analytics,3,,,MBA and MSIS majors only,
I S 645,Internet Applications in Business,3,,,I S 640,
I S 656,Information Systems Security and Assurance,3,,,MBA and MSIS majors only,
I S 657,Mobile Systems and Business Applications,3,,,I S 640,
I S 670,Machine Learning for Business Analytics,3,,,I S 601 or I S 610,
I S 680,Database Management Systems,3,,,Graduate standing,
I S 685,Systems Analysis and Design,3,,,"MBA and MSIS majors only Introduction to current and emerging practices, concepts, and methodologies of systems analysis and design",
I S 695,Selected Topics in Information Systems,3,,,MBA and MSIS majors only,
I S 697,Directed Studies in Information Systems,,,,MBA and MSIS majors only,
I S 699,Information Systems Project,3,,,I S 602,
I S 699A,Information Systems Project I,2,,,"Graduate standing, IS 602",
I S 699B,Information Systems Project II,1,,,"Graduate standing, IS 602 Integration and practice in managing large-scale information systems projects",
