course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
ITAL 100A,Elementary Italian 1 for Spanish Speakers,4,,,Two semesters of college Spanish or 3 years of high school Spanish; or be a native or heritage speaker of Spanish,
ITAL 100B,Elementary Italian 2 for Spanish Speakers,4,,,ITAL 100A ; or ITAL 101A with 2 semesters of college Spanish or 3 years of high school Spanish; or be a heritage or native speaker of Spanish,
ITAL 101A,Elementary Italian 1,4,,,,Any Foundation course
ITAL 101B,Elementary Italian 2,4,,,,ITAL 101A or two years of high school Italian or equivalent
ITAL 200,Accelerated Intermediate Italian for Spanish Speakers,6,,,ITAL 100B or ITAL 101B or 3 years of high school Italian and 2 years of college Spanish or be a native or heritage Spanish speaker,
ITAL 201,Accelerated Intermediate Italian,6,,,"ITAL 101 , ITAL 101B , ITAL 100B or a minimum of 3 years of high-school Italian",Any Foundation course
ITAL 201A,Intermediate Italian 1,4,,,ITAL 101B or three years of high school Italian or equivalent,Any Foundation course
ITAL 201B,Intermediate Italian 2,4,,,ITAL 201A or four years of high school Italian or equivalent,Any Foundation course
ITAL 240,Florence Through the Ages,3,,,,One GE Foundation course
ITAL 310,Reading Between the Lines: Analyzing Italian Literature,3,,,Upper division standing in Italian or equivalent,
ITAL 312A,Advanced Italian I,3,,,Upper division standing in Italian or equivalent,
ITAL 312B,Advanced Italian II,3,,,Upper division standing in Italian or equivalent,
ITAL 314,Advanced Conversation,3,,,ITAL 214 or consent of the instructor,
ITAL 320,Business Italian,3,,,"ITAL 200 , ITAL 201 , or ITAL 201B or consent of instructor",
ITAL 335,Love and Death in Italian Literature 1300-1800,3,,,Upper division standing in Italian or consent of instructor,
ITAL 336,"Nation, Self and Psyche in Italian Literature 1800-present",3,,,Upper division standing in Italian or consent of instructor,
ITAL 340,”La Dolce Vita”: Italian Culture Through the Centuries,3,,,Upper division standing in Italian or consent of instructor,
ITAL 411,The Infinite Text and its Mechanics,3,,,ITAL 312B,
ITAL 414,History of the Italian Language,3,,,Upper division standing or consent of instructor,
ITAL 430,Dante’s Divine Comedy,3,,,Completion of at least 60 units,
ITAL 454,Italian Cinema,3,,,Completion of GE Foundation courses; upper-division standing,
ITAL 460,Exploring Italian Translation,3,,,Upper division status or permission of instructor,
ITAL 462,Italian Women Writers,3,,,Upper division standing or consent of instructor,
ITAL 473,Masterpieces of Italian Renaissance Literature,3,,,Upper division standing or consent of instructor,
ITAL 476,The Modern Italian Short Story,3,,,Upper division standing or consent of instructor,
ITAL 478,The Italian Novelistic Tradition,3,,,ITAL 335 and ITAL 336 or consent of instructor,
ITAL 482,The Building of the Italian Nation,3,,,Upper division standing or consent of instructor,
ITAL 490,Selected Topics in Italian,3,,,Upper division standing in Italian or consent of instructor,
ITAL 494,Internship in Italian,,,,Consent of instructor and department chair,
ITAL 499,Directed Studies,,,,Consent of instructor and department chair,
ITAL 514,History of the Italian Language,3,,,"Graduate Standing Examines the main developments in the transformation from Latin to Italian, and the debates on what constitutes the Italian language (questione della lingua) 1200 - present, including the contributions of Dante Alighieri, Machiavelli, Alessandro Manzoni, the Italian diaspora and recent immigration",
ITAL 530,Dante’s Divine Comedy,3,,,Graduate standing,
ITAL 554,Italian Cinema,3,,,Graduate Standing Overview of main movements and directors in the history of Italian cinema,
ITAL 560,Exploring Italian Translation,3,,,Graduate standing or consent of instructor,
ITAL 562,Italian Women Writers,3,,,Graduate Standing Studies roles of women writers within history of Italian literature from Middle Ages through Renaissance to contemporary literature,
ITAL 573,Masterpieces of Italian Renaissance Literature,3,,,"Graduate Standing Readings in Italian Quattro- and Cinquecento thought to explore its evolution toward the “new learning of humanism and the valorization of human ability, worldly matters, and secular culture",
ITAL 576,The Modern Italian Short Story,3,,,Graduate level standing,
ITAL 578,The Italian Novelistic Tradition,3,,,ITAL 335 and ITAL 336 or consent of instructor,
ITAL 582,The Building of the Italian Nation,3,,,"Graduate Standing Explores the literature, the ideas and the cultural artifacts that promoted the creation and building of Italian nation from Middle Ages to present",
ITAL 599,Directed Study,,,,Graduate standing and consent of instructor,
ITAL 600,"Italy and the Idea of Europe. Nation, State, Culture, Economy, Society: 1861-Present",3,,,Graduate Standing This course covers the evolution of the idea of Europe as seen against the backdrop of the cultural and economic history of the Italian nation,
ITAL 604,Seminar on a Theme of Italian Literature or Culture,3,,,Graduate standing,
ITAL 650,Research Methods and Critical Theory,3,,,Graduate standing Introduction to methods of research/critical theory,
ITAL 697,Directed Research,,,,Graduate Standing and Consent of Instructor,
ITAL 698,Thesis,3,,,Graduate Standing and Consent of Instructor,
