course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
JAPN 101,Fundamentals of Japanese,4,,,One GE Foundation (may be taken concurrently) or formal prerequisites and/or competency equivalent for JAPN 101,
JAPN 102,Fundamentals of Japanese,4,,,JAPN 101 ; one GE Foundation course (may be taken concurrently) or formal prerequisites and/or competency equivalent for advanced study in Japanese,
JAPN 201,Intermediate Japanese,4,,,"JAPN 102 ; GE Foundation requirements, or formal prerequisites and/or competency equivalent for advanced study in Japanese",
JAPN 202,Intermediate Japanese,4,,,"JAPN 201 ; GE Foundation requirements, or formal prerequisites and/or competency equivalent for advanced study in Japanese",
JAPN 301,Advanced Japanese,3,,,JAPN 202 or equivalent as determined by instructor,
JAPN 302,Advanced Japanese,3,,,JAPN 301 or equivalent as determined by instructor,
JAPN 311,Advanced Spoken Japanese,3,,,JAPN 202 or equivalent as determined by instructor,
JAPN 312,Advanced Spoken Japanese,3,,,JAPN 311 or equivalent as determined by instructor,
JAPN 421,Selected Readings/Writing in Japanese,3,,,"JAPN 302 and JAPN 312 , or consent of instructor",
JAPN 422,Technical Japanese,3,,,"JAPN 302 and JAPN 312 , or consent of instructor",
JAPN 451,Japanese Civilization,3,,,"JAPN 302 and JAPN 312 , or consent of instructor",
JAPN 452,"Japan: Its Land, People and Culture",3,,,"JAPN 302 and JAPN 312 , or consent of instructor",
JAPN 453,Japanese Culture as Social Process,3,,,"JAPN 302 and JAPN 312 , or equivalent as determined by instructor",
JAPN 461,The Structure of the Japanese Language,3,,,"JAPN 302 and JAPN 312 , or consent of instructor",
JAPN 471,Readings in Modern and Contemporary Japanese Literature,3,,,"JAPN 302 and JAPN 312 , or equivalent as determined by instructor",
JAPN 482,Pedagogical Grammar,3,,,"JAPN 302 and JAPN 312 , or consent of instructor",
JAPN 483,Curriculum and Materials Development,3,,,"JAPN 302 and JAPN 312 , or equivalent as determined by the instructor",
JAPN 490,Selected Topics in Japanese,3,,,Consent of instructor,
JAPN 492,Japanese Internship,,,,Consent of instructor; completion of a minimum of 15 upper division units required for the major in Japanese,
JAPN 497,Directed Studies,,,,Consent of instructor,
JAPN 522,Technical Japanese,3,,,"JAPN 302 and JAPN 312 , or consent of instructor Development of receptive and productive skills using authentic materials drawn from business, humanities, sciences, and others that will be selected according to students’ interest",
JAPN 551,Japanese Civilization,3,,,"JAPN 302 and JAPN 312 , or consent of instructor",
JAPN 582,Pedagogical Grammar,3,,,"JAPN 302 and JAPN 312 , or consent of instructor This course analyzes Japanese grammar from a pedagogical perspective",
JAPN 592,Japanese Internship,,,,Consent of instructor; completion of a minimum of 15 upper division units required for the major in Japanese,
JAPN 681,Practicum,3,,,"Two of the following courses ( JAPN 481 / JAPN 581 , JAPN 483 / JAPN 583 ) or consent of instructor Independent study under the direction of a faculty mentor",
JAPN 695,Directed Readings,,,,Consent of graduate advisor,
JAPN 697,Directed Research,,,,Consent of graduate advisor,
