course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
KIN 115A,Table Tennis,1,,,None,
KIN 142B,Group Exercise: Bootcamp,1,,,None,
KIN 152C,Yoga II,1,,,"Successful completion of KIN 152A, or instructor consent",
KIN 156,Sports Appreciation,3,,,,GE Foundation requirement
KIN 157,Fitness for Living,3,,,,GE Foundation requirement
KIN 187,Swing Dancing,1,,,None,
KIN 201,Introduction to Kinesiology,3,,,Kinesiology majors and pre-majors only,
KIN 218,Professional Development in the Fitness Industry,2,,,KIN Fitness pre-majors and majors only,
KIN 237,Techniques and Analysis of Aquatic Skills,2,,,"Restricted to KIN Physical Education Teacher Education majors only Instruction and techniques in individual aquatic skills, hydrodynamic and movement principles, and an exposure to a variety of learning procedures applicable to the development of aquatic skills",
KIN 250,Techniques of Basketball,1,,,Restricted to KIN Physical Education Teacher Education majors only Instruction in individual and team skills and techniques utilized in the sport of basketball for successful performance,
KIN 251,Techniques of Flag Football,1,,,Restricted to KIN Physical Education Teacher Education majors only,
KIN 253,Techniques of Soccer,1,,,Restricted to KIN Physical Education Teacher Education majors only Instruction in individual and team skills and techniques utilized in the sport of soccer for successful performance,
KIN 255,Techniques of Softball,1,,,"Restricted to KIN Physical Education Teacher Education majors only Instruction and practice in catching, throwing, hitting, sliding, base running, and bunting",
KIN 257,Techniques of Volleyball,1,,,Restricted to KIN Physical Education Teacher Education majors only Instruction in individual and team techniques utilized in the sport of volleyball,
KIN 261,Techniques and Analysis of Fundamental Rhythms,2,,,"Kinesiology majors in the Adapted PE Option, K-12 PE Option, and Physical Ed Teacher Ed (PETE) majors only",
KIN 263,Techniques of Physical Fitness,2,,,"Restricted to KIN Fitness, Exercise Science, and Sport Psychology & Leadership majors and pre-majors only Consists of instruction, practice, and evaluation in physical fitness",
KIN 264,Techniques of Golf,1,,,Restricted to KIN Physical Education Teacher Education majors only,
KIN 265,Techniques of Gymnastics,1,,,Restricted to KIN Physical Education Teacher Education majors only Techniques and instruction of the principles of movement in gymnastics as well as organizational strategies utilized in presenting gymnastics in Physical Education classes,
KIN 266,Techniques of Badminton,1,,,Restricted to KIN Physical Education Teacher Education majors only,
KIN 267,Techniques of Tennis,1,,,Restricted to KIN Physical Education Teacher Education majors only,
KIN 268,Techniques of Track and Field,1,,,Restrict to KIN Physical Education Teacher Education majors only,
KIN 270,Professional Practices in Public School Physical Education,3,,,"GE writing course requirement and Kinesiology majors in the Adapted PE Option, K-12 PE Option, and Physical Ed Teacher Ed Option (PETE) majors only",Community CPR/First Aid/Safety or current certification
KIN 300,Biomechanics of Human Movement,3,,,BIOL 208 or equivalent 4-unit Human Anatomy course with 3-hour lecture and 3-hour laboratory with a grade of “C” or better or consent of instructor,KIN 201 applies to Kinesiology majors
KIN 301,Exercise Physiology,3,,,BIOL 207 with a “C” or better,KIN 201 applies to Kinesiology majors only
KIN 302,Structural Kinesiology,3,,,BIOL 208,
KIN 312,Motor Control and Learning,3,,,BIOL 207 & BIOL 208 with a grade of “C” or better and Dance Science and Kinesiology majors,KIN 201 applies to Kinesiology majors only
KIN 315,Motor Development,3,,,BIOL 207 & BIOL 208,
KIN 320,Adapted Physical Activity,3,,,BIOL 208,
KIN 335,Historical and Cultural Foundations of Sport and Kinesiology in America,3,,,Kinesiology majors only and upper division standing,
KIN 338,Women in Sport,3,,,"GE Foundation requirements, one or more Exploration courses, and upper-division standing",
KIN 339,Psychology of Sport Behavior and Athletic Performance,3,,,GE Foundation requirements and upper-division standing,
KIN 343,Techniques and Analysis of Physical Fitness and Activity,3,,,KIN 270,
KIN 363,Theory and Analysis of Group Fitness Instruction,2,,,KIN 263,
KIN 364,Fitness for Adult Populations with Unique Health Considerations,3,,,KIN 301 and KIN Fitness majors only,
KIN 367,Fitness and the Aging Process,3,,,"KIN 300 , KIN 301 , KIN 312 , and KIN 339",
KIN 370,Movement Theory and Practice of Elementary Physical Education,3,,,KIN 270,
KIN 380,"Principles, Organization and Management of Secondary School Physical Education",3,,,"KIN 149A , KIN 240, KIN 241, KIN 242, KIN 243, KIN 244, KIN 270 , and KIN 370","KIN 300, KIN 301, KIN 312 and KIN 343"
KIN 387,Pedagogy in Adapted Physical Education,3,,,KIN 320 Prerequisite/Corequisite: KIN 427 and KIN Adapted PE majors and KIN Physical Education Teacher Education (PETE) majors only,KIN 427 and KIN Adapted PE majors and KIN Physical Education Teacher Education (PETE) majors only
KIN 388,Collaboration in Adapted Physical Education,3,,,KIN 387,
KIN 405,Applied Exercise Physiology in Training and Nutrition for Health and Fitness,4,,,"KIN 210 or current First Aid and CPR certificates, KIN 301",
KIN 411,Advanced Program Design for Fitness and Performance,3,,,"KIN 368 , KIN 467",
KIN 412,Fitness and Wellness Coaching,3,,,KIN 339,
