course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
LING 301,Introduction to Research Methods,3,,,LING 170 / ANTH 170 or consent of instructor,
LING 310,Morphology of English,3,,,LING 170 or ANTH 170,
LING 329,Introduction to Language Acquisition,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage",
LING 360,The Languages of Africa,3,,,Completion of at least 60 units,
LING 363,Implications of Human Language,3,,,Students must have scored 11 or higher on the GWAR Placement Examination or completed the necessary portfolio course that is a prerequisite for a GWAR Writing Intensive Capstone,
LING 375,Spanish in the US,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage",
LING 379,Sociolinguistics,3,,,LING 170 / ANTH 170,
LING 401,Corpus Linguistics,3,,,LING 170 / ANTH 170 or consent of instructor,
LING 413,Language and Culture,3,,,LING 170 / ANTH 170 or consent of instructor,
LING 420,Phonology,3,,,LING 170 / ANTH 170 or consent of instructor,
LING 421,Syntax,3,,,LING 325,
LING 422,Discourse Analysis,3,,,,"LING 421 or consent of instructor Explores natural language in use, including the functional and cognitive analysis of structures relevant to genre and to discourse as practice"
LING 438,Psycholinguistics,3,,,"LING major or minor and LING 170 , or PSY major and PSY 301",
LING 450,Teaching Second Language Listening and Speaking,3,,,LING 329 (prerequisite) or LING 420 (prerequisite or co-requisite) An introduction to teaching listening and speaking in the second language (L2) classroom,LING 329 (prerequisite) or LING 420 (prerequisite or co-requisite) An introduction to teaching listening and speaking in the second language (L2) classroom
LING 460,Teaching Second Language Composition,3,,,LING 325 or consent of instructor,
LING 472,Language and Social Justice,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage",
LING 486,Second Language Teaching Methods,3,,,LING 325 or consent of instructor,
LING 490,Selected Topics in Linguistics,,,,Consent of instructor,
LING 499,Directed Studies in Linguistics,,,,Consent of instructor,
LING 522,Discourse Analysis,,,,,"LING 421 or consent of instructor Explores natural language in use, including the functional and cognitive analysis of structures relevant to genre and to discourse as practice"
LING 533,Ethnography of Communication,3,,,Graduate standing,
LING 539,Language Acquisition,3,,,LING 329 or equivalent,
LING 550,Teaching Second Language Listening and Speaking,3,,,​ LING 329 (prerequisite) or LING 420 (prerequisite or co-requisite) An introduction to teaching listening and speaking in the second language (L2) classroom,​ LING 329 (prerequisite) or LING 420 (prerequisite or co-requisite) An introduction to teaching listening and speaking in the second language (L2) classroom
LING 561,Second Language Curriculum Development,3,,,LING 325 or consent of instructor,
LING 562,Second Language Testing and Assessment,3,,,LING 325 or consent of the instructor,
LING 575,Literacy and Linguistics,3,,,Six units in linguistics or consent of instructor,
LING 580,Linguistic Field Methods,3,,,"LING 420 and LING 421 , or consent of instructor",
LING 590,Selected Topics in Linguistics,,,,Consent of instructor,
LING 593,Practicum in TESOL,3,,,LING 486,
LING 595,Qualitative Research Methods,3,,,Advancement to candidacy for the M,
LING 596,Quantitative Research Methods,3,,,Advancement to candidacy for the M,
LING 597,Directed Study in Linguistics,,,,Consent of instructor and advisor,
LING 610,Historical Linguistics,3,,,"LING 420 and LING 421 , or consent of instructor",
LING 620,Seminar in Syntactic Theory and Analysis,3,,,LING 421,
LING 625,Seminar in Phonetics and Phonology,3,,,LING 420,
LING 650,Seminar in Bilingualism,3,,,LING 329 or consent of instructor,
LING 697,Directed Research,,,,Advancement to candidacy for the M,
LING 698,Thesis,,,,Consent of graduate committee,
