course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
MAE 101A,Introduction to Aerospace Engineering,1,,,Freshman standing or consent of instructor and MATH 111 or MATH 113 or MATH 122 with a grade of “C” or better,
MAE 101B,Introduction to Mechanical Engineering,1,,,Freshman standing or consent of instructor and MATH 111 or MATH 113 or MATH 122 with a grade of “C” or better,
MAE 172A,Engineering Design Graphics - AutoCAD,2,,,None Engineering graphics and drafting principles focusing on civil engineering applications,
MAE 172B,Engineering Design Graphics - SolidWorks,2,,,None Graphics concept and visualization,
MAE 172C,Engineering Design Graphics - CATIA,2,,,None Graphics concept and visualization,
MAE 205,Computer Methods in Mechanical and Aerospace Engineering,2,,,MATH 122 with a grade of “C” or better,
MAE 272,Introduction to Manufacturing Processes,2,,,"MAE 172B or MAE 172C with a grade of “C” or better Manufacturing processes, properties of materials; metals production; foundry, casting, heat treatment; welding, powder metallurgy, plastics, metrology; working metals, press work; machine tool elements, numerical control; metal cutting/turning; drilling, boring, milling; shaping planning, sawing broaching; grinding, sanding; gears, gear-cutting, threads, thread-cutting",
MAE 300,Engineering Instrumentation and Measurement,2,,,MATH 224 ; PHYS 152 or E E 210 and E E 210L all with a grade of “C” or better,
MAE 305,Numerical Methods in Mechanical and Aerospace Engineering,3,,,MAE 205 and MATH 370A all with a grade of “C” or better,
MAE 322,Engineering Materials and Materials Processes,3,,,"CHEM 111A , MATH 123 all with a grade of “C” or Better Structure and properties of engineering materials",
MAE 330,Engineering Thermodynamics I,3,,,"MATH 224 , PHYS 151 or equivalent, and CHEM 111A all with a grade of “C” or better or consent of instructor",
MAE 330H,Engineering Thermodynamics I,3,,,"MATH 224 , PHYS 151 , ( CHEM 111A or CHEM 112A ) all with a “C” or better",
MAE 333,Engineering Fluid Dynamics,3,,,"C E 205 , MATH 370A all with a grade of “C” or better",
MAE 334,Aerodynamics I,3,,,MAE 333 with a grade of “C” or better,
MAE 336,Power Plant Design,3,,,MAE 330 with a grade of “C” or better,
MAE 337,Thermal Engineering Laboratory,2,,,MAE 336 with a grade of “C” or better,
MAE 350,Flight Mechanics,3,,,C E 205 with a grade of “C” or better,
MAE 361,Materials and Properties Laboratory,1,,,"ENGL 100B or GE English Composition (Area 1A), MAE 300 , MAE 322 , MAE 373 all with a grade of “C” or better",
MAE 365,Aerospace Structures I,3,,,MAE 373 with a grade of “C” or better,
MAE 371,Analytical Mechanics II (Dynamics),3,,,"C E 205 , MAE 205 or C E 206 all with a grade of “C” or better",
MAE 371H,Analytical Mechanics II (Dynamics),3,,,( C E 205 or C E 205H ) or MAE 205 or ( C E 206 and C E 206L ) with a “C” or better,
MAE 373,Mechanics of Deformable Bodies,3,,,C E 205 with a grade of “C” or better,
MAE 373H,Mechanics of Deformable Bodies,3,,,C E 205 or C E 205H with a “C” or better,
MAE 374,Mechanical Properties of Materials Laboratory,1,,,"ENGL 100B or equivalent, MAE 373 , and MAE 300 all with a grade of “C” or better or consent of instructor",
MAE 375,Kinematics and Dynamics of Mechanisms,3,,,"MAE 272 , MAE 371 all with a grade of “C” or better",
MAE 376,Modeling and Analysis of Dynamic Systems,3,,,MAE 371 ; MATH 370A all with a grade of “C” or better,
MAE 381,Fundamentals of Spacecraft Dynamics,3,,,"PHYS 152 or E E 210 and E E 210L , MATH 370A , and MAE 371 , all with a grade of “C” or better",
MAE 390,Aerospace Engineering Seminar,1,,,Upper-division standing,
MAE 408,Systems Engineering and Integration,3,,,Senior standing or consent of instructor,
MAE 422,Composite Materials,3,,,MAE 373 with a grade of “C” or better,
MAE 431,Heat Transfer Systems Design,3,,,"MAE 305 , MAE 330 ; C E 335 or MAE 333 all with a grade of “C” or better",
MAE 434,Aerodynamics II,3,,,MAE 334 with a grade of “C” or better,
MAE 435,Computational Fluid Dynamics I,3,,,"MATH 370A , MAE 333 all with a grade of “C” or better",
MAE 438,"Heating, Ventilating, Air Conditioning, and Refrigeration",3,,,"MAE 330 , C E 335 all with a grade of “C” or better",
MAE 440,Aerodynamics Laboratory,1,,,MAE 300 and MAE 334 all with a grade of “C” or better,
MAE 451,Aircraft Preliminary Design and Performance,3,,,"MAE 334 , MAE 350 all with a grade of “C” or better, or consent of instructor",
MAE 452,Propulsion,3,,,MAE 330 and MAE 334 all with a grade of “C” or better,
MAE 453,Stability and Control of Aerospace Vehicles,3,,,MAE 350 or equivalent all with a grade of “C” or better,MAE 334
MAE 453H,Stability and Control of Aerospace Vehicles,3,,,MAE 350 or equivalent all with a grade of “C” or better,MAE 334
MAE 454,Avionics Systems,3,,,MAE 453 with a grade of “C” or better,
MAE 459,Professional Practice Seminar,1,,,Senior standing or consent of instructor,
MAE 465,Aerospace Structures II,3,,,MAE 365 with a grade of “C” or better,
MAE 471,Design and Analysis of Mechanical Engineering Systems I,3,,,"MAE 322 , MAE 373 and MAE 375 all with a grade of “C” or better",
MAE 472,Design and Analysis of Mechanical Engineering Systems II,3,,,"MAE 330 , MAE 471 all with a grade of “C” or better",
MAE 476,Mechanical Control Systems I,3,,,MAE 376 with a grade of “C” or better,
MAE 476H,Mechanical Control Systems I,3,,,MAE 376 with a “C” or better,
MAE 478,Aerospace System Design I,3,,,"MAE 334 , MAE 350, MAE 365 , and MAE 381 all with a grade of “C” or better","MAE 434 , MAE 465 , or MAE 481"
MAE 479,Aerospace Systems Design II,2,,,MAE 478 with a grade of “C” or better,
MAE 481,Spacecraft Systems,3,,,MAE 381 with a grade of “C” or better,
MAE 483,Space Flight and Orbital Mechanics,3,,,MAE 381 with a grade of “C” or better,
