course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
MKTG 300,Principles of Marketing,3,,,Exclude Freshmen,
MKTG 310,Retail Concepts and Policies,3,,,"MKTG majors, Pre-MKTG majors, MKTG minors, and ENTR minors",
MKTG 330,Advertising and Promotion I,3,,,"MKTG majors, Pre-MKTG majors, International Business majors, Pre-International Business majors, MKTG minors and ENTR minors only",
MKTG 350,Introduction to Entrepreneurial Marketing,3,,,"MKTG majors, Pre-MKTG majors, MKTG minors and ENTR minors only",
MKTG 355,Experiential Entrepreneurial Marketing,3,,,Not open for students with credit in MKTG 350 and consent by instructor,
MKTG 405,Green Marketing and Sustainability,3,,,"Marketing majors, International Business majors, and Marketing minors only",
MKTG 410,Services Marketing,3,,,Marketing majors and Entrepreneurship or Marketing minors only,
MKTG 420,Sales Management,3,,,Marketing majors and minors only,
MKTG 430,Advertising and Promotion II,3,,,Marketing majors and Entrepreneurship or Marketing minors only,
MKTG 437,Digital Marketing and Media I,3,,,"Marketing majors, International Business majors, and Marketing minors only",
MKTG 450,Advanced Professional and Personal Selling,3,,,Marketing majors and minors only,
MKTG 465,Business to Business Marketing,3,,,Marketing majors and Entrepreneurship or Marketing minors only,
MKTG 470,Marketing Research,3,,,"STAT 118 or STAT 108 or I S 310 , MKTG 300 with grade of “C” or better, and I S 301",
MKTG 475,Marketing Analytics,3,,,"I S 301 , I S 310 , and MKTG 300 with grade of “C” or better",
MKTG 480,International Marketing,3,,,"International Business majors, Marketing majors, International Business minors, Entrepreneurship minors or Marketing minors only",
MKTG 481,International Marketing in Selected Markets,3,,,"International Business majors, Marketing majors, International Business minors or Marketing minors only",
MKTG 487,Digital Marketing and Media II,3,,,MKTG 437 or instructor consent,
MKTG 490,Consumer Behavior,3,,,"Marketing majors, International Business majors, Entrepreneurship minors, and Marketing minors only",
MKTG 492,New Products/New Services,3,,,Marketing majors and Entrepreneurship or Marketing minors only,
MKTG 494,Marketing Management,3,,,Senior Marketing majors only,
MKTG 495,Selected Topics in Marketing,3,,,Consent of department chair,
MKTG 497,Directed Studies in Marketing,,,,Consent of department chair,
MKTG 500,Marketing Concepts,3,,,MBA majors only,
MKTG 628,Seminar in Business-to-Business Marketing,3,,,MKTG 500,
MKTG 630,Branding and Integrated Marketing Communications,3,,,MKTG 500,
MKTG 661,Seminar in Marketing Management,3,,,MKTG 500,
MKTG 662,Pricing Analytics and Strategy,3,,,MKTG 500,
MKTG 663,Seminar in Social and Digital Media Marketing,3,,,MKTG 500,
MKTG 665,Seminar in Marketing Research,3,,,MKTG 500,
MKTG 666,Seminar in International Marketing,3,,,MKTG 500,
MKTG 667,Marketing and Sustainability,3,,,MKTG 500,
MKTG 675,Seminar in Marketing Analytics,3,,,MKTG 500,
MKTG 677,Advanced Marketing Analytics,3,,,MKTG 500,
MKTG 690,Marketing Strategies and Analytics for New Product,3,,,MKTG 500 Marketing strategies and analytics for new product development and success,
MKTG 692,Entrepreneurial Marketing and Innovation,3,,,MKTG 500,
MKTG 695,Selected Topics in Marketing,3,,,Consent of department chair,
MKTG 697,Directed Studies in Marketing,,,,Consent of department chair,
MKTG 699,Capstone Project,3,,,Graduate standing in the final 6 units of the program,
