course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
NRSG 200,Foundations of Professional Nursing,6,,,Admission to the Nursing program,
NRSG 250,Intermediate Medical Surgical Nursing,6,,,"NRSG 200 , NRSG 302 , and NRSG 305 , or consent of instructor",
NRSG 302,Foundations of Clinical Pharmacology,3,,,"Admission to the undergraduate nursing program or consent of the instructor Systematic study of medications used for major body system disorders, their pharmacologic and therapeutic classifications, modes of action, dosages, routes of administration, contraindications and toxic effects",
NRSG 305,Pathophysiology for Nurses,3,,,"Admission to the undergraduate nursing program or department consent Study of the pathogenesis with an emphasis on pathophysiological processes, understanding disease trajectory and interventions to limit disease progression",
NRSG 306,Pathophysiology and Pharmacology for Registered Nurses,3,,,Admission to RN to BSN Program,
NRSG 309,Introduction to Professional Practice,3,,,Admission to RN to BSN program,
NRSG 312,Health Assessment,3,,,"Basic Program students: NRSG 200, NRSG 302, and NRSG 305",
NRSG 314,Health Assessment for Registered Nurses,3,,,Admission to RN to BSN Program,
NRSG 331,Advanced Acute Care Nursing,6,,,"NRSG 250 , NRSG 302 , NRSG 312 , and GERN 400 , or consent of instructor","NRSG 341 and NRSG 450 , or consent of instructor"
NRSG 341,Psychiatric/Mental Health Nursing,6,,,"NRSG 250 , NRSG 302 , NRSG 312 , GERN 400 , or consent of instructor","NRSG 331 and NRSG 450 , or consent of instructor"
NRSG 351,Maternal/Newborn Nursing and Women’s Health,6,,,"NRSG 331 , NRSG 341 , NRSG 450 , or consent of instructor","NRSG 361 and NRSG 456 , or consent of instructor"
NRSG 361,Child Health Care,6,,,"NRSG 331 , NRSG 341 , and NRSG 450 , or consent of instructor","NRSG 351 and NRSG 456 , or consent of instructor"
NRSG 402,Community Health Nursing,6,,,"For basic program students: NRSG 351 , NRSG 361 , NRSG 456 , or consent of instructor",Basic Program Students: NRSG 454 ; NRSG 458 or consent of instructor
NRSG 406,Population Health,5,,,"NRSG 306, NRSG 309, NRSG 314, or consent of instructor",
NRSG 450,Introduction to Nursing Research and Evidence-Based Practice,3,,,"NRSG 250 , NRSG 302 , NRSG 312 , and GERN 400 or consent of instructor","NRSG 331 and NRSG 341 Emphasizes application of research theory to evidence-based nursing practice, including ethics in nursing research and research process"
NRSG 454,Professional Nursing Practice Preceptorship,6,,,"NRSG 351 , NRSG 361 , and NRSG 456 , or consent of instructor; RN-BSN program student pre-requisites: NRSG 305, NRSG 309, NRSG 312, or consent of instructor","NRSG 402 and NRSG 458 , or consent of instructor"
NRSG 456,Health Care Delivery Systems and Nursing Leadership,3,,,"NRSG 331 , NRSG 341 , and NRSG 450 , or consent of instructor","NRSG 351 and NRSG 361 , or consent of instructor"
NRSG 458,NCLEX-RN Preparatory Course,1,,,"NRSG 351 , NRSG 361 , and NRSG 456 Corequisites: NRSG 402 or NRSG 454 , or consent of instructor","NRSG 402 or NRSG 454 , or consent of instructor"
NRSG 460,Research and Evidence-Based Practice,3,,,NRSG 309,
NRSG 462,Health Systems Management and Nursing,3,,,Admission to RN to BSN Program,
NRSG 464,Current Issues in Nursing,3,,,"NRSG 309, NRSG 460",
NRSG 468,Bridging Nursing Education and Practice,3,,,"NRSG 309, NRSG 314, NRSG 460, and NRSG 462 or consent of instructor",
NRSG 481,Parenting,3,,,"GE Foundation requirements, one or more Exploration courses, and upper division standing",
NRSG 490,Independent Study,,,,Consent of any nursing faculty,
NRSG 499,Selected Topics in Nursing,,,,Consent of instructor,
NRSG 510,Advanced Pathophysiology for Advanced Practice Nursing,3,,,"Admission to the graduate nursing program and completion of upper division pathophysiology course, or department consent",
NRSG 520,Advanced Pharmacology for Advanced Practice Nursing,3,,,"Admission to the graduate nursing program, or department consent",
NRSG 530,Health Assessment for Advanced Practice Nursing,3,,,"Admission to the graduate nursing program and a grade of “C” or better in basic physical assessment course, or consent of instructor","Admission to the graduate nursing program and a grade of “C” or better in basic physical assessment course, or consent of instructor"
NRSG 530A,Health Assessment for Advanced Practice Nursing Clinical Seminar,1,,,"Admission to the graduate nursing program and a grade of “C” or better in basic physical assessment course, or consent of instructor",NRSG 530
NRSG 535,Advanced Pediatric Physical Assessment and Health Promotion,2,,,Admission to the Pediatric Primary Care nurse practitioner program or school nurse credential program or consent of the instructor,NRSG 535L
NRSG 535L,Advanced Pediatric Physical Assessment Laboratory,1,,,Admission to the Pediatric Primary Care nurse practitioner program or school nurse credential program or consent of the instructor,NRSG 535
NRSG 540,"Health Care Economics, Policy and Information Management for Advanced Practice Nursing",2,,,Admission to graduate nursing program or consent of instructor,
NRSG 550,Human Diversity and Psychosocial Issues in Health Care for Advanced Practice Nursing,2,,,Admission to graduate nursing program or consent of instructor,
NRSG 551A,Spanish Language Competency for Advanced Nursing Practice,3,,,Consent of instructor,
NRSG 556C,Microteaching in Nursing,3,,,Graduate standing; NRSG 556A and 556B,
NRSG 556L,Theoretical Concepts in Nursing Education: Practice Teaching,4,,,NRSG 556A or consent of instructor,
NRSG 560,Foundations of Theoretical and Professional Roles for Advanced Practice Nurses,2,,,Admission to graduate nursing program or instructor consent,
NRSG 590,Independent Study,,,,Consent of a nursing faculty member or department consent,
NRSG 596,Research for Advanced Nursing Practice,3,,,"Admission to the graduate nursing program and upper division statistics, or consent of instructor",
NRSG 610,Women’s Health Theories for Advanced Practice Nursing I,4,,,"A grade of “C” or better in NRSG 510 , NRSG 520 , NRSG 530 , NRSG 530A , NRSG 540 , NRSG 550 , NRSG 560 , and NRSG 596","NRSG 610A and NRSG 610B Epidemiology, etiology, differential diagnoses, management, and prevention of common health problems of women with a focus on the role of the nurse practitioner in health promotion, health protection, disease prevention in ambulatory health care settings"
NRSG 610A,Women’s Health Clinical Studies for Advanced Practice Nursing I,4,,,"A grade of “C” or better in NRSG 510 , NRSG 520 , NRSG 530 , NRSG 530A , NRSG 540 , NRSG 550 , NRSG 560 , and NRSG 596",NRSG 610 and NRSG 610B
NRSG 610B,Women’s Health Clinical Studies for Advanced Practice Nursing II,4,,,"A grade of “C” or better in NRSG 510 , NRSG 520 , NRSG 530 , NRSG 530A , NRSG 540 , NRSG 550 , NRSG 560 , and NRSG 596",NRSG 610 and NRSG 610A
NRSG 611,Women’s Health Theories for Advanced Practice Nursing II,3,,,"A grade of “C” or better in NRSG 610 , NRSG 610A , and NRSG 610B",NRSG 611A and NRSG 611B
NRSG 611A,Women’s Health Clinical Studies for Advanced Practice Nursing III,3,,,"A grade of “C” or better in NRSG 610 , NRSG 610A , and NRSG 610B",NRSG 611 and NRSG 611B
NRSG 611B,Women’s Health Clinical Studies for Advanced Practice Nursing IV,3,,,"A grade of “C” or better in NRSG 610 , NRSG 610A , and NRSG 610B",NRSG 611 and NRSG 611A
NRSG 612,Women’s Health Theories for Advanced Practice Nursing III,3,,,"NRSG 611 , NRSG 611A , NRSG 611B",NRSG 612A
NRSG 612A,Women’s Health Clinical Studies for Advanced Practice Nursing V,3,,,"Admission to the graduate nursing program, NRSG 611 , NRSG 611A , and NRSG 611B",NRSG 612
