course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
PHIL 203,History of Early Western Philosophy,3,,,"Completion of GE categories 1A, 1B, and 1C",
PHIL 204,History of Modern Western Philosophy,3,,,"Completion of GE categories 1A, 1B, and 1C",
PHIL 351,Political Philosophy,3,,,Students must have scored 11 or higher on the GWAR Placement Examination or successfully completed the necessary portfolio course that is a prerequisite for a GWAR Writing Intensive Capstone (subject to approval by the General Education Governing Committee (GEGC)),
PHIL 360,Environmental Ethics,3,,,Completion of at least 60 units; GE Foundations,
PHIL 370,Rationality and Decisions,3,,,PHIL 170 or PSY 130 or I S 100 or CECS 100 or COMM 131 ; Intermediate Algebra,
PHIL 400,Business Ethics,3,,,"GE Foundation requirements, at least one Explorations course",
PHIL 402,Engineering Ethics,3,,,Completion of at least 60 units,
PHIL 403,Medical Ethics,3,,,Completion of at least 60 units,
PHIL 405,Philosophy in Literature,3,,,None Intensive exploration of philosophical ideas in selected literature with special attention to both philosophical and literary ways of reading and appreciating a text,
PHIL 455,Philosophical Perspectives on Sex and Love,3,,,Six units of philosophy or consent of instructor,
PHIL 489,Philosophy Internship/Pre-Law,,,,Consent of Philosophy Department Chair; completion of a minimum of 15 upper-division units required for the Philosophy major,
PHIL 497H,Undergraduate Honors Seminar,3,,,1) Admission to the undergraduate Honors Program in Philosophy,
PHIL 498H,Undergraduate Honors Thesis,3,,,Admission to the undergraduate Honors Program in Philosophy,
PHIL 499,Directed Studies,,,,Consent of instructor,
PHIL 599,Graduate Tutorial,,,,Six units of Philosophy or consent of instructor,
PHIL 610,Proseminar,3,,,"Classified or Conditionally Classified Status in Philosophy Introduction to graduate-level philosophy, with emphasis on basic level skills in analysis, research, and composition",
PHIL 620,Selected Topics - History of Philosophy,3,,,Consent of instructor,
PHIL 697,Directed Research,,,,Classified Status and consent of student’s advisor or Graduate Advisor,
PHIL 698,Thesis or Project,,,,"Consent of student’s advisor or graduate advisor, and advancement to candidacy",
