course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
PSY 100,General Psychology,3,,,,"Students who score 147 or above on the English Placement Test or “C” or better in one of the following AFRS 100A , ASAM 100A , CHLS 104A , ENGL 100A or ALI 150 or equivalent"
PSY 110,Elementary Statistics,4,,,Eligible to take General Education Quantitative Reasoning Course as determined by the CSU Multiple Measures of Academic Proficiency,Eligible to take General Education Quantitative Reasoning Course as determined by the CSU Multiple Measures of Academic Proficiency
PSY 150,Personality and Social Behavior,3,,,,One GE Foundation course
PSY 175,"My Neighborhood, Our City",3,,,One GE Foundations Course,One GE Foundations Course
PSY 220,Research Methods,4,,,"PSY 100 ; PSY 110 or SOC 170 or HDEV 190 with a grade of ‘C’ or better, and Completion of GE 1A (English Composition) requirement",
PSY 241,Psychobiology,3,,,"PSY 100 , GE 1A requirement",
PSY 300,Mind Control or Freedom,3,,,"PSY 100 , GE Foundation requirement, one or more explorations courses and upper division standing",
PSY 310,Intermediate Statistics,4,,,"Completion of PSY 100 and PSY 110 or SOC170 or HDEV 190 Prerequisites: Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage",
PSY 314,Psychological Assessment,3,,,"PSY 100 , PSY 110 , PSY 220",
PSY 327,Introduction to Human Factors,3,,,"GE Foundation requirement, one Explorations course, and upper division standing Introduction to the field of human factors, a discipline concerned with designing products and systems for human use",
PSY 331,Sensation and Perception,3,,,"PSY 100 , PSY 220 , PSY 241",
PSY 332,Human Cognition,3,,,"PSY 100 , PSY 220 , PSY 241",
PSY 333,Psychology of Learning,3,,,"PSY 100 , PSY 220 , PSY 241",
PSY 336,Psychology of Emotion,3,,,"PSY 100 , PSY 220 , PSY 241",
PSY 337,Psychology of Happiness,3,,,"PSY 100 , PSY 220 , PSY 241",
PSY 340,Physiology of Behavior,3,,,"PSY 100 , PSY 220 , PSY 241",
PSY 341,Neuropsychology,3,,,"PSY 100 , PSY 220 , PSY 241",
PSY 342,Psychopharmacology,3,,,"PSY 100 , PSY 220 , PSY 241",
PSY 346,Evolutionary Psychology,3,,,"GE Foundation requirement and one or more Explorations courses, PSY 100 and upper division standing",
PSY 350,Psychology and Contemporary Social Issues,3,,,"PSY 100 , GE Foundation requirement, one or more explorations courses and upper division standing",
PSY 351,Social Psychology,3,,,PSY 100,
PSY 354,Psychology of Women,3,,,PSY 100,
PSY 356,Personality,3,,,PSY 100,
PSY 361,Psychology of Child and Adolescent Development,3,,,PSY 100,
PSY 362,Autism Spectrum Disorders,3,,,PSY 100,
PSY 363,Developmental Psychopathology,3,,,PSY 100,
PSY 365,Development: Emerging Adulthood to Aging,3,,,PSY 100,
PSY 370,Abnormal Psychology,3,,,PSY 100,
PSY 372,Foundations of Applied Behavior Analysis,3,,,PSY 100 ; Upper-Division Standing,
PSY 373,Introduction to Clinical Psychology,3,,,"PSY 100 , PSY 370",
PSY 375,Community Psychology,3,,,"GE Foundation requirement, PSY 100 , and upper division standing",
PSY 378,Health Psychology,3,,,"PSY 100 , completion of at least 60 units",
PSY 379,Psychology of Stress,3,,,"PSY 100 , completion of at least 60 units",
PSY 381,Introduction to Industrial-Organizational Psychology,3,,,PSY 100,
PSY 383,"Women, Family, and Work Issues",3,,,PSY 100,
PSY 401,History of Psychology,3,,,"PSY 301 , 6 units upper division in Psychology, PSY majors only",
PSY 405,Internship in Psychology,3,,,"PSY major, (3",
PSY 406A,Professional Development in Psychology,3,,,PSY 301,
PSY 406B,Professional Development in Psychology,3,,,"PSY major, PSY 301",
PSY 407,Introduction to Family Therapy,3,,,"Psychology major, PSY 301",
PSY 411,Statistical Design and Analysis of Experiments,3,,,"PSY 301 , PSY 310 , PSY majors",
PSY 412,Multivariate Statistical Analysis,3,,,"PSY 301 , PSY 310 , PSY majors",
PSY 418,Computer Applications in Psychology,3,,,PSY 301 and PSY 310,
PSY 434,"Human Memory: Exploring Brain, Mind and The Past",3,,,PSY 301,
PSY 435,Animal Cognition,3,,,"Psychology major, PSY 301 and PSY 332 or PSY 333",
PSY 438,Psycholinguistics,3,,,"LING major or minor and LING 170 , or PSY major and PSY 301","LING major or minor and LING 170 , or PSY major and PSY 301"
PSY 444,Cognitive Neuroscience,3,,,"PSY 301 , PSY 310 & PSY 332 & one of the following PSY 340 , PSY 341 , PSY 342",
PSY 451,Research in Social Psychology,3,,,"PSY 301 , PSY 310 , PSY 351",
PSY 453,Principles of Group Dynamics,3,,,"PSY 301 , PSY 351",
PSY 454,Leadership and Social Influence,3,,,PSY 301 and PSY majors only,
PSY 463,Social and Personality Development,3,,,"PSY 301 , PSY 361 , PSY majors",
PSY 471,Interpersonal Violence and Victimization,3,,,"Psychology Major, PSY 301",
PSY 475,Clinical Interviewing,3,,,"PSY 301 , PSY 373",
PSY 477,Psychology of Addiction,3,,,PSY 301,
PSY 490,Selected Topics in Psychology,3,,,PSY 301,
PSY 490H,Selected Topics - Honors,3,,,"Psychology major, PSY 301 ; consent of the Psychology Honors Program Advisory Committee",
PSY 495,Psychology and the Law,3,,,PSY 301 and PSY 370,
PSY 497H,Senior Thesis - Honors Presentation,1,,,"Psychology major, PSY 301 : Permission of the Psychology Honors Program Committee, PSY 490H and PSY 498H This course is designed to train psychology honors students in presentations of their completed thesis work",
PSY 498H,Senior Thesis - Honors,3,,,"Psychology major, PSY 301 ; PSY 490H , 496H and consent of the supervising faculty member",
PSY 499,Independent Study,,,,"Psychology major, PSY 301 ; and consent of department",
PSY 501,History of Psychology,3,,,PSY majors only or consent of instructor,
PSY 507,Introduction to Family Therapy,3,,,"PSY 220 , PSY 370 or PSY 373 or PSY 475 or consent of instructor",
PSY 511,Statistical Design and Analysis of Experiments,3,,,"PSY majors only, PSY 310 or consent of instructor",
PSY 512,Multivariate Statistical Analysis,3,,,PSY majors only,
PSY 515,Test Construction Theory and Practice,3,,,PSY 310 and PSY 314,
