course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
SDHE 510,Student Development in Higher Education,3,,,"Must be current student enrolled in Counseling, Student Development in Higher Education Master’s Program",
SDHE 511,Equity and Access for the U.S. College Student,3,,,SDHE 510,
SDHE 512,Law & Ethics in Higher Education,3,,,"Must be a current student enrolled in Counseling, Student Development in Higher Education Master’s Program",
SDHE 513,Critical Perspectives in Student Development Theory and Practice,3,,,SDHE 510,
SDHE 514,Leading for Equity and Change in Higher Education,3,,,"Must be a current student enrolled in Counseling, Student Development in Higher Education Master’s Program",
SDHE 516,Counseling and Adult Development: Theory & Practice,3,,,SDHE 513 and SDHE 521,
SDHE 517,Critical Approaches to Teaching and Learning in Higher Education,3,,,"SDHE 513, SDHE 515",
SDHE 520,Introduction to Counseling for Diverse Populations in Higher Education,3,,,"Must be a current student enrolled in Counseling, Student Development in Higher Education Master’s Program",
SDHE 521,Advanced Counseling for Diverse Populations in Higher Education,3,,,SDHE 520,
SDHE 522,Group Dialogue and Counseling in Higher Education,3,,,SDHE 520 and SDHE 521,
SDHE 523,Career Counseling in Higher Education,3,,,SDHE 520 and SDHE 521,
SDHE 530,Introduction to Research Methods in Student Affairs and Higher Education,3,,,"Must be a current student enrolled in Counseling, Student Development in Higher Education Master’s Program",
SDHE 531,Advanced Research Methods in Student Affairs and Higher Education,3,,,SDHE 530,
SDHE 532,Institutional Effectiveness for Equity and Student Success in Higher Education,3,,,SDHE 530 and SDHE 531,
SDHE 610,Introduction to the Community College,3,,,"Must be a current student enrolled in Counseling, Student Development in Higher Education Master’s Program",
SDHE 640,Professional Development Seminar: Student Development in Higher Education,1,,,,SDHE 510
SDHE 641,Intermediate Professional Development Seminar: Student Development in Higher Education,1,,,SDHE 640,
SDHE 642,Advanced Professional Development Seminar: Student Development in Higher Education,1,,,"SDHE 640 , SDHE 641 Must be a current student enrolled in Counseling, Student Development in Higher Education Master’s Program",
SDHE 643,Fieldwork: Student Development in Higher Education,3,,,"SDHE 516 , SDHE 510",
SDHE 644,Advanced Fieldwork: Student Development in Higher Education,3,,,"SDHE 516 , SDHE 510 , SDHE 643",
SDHE 698,Thesis: Student Development in Higher Education,3,,,"SDHE 530, SDHE 531",
