course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
SLP 261,Anatomy and Physiology of the Speech and Hearing Mechanism,3,,,Speech Language Pathology majors and Pre-Speech Language Pathology majors only,
SLP 271,Phonetics,3,,,Speech Language Pathology majors and Pre-Speech Language Pathology majors only,
SLP 329,Language Acquisition: From Birth Through Adolescence,3,,,"A grade of “‘C” or better in SLP 100 , SLP 261 and SLP 271 and Speech Language Pathology majors only",
SLP 330,Speech and Hearing Science,3,,,"A grade of “‘C” or better in SLP 100 , SLP 261 and SLP 271 and Speech-Language Pathology majors only",
SLP 373,Introduction to Audiology,3,,,"A grade of “‘C” or better in SLP 100 , SLP 261 and SLP 271 and Speech Language Pathology majors only",
SLP 440,Aural Rehabilitation,3,,,"A grade of “C” or better in SLP 329 , SLP 330 , SLP 373 , and SLP 477 and Speech Language Pathology majors only",
SLP 456,Introduction to Speech Sound Disorders,3,,,"A grade of “C” or better in SLP 440 , SLP 464 , SLP 476 , and SLP 481A and Speech Language Pathology majors only",
SLP 460,Multicultural and Multilingual Issues in Speech- Language Pathology,3,,,"A grade of “C” or better in SLP 456 , SLP 466 , SLP 472 , and SLP 483 and Speech Language Pathology majors only",
SLP 462,Speech-Language Pathology Assistant (SLPA) Practicum,3,,,At least 33 units in SLP completed with “B” or better,
SLP 464,Cultural Competence in Behavior Management and Counseling in Speech-Language Pathology,3,,,"A grade of “C” or better in SLP 329 , SLP 330 , SLP 373 , and SLP 477 and Speech-Language Pathology majors only",
SLP 466,Introduction to Motor Speech Disorders and Fluency Disorders,3,,,"A grade of “C” or better in SLP 440 , SLP 464 , SLP 476 , and SLP 481A",
SLP 472,Introduction to Augmentative and Alternative Communication,3,,,"A grade of “C” or better in SLP 440 , SLP 464 , SLP 476 , and SLP 481A",
SLP 476,Introduction to Voice Disorders/Oro‑facial Mechanism,3,,,"A grade of “C” or better in SLP 329 , SLP 330 , SLP 373 , and SLP 477 and Speech Language Pathology majors only",
SLP 477,Introduction to Swallowing and Feeding,3,,,"A grade of “C” or better in SLP 100 , SLP 261 and SLP 271 and Speech-Language Pathology majors only",
SLP 481A,Introduction to Language Disorders in Children,3,,,"A grade of “C” or better in SLP 329 , SLP 330 , SLP 373 , and SLP 477 and Speech-Language Pathology majors only",
SLP 481B,Introduction to Acquired Neurogenic Communication Disorders in Adults,3,,,"A grade of “C” or better in SLP 456 , SLP 466 , SLP 472 , and SLP 483",
SLP 483,Introduction to Clinical Management,3,,,"A grade of “C” or better in SLP 440 , SLP 464 , SLP 476 , and SLP 481A",
SLP 485,Introduction to Autism Spectrum Disorders for Speech-Language Pathologists,3,,,"A grade of “C” or better in SLP 456 , SLP 466 , SLP 472 , and SLP 483 and Speech-Language Pathology majors only",
SLP 489,Clinical Observations and Professional Writing for Prospective Speech-Language Pathologists,3,,,"A grade of “C” or better in SLP 456 , SLP 466 , SLP 472 , and SLP 483",
SLP 499,Directed Studies in Communicative Disorders,,,,Consent of instructor,
SLP 575,Educational Topics in Speech-Language Pathology,3,,,"SLP 696 , SLP 662 , SLP 663 , and SLP 667",
SLP 661,Seminar in Cognitive-Communication Disorders after Acquired Brain Injury,3,,,"SLP 696 , SLP 663 , SLP 665 , SLP 667 , and SLP 669H",
SLP 662,Seminar in Language and Literacy Disorders in School-Age Children and Adolescents,3,,,"SLP 696 , SLP 663 , SLP 667 , SLP 672 , SLP 669H , and SLP 669A or SLP 669J",
SLP 663,Seminar in Preschool Language Disorders and Speech Sound Disorders,3,,,Admission to Speech-Language Pathology graduate program,
SLP 665,Seminar in Aphasia and Related Neurogenic Language Disorders,3,,,Admission to Speech-Language Pathology graduate program,
SLP 666,Seminar in Motor Speech Disorders,3,,,"SLP 696 , SLP 663 , SLP 665 , SLP 667 , and SLP 669H",
SLP 667,Seminar in Autism Spectrum Disorders,3,,,Admission to Speech-Language Pathology graduate program,
SLP 669A,Multicultural Clinical Practicum: Developmental Speech and Language Clinic,4,,,"SLP 696 , SLP 663 , SLP 667 , and SLP 669H",
SLP 669H,Multicultural Clinical Practicum: Entry Level Clinic,3,,,Admission to Speech-Language Pathology graduate program,
SLP 669J,Multicultural Clinical Practicum: Acquired Neurogenic Speech and Language Clinic,4,,,"SLP 696 , SLP 665 , and SLP 669H",
SLP 670,Clinical Internship in Speech-Language Pathology,5,,,"Completion of SLP 669A , SLP 669H , SLP 669J , and all graduate seminars except SLP 575",
SLP 672,Seminar in Augmentative and Alternative Communication,3,,,"SLP 663 , SLP 665 , SLP 667 , SLP 669H , and SLP 696",
SLP 676,"Seminar in Voice, Resonance and Fluency Disorders",3,,,"SLP 661 , SLP 662 , SLP 663 , SLP 665 , SLP 666 , SLP 667 , SLP 669A , SLP 669H , SLP 669J , SLP 678 and SLP 696",
SLP 678,Clinical Methods in Speech-Language Pathology,1,,,"SLP 696 , SLP 663 , SLP 665 , SLP 667 , and SLP 669H",
SLP 679,Topics in Medical Speech-Language Pathology,1,,,"SLP 696 , SLP 661 , SLP 665 , SLP 666 , SLP 669H, and SLP 669A or SLP 669J",
SLP 686A,Public School Practicum in Speech-Language Pathology,5,,,"Fulfill CTC SLP services credential requirements and complete SLP 669A , SLP 669H , SLP 669J , and all graduate seminars except SLP 575",
SLP 695,Directed Readings,,,,Instructor consent,
SLP 696,Research Methods: Applied and Basic,3,,,PSY 110 or equivalent or consent of instructor,
SLP 697,Directed Research,,,,SLP 696 and instructor consent,
SLP 698,Thesis,,,,Advancement to candidacy for master’s degree,
