course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
SPAN 100,Accelerated Elementary Spanish,6,,,,Any Foundation course
SPAN 101A,Elementary Spanish 1,4,,,Any Foundation course,
SPAN 101B,Elementary Spanish 2,4,,,,Two years of high school Spanish or equivalent
SPAN 199,Study Abroad Spanish Language,3,,,,Department consent
SPAN 200,Accelerated Intermediate Spanish,6,,,SPAN 100 or SPAN 101B or a minimum of 3 years of high-school Spanish,Any Foundation course
SPAN 201A,Intermediate Spanish 1,4,,,SPAN 101B or three years of high school Spanish or equivalent,Any Foundation course
SPAN 201B,Intermediate Spanish 2,4,,,SPAN 201A or four years of high school Spanish or equivalent,Any Foundation course
SPAN 225,Spanish for Healthcare,3,,,"SPAN 201A or equivalent, or department consent",SPAN 201B or SPAN 250
SPAN 227,Spanish for Mental Health,3,,,SPAN 201B or equivalent or department consent,SPAN 250 or SPAN 300
SPAN 250,Spanish for Bilinguals,6,,,Near native speaker oral skills and GE Foundation requirements (or concurrent enrollment in at least one Foundation course),
SPAN 300,Advanced Grammar and Composition,6,,,AP exam with a score of 4 or 5 or SPAN 201B or equivalent for non-native speakers,
SPAN 310,Introduction to Literary Analysis,3,,,SPAN 300,
SPAN 314,Oral Communication,3,,,,SPAN 300
SPAN 315,Professional Conversation for Spanish Heritage Speakers,3,,,,SPAN 300 or equivalent
SPAN 320,Literacy and Orality for Bilingual Teaching,3,,,"SPAN 200 , SPAN 201B , SPAN 250 , or equivalent Examines best pedagogical practices that support the development of literacy and orality in bilingual Latino children",
SPAN 330,Literary Masterpieces: Spain,3,,,SPAN 310 or consent of instructor,
SPAN 335A,Business Spanish,3,,,SPAN 300 (6 units) or consent of instructor,
SPAN 335B,Business Spanish,3,,,SPAN 300 or consent of instructor,
SPAN 341,Literary Masterpieces: Spanish America,3,,,SPAN 310 or consent of instructor,
SPAN 350,Hispanic Short Narrative,3,,,SPAN 310 An overview of representative short narrative from the Spanish-speaking world encompassing corresponding historical periods or thematic similarities,
SPAN 351,Survey of Hispanic Theater,3,,,SPAN 310,
SPAN 370,Mexican Literature and Culture of the 20th and 21st Centuries,3,,,SPAN 310 or instructor approval,
SPAN 400,Don Quijote and the Critics,3,,,SPAN 330,
SPAN 420,History of Spanish Language,3,,,SPAN 423 or SPAN 427 or consent of instructor,
SPAN 423,Introduction to Spanish Linguistics,3,,,SPAN 300 or consent of instructor,
SPAN 426,Spanish Morphology and Syntax,3,,,Consent of instructor,
SPAN 427,Contrastive Analysis of Spanish and English,3,,,One course in Spanish linguistics or consent of instructor,
SPAN 428,Spanish Cinema,3,,,Completion of GE Foundation courses; upper-division standing,
SPAN 429,Studies in 19th and 20th Century Spanish Poetry,3,,,SPAN 330,
SPAN 430,Spanish Civilization,3,,,SPAN 300,
SPAN 438,Studies in Golden Age Literature,3,,,SPAN 330,
SPAN 439,Modern Spanish Narrative,3,,,SPAN 330 or consent of instructor,
SPAN 440,"Civilized Barbarisms: Nature, War and Race in Latin American Fiction",3,,,"SPAN 341 Study of Latin American fiction dealing with military conflicts, economic and ecological struggles, and ethnic strife from the late nineteenth century to the present",
SPAN 441,Studies in Nineteenth and Twentieth Century Spanish American Narrative,3,,,SPAN 341 or consent of instructor,
SPAN 442,Nation Building and Women’s Writing in Nineteenth-Century Spanish America,3,,,SPAN 341,
SPAN 444,Nineteenth-Century Spanish America and the National Family Romance,3,,,SPAN 341,
SPAN 445,Latin American Civilization,3,,,SPAN 300 Analysis of main currents in Latin American civilization,
SPAN 446,Studies in Spanish Culture,3,,,SPAN 330 Deals with some aspect of Spanish culture in an interdisciplinary fashion during a given period,
SPAN 447,The Invention of Spain: Visions in Conflict,3,,,SPAN 330,
SPAN 448,Romanticism and Realism,3,,,SPAN 330,
SPAN 449,Dictatorship to Democracy: Film and Literature in Spain (1930-today),3,,,SPAN 330,
