course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
STAT 108,Statistics for Everyday Life,3,,,,Appropriate CSU Multiple Measures Placement or concurrent enrollment in STAT 90
STAT 118,Introductory Business Statistics,3,,,,Appropriate CSULB Algebra and Calculus Placement
STAT 181,Introduction to Data Science,3,,,"A grade of “C” or better in MATH 112B or MATH 113, or appropriate CSULB Algebra and Calculus Placement",
STAT 281,Introduction to Data Visualization for Data Science,3,,,STAT 181 or CECS 181 with a grade of “C” or better,
STAT 301,Artificial Intelligence-Powered Data Exploration,3,,,"GE Foundations and completion of at least 60 units and a grade of “C” or better in SOC 170 or PSY 110 or STAT 108 or STAT 118 or HDEV 190, or consent of instructor",
STAT 381,Mathematical Statistics,3,,,MATH 247 and a grade of “C” or better in MATH 380,
STAT 410,Applied Regression Analysis,3,,,STAT 381,
STAT 450,Applied Multivariate Statistical Analysis,3,,,STAT 381,
STAT 471,Introduction to R Programming,3,,,STAT 381 or consent of instructor,
STAT 473,Statistical Machine Learning,3,,,STAT 381,
STAT 475,Introduction to SAS Programming,3,,,"MATH 380 Inputting data sets, formatting variables, cleaning and modification of data sets, combining data sets, dates and times, summary reports, functions, long-form data sets, structural query language, and macro programming",
STAT 479,Applied Neural Networks and Deep Learning,3,,,STAT 410/510 or consent of instructor,
STAT 482,Random Processes,3,,,MATH 247 and MATH 380,
STAT 483,Survey Sampling,3,,,MATH 247 and MATH 380,
STAT 484,Actuarial Science: Models,3,,,MATH 247 and MATH 380,
STAT 485,Actuarial Science: Financial Mathematics,3,,,MATH 247 and MATH 380,
STAT 491,Statistical Modeling in Epidemiology,3,,,STAT 381 or consent of instructor,
STAT 495,Topics in Modern Statistics,3,,,STAT 381,
STAT 497,Directed Studies,,,,STAT 381 and consent of instructor,
STAT 510,Regression Analysis,3,,,STAT 381,
STAT 520,Statistical Inference,3,,,STAT 381 or consent of instructor,
STAT 530,Experimental Design,3,,,STAT 381 or consent of instructor,
STAT 532,Statistical Quality Control,3,,,STAT 381 or consent of instructor,
STAT 544,Statistical Consulting,3,,,STAT 381 and STAT 410 / STAT 510 or consent of instructor,
STAT 550,Multivariate Statistical Analysis,3,,,STAT 381,STAT 510
STAT 560,Nonparametric Statistics,3,,,"STAT 410 or STAT 510 , or consent of instructor",
STAT 572,Computational Statistics,3,,,STAT 381 or consent of instructor,
STAT 574,Data Mining,3,,,"STAT 410 , or STAT 510 , or consent of instructor",
STAT 576,Data Informatics,3,,,STAT 410 / STAT 510 or consent of instructor,
STAT 580,Time Series,3,,,STAT 381 or consent of instructor,
STAT 590,Survival Analysis,3,,,STAT 381 or consent of instructor,
STAT 592,Advanced Methods in Biostatistics,3,,,"STAT 381 or consent of instructor Standard and advanced methodology, theory, algorithms, and applications relevant for analysis of repeated measurements and longitudinal data in biostatistical settings",
STAT 595,Topics in Modern Statistics,3,,,STAT 381,
STAT 695,Seminar in Applied Statistics,,,,Consent of instructor,
STAT 697,Directed Studies in Applied Statistics,,,,Consent of instructor,
STAT 698,Thesis or Project,,,,Advancement to candidacy,
