course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
THEA 110A,Theatre Arts Activity-Cast,1,,,"Theatre pre-major, major, or minors only",
THEA 110B,Theatre Arts Activity-Cast,1,,,"Theatre pre-major, major, or minors only",
THEA 112,Beginning Voice and Speech,3,,,Theatre Arts Pre-Major or Major status or consent of instructor,
THEA 113,Introduction to Acting,3,,,,A GE Foundation course
THEA 114A,Fundamentals of Acting,3,,,"Theatre Arts Pre-Major, Major, or Minor or consent of instructor",
THEA 116,Fundamentals of Collaboration,3,,,Theatre Arts Pre-major or Theatre Arts Major,
THEA 122,Theatre for the 21st Century,3,,,,A GE Foundation course
THEA 140,Theatre Arts Activity - Crew,1,,,"Theatre pre-major, major, or minors only",
THEA 162,Movement & Mindfulness,3,,,,Concurrent or previous enrollment in at least one GE Foundation course
THEA 210A,Theatre Arts Activity - Cast,1,,,"Theatre pre-major, major, or minors only",
THEA 210B,Theatre Arts Activity - Cast,1,,,"Theatre pre-major, major, or minors only",
THEA 212,How the World Talks,3,,,Completion of GE Foundation Requirements,
THEA 214,Intermediate Acting,3,,,THEA 112,THEA 112
THEA 215,Introduction to Audition Techniques,3,,,,THEA 114A
THEA 221,History of Theatre and Drama to 1660,3,,,THEA 103,THEA 103
THEA 222,History of Theatre and Drama Since 1660,3,,,,THEA 103 or consent of instructor
THEA 240,Theatre Arts Activity - Crew,1,,,"Theatre pre-major, major, or minors only",
THEA 271,Stage Management,3,,,,"THEA 140 , THEA 240 , THEA 340 , or THEA 440"
THEA 290,Selected Topics in Theatre Arts,3,,,Consent of instructor,
THEA 300,Introduction to Theatre Arts,1,,,Theatre Arts Major or Pre-Major,
THEA 310A,Theatre Arts Activity - Cast,1,,,"Theatre pre-major, major, or minors only",
THEA 310B,Theatre Arts Activity - Cast,1,,,"Theatre pre-major, major, or minors only",
THEA 311,Theatre Arts Showcase,1,,,Upper Division Theatre Arts Major Active audience participation and advanced critical engagement in weekly theatre production projects incorporating all collaborative disciplines in Theatre Arts,
THEA 312,Your Voice and the Text,3,,,"THEA 112 with “B” or better, or consent of instructor",
THEA 316,Rehearsal and Performance,3,,,THEA 114A,
THEA 318,Advanced Actor’s Process,3,,,"THEA 214 and THEA 262 , or consent of instructor",
THEA 318B,Advanced Actor’s Process,3,,,THEA 318 or consent of instructor,
THEA 320,Accent Skills,3,,,"THEA 112 with a “B” or better, or consent of instructor",
THEA 323,The Integration of Design and Performance,3,,,Completion of GE Foundation Course will explore the symbiotic and synergetic effects of design and performance,
THEA 324,Theatre Today,3,,,"GE Foundation requirements, one or more Explorations courses, and upper-division standing",
THEA 327,"Theatre, Protest, and Social Change",3,,,"GE Foundation, upper-division status, and at least one GE Explorations course",
THEA 330,Transformation and Text,3,,,"THEA 318 or THEA 318A, or consent of instructor",
THEA 340,Theatre Arts Activity - Crew,1,,,"Theatre pre-major, major, or minors only",
THEA 352,Foundations of Visual Expression,3,,,"Theatre pre-major, major, or minor, or by consent of instructor",
THEA 364,Stage Combat,3,,,THEA 262 or consent of instructor,
THEA 365,Improvisation and Comedy,3,,,"Theatre Arts major, minor or consent of instructor",
THEA 366,Physical Comedy,3,,,THEA 262 or consent of instructor,
THEA 371,Intermediate Stage Management,3,,,THEA 271,
THEA 375,Intermediate Directing,3,,,THEA 374 and consent of instructor,
THEA 390,Selected Topics in Theatre Arts,,,,Consent of Instructor Topics of current interest in Theatre Arts selected for intensive study,
THEA 411,Professional Skills for Theatre Artists,3,,,Upper Division Theatre Arts Major,
THEA 414,Poetic Language in Performance,3,,,"THEA 318 or THEA 318A, or consent of instructor",
THEA 415,Preparing the Professional Actor,3,,,"THEA 318 or THEA 318A, or consent of instructor",
THEA 416,Graduate School and Professional Theatre Auditions Preparation,3,,,"THEA 318 or THEA 318A, or consent of instructor",
THEA 418,Theatre of Community Engagement,3,,,Upper-division standing or consent of instructor,
THEA 420,Solo Performance,3,,,THEA 112 or consent of instructor,
THEA 421,Theatre Seminar,3,,,THEA 103 and upper division standing,
THEA 425,Theatre and Cinema,3,,,Completion of G,
THEA 426,Dramatic Theory and Criticism,3,,,THEA 103 and upper-division standing,
THEA 430A,BFA Acting III,3,,,THEA 330B or consent of instructor,
THEA 430B,BFA Acting III,,,,THEA 430A or consent of instructor,
THEA 440,Theatre Arts Activity - Crew,1,,,"Theatre pre-major, major, or minors only",
THEA 441,Scenographic Techniques,3,,,THEA 142 or THEA 141A or consent of instructor,
THEA 442,Scenic Technical Skills,3,,,THEA 142 or consent of instructor,
THEA 443,Special Applications In Theatrical Makeup,3,,,THEA 344 or consent of instructor Corequisite: THEA 440,THEA 440
THEA 444,Scenic Design,3,,,THEA 142 or consent of instructor,
THEA 446,Costume Design,3,,,THEA 146 or consent of instructor,
THEA 447,Costume Technical Skills,3,,,THEA 146 or consent of instructor,
THEA 448,Theatre and Event Lighting Design,3,,,THEA 148 or consent of instructor,
THEA 452,Intermediate Drafting and Digital Rendering,3,,,THEA 252 or consent of instructor,
THEA 454A,Production Laboratory - Design / Technology - Scenic and Properties Design,1,,,THEA 333,
THEA 454B,"Production Laboratory - Design / Technology - Costume, Hair, & Make-Up Design",1,,,THEA 333,
THEA 454C,"Production Laboratory - Design / Technology - Lighting, Projection, and Sound Design",1,,,THEA 333,
THEA 462,Movement Improvisation and Ensemble Training,3,,,THEA 262 or consent of instructor,
THEA 480,Advanced Playwriting,3,,,"THEA 380 or consent of instructor Exploration of advanced playwriting concepts including nontraditional approaches to narrative, stylistic innovation, theatricality and heightened poetic language",
THEA 490,Selected Topics in Theatre Arts,3,,,Consent of instructor,
THEA 498,Selected Topics in Theatre Arts,3,,,Consent of instructor,
THEA 502,Seminar in Theatre Management I,3,,,Acceptance into the MFA Program,
THEA 503,Leadership and the Arts,3,,,Acceptance into the MFA Program or senior standing and completion of THEA 476 or consent of instructor,
THEA 504,Managing the Not-For-Profit Arts Organization,3,,,Acceptance into the MFA Program or senior standing and completion of THEA 476 or consent of instructor,
THEA 505,Theatre Management Internship,3,,,Consent of instructor,
THEA 507,Entertainment Law,3,,,Acceptance into the MFA Program,
THEA 517,Repertory Theatre I,2,,,Acceptance into the MFA Program,
THEA 518,Repertory Theatre II,2,,,Acceptance into the MFA Program,
THEA 519,Repertory Theatre III,2,,,Acceptance into the MFA Program,
THEA 524,Dramaturgy,3,,,Acceptance into the MFA Program,
THEA 530B,Acting I,3,,,THEA 530A,
THEA 531B,Acting II,3,,,THEA 531A,
THEA 540,Non-traditional Material Use in the Theatre,2,,,Consent of instructor,
THEA 543,Special Applications In Theatrical Makeup,3,,,THEA 344 or consent of instructor,THEA 517 or THEA 518 or THEA 519 Special effects and new trends in theatrical makeup design techniques for characterization and style
THEA 546B,Advanced Costume Design I,2,,,THEA 546A or consent of instructor,
THEA 547,Costume Technical Skills,3,,,THEA 146 or consent of instructor,
THEA 548A,Advanced Lighting Design I,2,,,Consent of instructor,
THEA 548B,Advanced Lighting Design I,2,,,THEA 548A or consent of instructor,
THEA 556B,Advanced Costume Design II,2,,,THEA 556A or consent of instructor,
THEA 580B,Scene Design I,2,,,THEA 580A or consent of instructor,
THEA 585B,Scene Design II,2,,,THEA 585A or consent of instructor,
THEA 590,Selected Topics - Graduation Design,3,,,Consent of Instructor,
THEA 602,Seminar in Theatre Management II,3,,,Acceptance into the MFA Program,
THEA 614,Advanced Period Scene Study,3,,,Acceptance by audition into MFA program,
THEA 628,Writing for the Theatre Professional,3,,,"Admission to Theatre Arts MFA program Development and practice of research, critical thinking, and writing skills for Theatre Letter grade only (A-F)",
THEA 648B,Advanced Lighting Design II,2,,,THEA 648A or consent of instructor,
THEA 649B,Advanced Lighting Design III,2,,,THEA 649A or consent of instructor,
THEA 656B,Advanced Costume Design III,2,,,THEA 656A or consent of instructor,
THEA 685B,Scene Design III,2,,,THEA 685A or consent of instructor,
THEA 690,Selected Topics in Theatre,,,,Consent of the instructor,
THEA 694,Selected Topics in Theatre Arts,3,,,Consent of instructor,
THEA 699,MFA Thesis/Project,,,,Advancement to candidacy and consent of department chair,
