course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
UDCP 400,"Foundations of Teaching and Learning in Inclusive, Diverse Settings",2,,,Acceptance into the Urban Dual or Education Specialist Credential Program or consent of Program Coordinator,
UDCP 401,Positive Behavior Supports,3,,,Admission to the Urban Credential Program (UDCP) or Preliminary Education Specialist Credential Program (ESCP),
UDCP 402,"Equity, Access, and Inclusive Education",3,,,Enrollment restricted to Urban Dual Credential Program Admits Only,
UDCP 407,Artistic and Physical Education,2,,,Enrollment restricted to Urban Dual Credential Program Admits Only,
UDCP 410,Literacy Instruction in Inclusive Settings,4,,,Enrollment restricted to Urban Dual Credential Program Admits Only,
UDCP 411,Advanced Literacy Instruction and Intervention,4,,,Enrollment restricted to Urban Dual Credential Program Admits Only,
UDCP 414,Transition in Special Education,1,,,Enrollment restricted to Urban Dual Credential Program Admits Only,
UDCP 415,Math Interventions in Inclusive Settings,2,,,Enrollment restricted to Urban Dual Credential Program Admits Only,
UDCP 420,"K- 8 Student Teaching, General Education",6,,,Enrollment restricted to Urban Dual Credential Program Admits Only,
UDCP 422,K- 8 Student Teaching- Mild/Moderate Support Needs,6,,,Enrollment restricted to Urban Dual Credential Program Admits Only,
UDCP 423,K- 8 Student Teaching- Extensive Support Needs,6,,,Enrollment restricted to Urban Dual Credential Program Admits Only,
