course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
WGSS 300,Feminist Theory,3,,,ENGL 100B or GE English Composition (Area 1A) and upper division standing or consent of instructor,
WGSS 301,Feminist Research Methods,3,,,Upper division standing and the completion of at least one other WGSS course,
WGSS 305,Feminist and Queer Arts and Cultures,3,,,Students must have scored 11 or higher on the GWAR Placement Examination or successfully completed the necessary portfolio course that is a prerequisite for a GWAR Writing Intensive Capstone (subject to approval by the General Education Governing Committee (GEGC)),
WGSS 307,"U.S. Women and the Economy: Money, Sex, and Power",3,,,"GE Foundation requirements, one or more Explorations courses, and upper division standing",
WGSS 315,Black Women in America,3,,,ENGL 100B or GE Written Communication (Area A2),
WGSS 318,Fierce Struggle: U.S. Women of Color - History and Thought,3,,,ENGL 100B or GE English Composition (Area 1A) and upper division standing,
WGSS 320,Latina Women in the United States,3,,,Junior standing or consent of instructor,
WGSS 330,Feminist Politics of Rage,3,,,Completion of at least 60 units or with the consent of the instructor,Completion of at least 60 units or with the consent of the instructor
WGSS 339,"Transnational Feminisms: Contexts, Conflicts, and Solidarities",3,,,"GE Foundations What kind of feminist movement is possible when women across the globe have such different visions of what it means to thrive? This course examines the lives, activism, and movements these different visions engender, arguing for solidarity across diversity",
WGSS 365,Pop Culture: Seeing Sex and Gender,3,,,"GE Foundation requirements, one or more Explorations courses, and upper division standing",
WGSS 366,Queer Literature and Queer Reading,3,,,GE foundations and completion of at least 60 units,GE foundations and completion of at least 60 units
WGSS 370,Masculinities,3,,,Upper-division status,
WGSS 382,Women and Literature,3,,,GE Foundation requirements,
WGSS 401,Bodies and Borders: Feminism and Globalization,3,,,"GE Foundation requirements, one or more Explorations courses, and upper division standing",
WGSS 402,Feminist Political Theory,3,,,Upper-division status; completion of GE foundation,
WGSS 410,"Women, Religion, and Spirituality",3,,,"ENGL 100B or GE English Composition (Area 1A) and upper division standing, or consent of instructor",
WGSS 415,Feminist Debates,3,,,WGSS 300 or consent of instructor,
WGSS 416,Queering Gender,3,,,Upper division standing,
WGSS 424,Gendering Environmental Justice,3,,,GE Foundation requirements and upper division standing,
WGSS 442,Sexing Chicana Literature,3,,,ENGL 100B or GE English Composition (Area 1A) and upper division standing or consent of instructor,
WGSS 445A,Latinas and Revolution: Central America and Late 20th Century Mexico,3,,,,ENGL 100B or GE English Composition (Area 1A) and upper division standing or consent of instructor
WGSS 455,Philosophical Perspectives on Sex and Love,3,,,Six units of philosophy or consent of instructor,
WGSS 462,"Gender, Place and Culture",3,,,GEOG 360 or WGSS 300 recommended,
WGSS 495,Senior Capstone Seminar,3,,,WGSS 301,
WGSS 496,Internship,3,,,"Upper division standing and two prior women’s studies courses, or consent of instructor",
WGSS 498,Field Work,,,,Consent of instructor,
WGSS 499,Directed Studies,,,,Consent of instructor,
WGSS 599,Directed Studies,,,,Consent of instructor,
