course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
CH E 100H,Introduction to Chemical Engineering,1,,,Engr Honors Program track I or II,
CH E 200,Chemical Engineering Fundamentals,3,,,"CHEM 111A , MATH 122 , PHYS 151 all with a grade of “C” or better",
CH E 200H,Chemical Engineering Fundamentals,3,,,"CHEM 111A , MATH 122 , PHYS 151 all with a grade of “C” or better",
CH E 210,Computer Methods in Chemical Engineering,3,,,,MATH 123 Beginning programming and techniques of numerical analysis applied to typical problems in chemical engineering
CH E 220,Chemical Engineering Thermodynamics I,3,,,CHEM 111B or CHEM 112B and CH E 200 Applications of the first and second laws of thermodynamics to chemical processes,CHEM 111B or CHEM 112B and CH E 200 Applications of the first and second laws of thermodynamics to chemical processes
CH E 310,Chemical Engineering Thermodynamics II,3,,,"CH E 210 , CH E 220 all with a grade of “C” or better",
CH E 320,Fluids,3,,,"CH E 200 , C E 205 all with a grade of “C” or better",
CH E 330,Separation Processes,3,,,,CH E 310 Material and energy balances around multi-stage mass transfer unit operations
CH E 330H,Separation Processes,3,,,,CH E 310
CH E 340,Environmental Sensors and Measurements,2,,,PHYS 152 or ( E E 210 and E E 210L ) and CH E 200 all with a grade of “C” or better,
CH E 365,Statistics for Chemical Engineers,3,,,CH E 210 and MATH 224 all with a grade of “C” or better,
CH E 415,Occupational and Environmental Safety Engineering and Management,3,,,"CHEM 227 or CHEM 220A or C E 364 , with a grade of “C” or better",
CH E 420,Heat and Mass Transport,3,,,"CH E 220 , CH E 320 all with a grade of “C” or better",
CH E 426,Polymer Science and Engineering,3,,,"CH E 320 , or C E 335 , or MAE 333 all with a grade of “C” or better",
CH E 430,Chemical Reactor Kinetics,3,,,"CH E 310 Mechanism and rate law of chemical reaction, temperature and pressure effects, homogeneous and heterogeneous reactions and application to reactor design, catalysts",
CH E 431,Heterogeneous Catalysts,3,,,CH E 430 with a grade of “C” or better or consent of instructor,
CH E 433,Green Engineering I: Alternative Energy,3,,,( CH E 220 or MAE 330 ) all with a grade of “C” or better,
CH E 434,Waste Valorization and Resource Recovery,3,,,CH E 200 and CH E 220 all with a grade of “C” or better,
CH E 437,Materials Purification Processes,3,,,"CH E 330 , CH E 420 all with a grade of “C” or better or consent of instructor",
CH E 439,Fuel Cell Fundamentals and Theory,3,,,"( CH E 220 and CH E 320 ) or ( C E 335 and MAE 330 ) or CHEM 371A or CHEM 377A , all with a grade of “C” or better Theory of electrochemistry",
CH E 440,Chemical Engineering Laboratory I,2,,,"CH E 320 , CH E 330 , and CH E 365 all with a grade of “C” or better",
CH E 445,Pollution Prevention,3,,,( CH E 220 or MAE 330 ) with a grade of “C” or better,
CH E 446,Industrial Pollution Mitigation and Control,3,,,CH E 200 with a grade of “C” or better,CH E 445
CH E 450,Chemical Engineering Laboratory II,2,,,"CH E 420 , CH E 430 , and CH E 460 Apply fundamental knowledge of heat transfer, chemical separations, process control and chemical kinetics to practical experiments","CH E 420 , CH E 430 , and CH E 460 Apply fundamental knowledge of heat transfer, chemical separations, process control and chemical kinetics to practical experiments"
CH E 455,Environmental Compliance,3,,,( CHEM 227 or CHEM 220A or C E 364 ) with a grade of “C” or better,
CH E 460,Chemical Process Control,3,,,"CH E 420 , CH E 430 , and ( MATH 370A or CH E 480 ) all with a grade of “C” or better",
CH E 461,Chemical Process Automation I: Theory,3,,,,CH E 460
CH E 462,Chemical Process Automation II: System Integration,3,,,"CH E 461 with a grade of “C” or better Analytical instrumentation, chemical sensors, valves, analog data acquisition, process control",
CH E 470,Chemical Engineering Design,4,,,"CH E 330 , CH E 420 , CH E 430 , and C E 406 all with a grade of “C” or better",
CH E 470H,Chemical Engineering Design,4,,,"CH E 330 , CH E 420 and CH E 430 all with a grade of “C” or better",
CH E 471,Fundamentals of Pharmaceutical Processes,3,,,CH E 320 or BME 370 or C E 335 or MAE 333 all with a grade of “C” or better,
CH E 475,Environmental Pollution,3,,,( CHEM 220A or CHEM 227 or C E 364 ) all with a grade of “C” or better,
CH E 480,Theoretical Methods in Chemical Engineering,3,,,"CH E 420 , CH E 430 all with a grade of “C” or better",
CH E 485,Air Pollution,3,,,CHEM 227 or CHEM 220A or C E 364 all with a grade of “C” or better,
CH E 490,Special Problems,,,,Consent of instructor,
CH E 491,Special Topics in Chemical Engineering,,,,Department consent Special topics in chemical engineering that may not be covered in current courses,
CH E 505,Advanced Chemical Engineering Thermodynamics,3,,,"Open to Chemical Engineering MS, Engineering MS, Aerospace Engineering MS, or Mechanical Engineering MS students only",
CH E 515,Occupational and Environmental Safety Engineering and Management,3,,,"Open to Chemical Engineering, Engineering MS, Aerospace Engineering MS, or Mechanical Engineering MS students only",
CH E 520,Advanced Transport Phenomena,3,,,"Open to Chemical Engineering MS, Aerospace Engineering MS, Mechanical Engineering MS, or Engineering MS students only",
CH E 526,Advanced Polymer and Composite Materials,3,,,"Open to Chemical Engineering, Engineering MS, Aerospace Engineering MS, or Mechanical Engineering MS students only",
CH E 530,Advanced Reactor Kinetics,3,,,"Open to Chemical Engineering MS, Aerospace Engineering MS, Mechanical Engineering MS, or Engineering MS students only",
CH E 531,Heterogeneous Catalysts,3,,,"Open to Chemical Engineering MS, Aerospace Engineering MS, Mechanical Engineering MS, or Engineering MS students only",
CH E 532,Microfabrication and Microfluidics Technology,3,,,"Open to Chemical Engineering MS, Engineering MS, Aerospace Engineering MS, or Mechanical Engineering MS students only",
CH E 533,Green Engineering I: Alternative Energy,3,,,"Open to Chemical Engineering MS, Aerospace Engineering MS, or Mechanical Engineering MS students only",
CH E 537,Materials Purification Processes,3,,,"Open to Chemical Engineering MS, Aerospace Engineering MS, Mechanical Engineering MS, or Engineering MS students only",
CH E 545,Pollution Prevention,3,,,"Open to Chemical EngineeringMS, Engineering MS, Aerospace Engineering MS, or Mechanical Engineering MS students only",
CH E 555,Environmental Compliance,3,,,"Open to Chemical Engineering MS, Engineering MS, Aerospace Engineering MS, or Mechanical Engineering MS students only",
CH E 560,Advanced Chemical Process Control,3,,,"Open to Chemical Engineering MS, Engineering MS, Aerospace Engineering MS, or Mechanical Engineering MS students only",
CH E 575,Environmental Pollution,3,,,"Open to Chemical Engineering MS, Engineering MS, Aerospace Engineering MS, or Mechanical Engineering MS students only",
CH E 580,Theoretical Methods in Chemical Engineering,3,,,"Open to Chemical Engineering MS, Engineering MS, Aerospace Engineering MS, or Mechanical Engineering MS students only",
CH E 585,Air Pollution,3,,,"Open to Engineering MS, Aerospace Engineering MS, or Mechanical MS students only",
CH E 697,Directed Research,,,,Open to Chemical Engineering MSand Engineering MS students only,
CH E 698,Thesis or Industrial Project,,,,Advancement to Candidacy,
