course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
CHLS 104A,Composition I,3,,,CSU General Education Written Communication Placement,
CHLS 119,Introduction to Racial and Ethnic Studies,3,,,,One GE Foundation course Survey of race and ethnic relations in the U
CHLS 300,Chicano History,3,,,GE Foundation requirements,
CHLS 305,Chicana/o and Latina/o California History,3,,,GE Foundation Requirements,
CHLS 319,Racial and Ethnic Experience in the United States,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage Critical examination of race and ethnic relations in U",
CHLS 330,Critical Issues in Chicana and Latina Studies,3,,,Upper division standing or consent of instructor,
CHLS 335,Asian and Latino Immigration Since World War II,3,,,"GE Foundation requirements, one or more Explorations courses, and upper-division standing",
CHLS 341,Asian American and Chicano/Latino Cinema,3,,,GE Foundation requirements,
CHLS 350,The Latino Population in the United States,3,,,GE Foundation and one Explorations course,
CHLS 352,Central American and Caribbean Peoples in California,3,,,GE Foundation and one Explorations course,
CHLS 360,Chicana/o and Latina/o Rhetoric,3,,,Score of 11 or higher on the GWAR Placement Exam,
CHLS 370,Chicana/o and Latina/o Literature,3,,,GE Foundation and upper-division status,
CHLS 380,Chicano/Latino Theatre,3,,,Upper-division standing Explores evolution of Chicano/a-Latino/a Theatre within sexual/ethnic/cultural identity context,
CHLS 390,The U.S.-Mexico Borderlands: Historic and Literary Images,3,,,"GE Foundation requirements, one or more Explorations courses, and upper-division standing",
CHLS 400,Chicana/o and Latina/o Politics in the U.S.,3,,,Upper-division standing and GE Foundation requirements,
CHLS 411,Archival Quest: Reclaiming Latinx Rhetorics,3,,,Score of 11 or higher on the GWAR Placement Examination or completed the necessary portfolio course that is a prerequisite for a GWAR Writing Intensive Capstone,
CHLS 412A,Centralizing Latinx Narratives: Seminar in Writing Self–Autoethnography,3,,,,Completion of at least 60 units or consent of instructor
CHLS 415,Latina Women in the United States,3,,,Junior standing or consent of instructor,
CHLS 430,"The Latino Transnational Experience in the Caribbean: Empire, Reform and Revolution",3,,,Upper division standing or consent of instructor,
CHLS 445,Latinas and Revolution,3,,,,ENGL 100B or GE English Composition 1A and upper-division standing
CHLS 450,1492 and Beyond,3,,,"GE Foundation requirements, completion of one or more Exploration courses and upper-division standing",
CHLS 470,Latinas/Latinos: Health Status and Health Care Access,3,,,"GE Foundation requirements, one or more Explorations courses, and upper-division standing",
CHLS 490,Selected Topics in Chicano and Latino Studies,,,,Consent of instructor,
CHLS 498,Senior Colloquium,3,,,Consent of the instructor,
CHLS 499,Directed Studies,,,,Consent of instructor,
CHLS 511,Archival Quest: Reclaiming Latinx Rhetorics,3,,,Graduate standing in Comparative Ethnic Studies or consent of instructor,
CHLS 522,Latinx Life Writing–Autoethnography,3,,,Graduate standing in Comparative Ethnic Studies or consent of instructor Students practice autoethnography as an act of writing about self to explore and understand one’s culture,
