course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
COMM 300,Survey of Rhetorical Theory,3,,,Complete GE Foundation courses,
COMM 301,Communication Criticism,3,,,"COMM 300 and COMM 200 with a “C” or better Analysis and criticism of public communication events including speeches, editorials, advertisements, and mass media from a variety of rhetorical perspectives",
COMM 307,Measurement in Communication Research,3,,,Completion of at least 60 units,
COMM 331,Argumentation and Debate,3,,,Completion of GE Foundation,
COMM 333,Performing Culture,3,,,Completion of GE Foundations,
COMM 335,Persuasive Speaking,3,,,Completion of GE Foundations,
COMM 400,Nonverbal Communication,3,,,Upper-Division standing,
COMM 410,Advanced Concepts in Interpersonal Communication,3,,,COMM 110; upper-division standing,
COMM 411,Interpersonal Conflict Resolution,3,,,"GE Foundation requirements, completion of one or more GE Exploration courses, and upper division standing",
COMM 412,Gender and Communication,3,,,"GE Foundations, completion of one or more GE Exploration courses and upper-division standing",
COMM 414,Communication in Families,3,,,Upper-Division standing,
COMM 415,Rhetoric of Social Movements and Protest,3,,,Upper-Division standing,
COMM 420,Advanced Concepts in Organizational Communication,3,,,Upper-Division standing,
COMM 421,Communication in Bargaining and Negotiation,3,,,Upper Division Standing,
COMM 422,Media Effects,3,,,GE Foundations and Upper-Division standing,
COMM 423,Communication Technologies and Social Media,3,,,Upper-division standing and GE Foundation requirements,
COMM 425,Communication and Violence,3,,,Upper-division standing and GE Foundation requirements Analysis of the role of communication in the prediction and prevention of violence,
COMM 430,Advanced Concepts in Intercultural Communication,3,,,COMM 330 and Upper-Division standing or consent of instructor,
COMM 431,Mediation and Dispute Resolution,3,,,Upper-Division standing,"COMM 330 or COMM 430 , COMM 411 and COMM 421 , or consent of instructor"
COMM 432,Leadership Communication,3,,,Upper-Division standing,
COMM 434,Advanced Oral Presentation Skills,3,,,GE Foundation requirements; one or more GE Exploration courses; and upper-division standing,
COMM 439,Communication and Popular Culture,3,,,Upper-Division standing,
COMM 441,Issues in Freedom of Communication,3,,,"Upper division standing and GE Foundation requirements, and at least two GE Exploration courses",
COMM 442,Campaign Persuasion,3,,,"GE Foundation requirements, upper division standing, and at least two GE Exploration courses",
COMM 444,Positive Communication Principles and Practices,3,,,Upper division standing and GE Foundation requirements,
COMM 449,Studies in Oral Persuasion and Attitude Change,3,,,Upper-Division standing,
COMM 450,Communication Training in Organizations,3,,,Upper-Division standing,
COMM 455,Peer Mentorship and Professional Development,3,,,Upper-division standing,
COMM 490,Selected Topics in Communication Studies,3,,,Upper-Division standing,
COMM 495,Service Learning Internship,3,,,Consent of instructor,
COMM 499,Special Studies,,,,“Permit” required to enroll,
COMM 531,Administering the Forensic Program,3,,,“Permit” required to enroll with consent of instructor,
COMM 590,Selected Topics in Communication Studies,3,,,Consent of instructor,
COMM 646,Quantitative Research Design,3,,,COMM 307 (or equivalent),
COMM 697,Directed Research,,,,"COMM 541 and COMM 546 ; authorization of the department Graduate Advisor, Agreement for Independent Study Course form, consent of instructor",
COMM 698,Thesis,,,,"COMM 541 , COMM 546 , COMM 640 and COMM 646 , authorization of the department Graduate Advisor, Agreement for Independent Study Course form, consent of instructor",
