course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
CRJU 101,The Criminal Justice System in Society,3,,,,One GE Foundation course
CRJU 300,"Research, Writing, and Reasoning for Criminology and Criminal Justice",3,,,A grade of “C” or better in ENGL 100B or GE English Composition (Area 1A) or GE Critical Thinking (Area 1B),
CRJU 301,Criminal Courts and Judicial Processes,3,,,A grade of “C” or better in CRJU 101,CRJU 110 or CRJU 300
CRJU 302,Policing,3,,,A grade of “C” or better in CRJU 101,CRJU 110 or CRJU 300
CRJU 303,"Corrections: Theory, Policy, and Practice",3,,,A grade of “C” or better in CRJU 101,CRJU 110 or CRJU 300
CRJU 304,Criminological Theory,3,,,"A grade of “C” or better in CRJU 101 and CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110)",
CRJU 320,Criminal Justice Research Methods,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 304",
CRJU 325,Statistics for Criminal Justice,4,,,"A grade of “C” in CRJU 101, CRJU 110 or CRJU 300 , and CRJU 304",
CRJU 330,"Criminal Justice Ethics, Values, and Diversity",3,,,CRJU 302 and CRJU 303,
CRJU 340,Substantive Criminal Law,3,,,A grade of “C” or better in CRJU 301,
CRJU 350,Constitutional Criminal Procedure,3,,,A grade of “C” or better in CRJU 301,
CRJU 401,Victimology,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 304",
CRJU 402,Crime and Inequality,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 304",
CRJU 403,Comparative Criminal Justice and Transnational Crimes,3,,,"A grade of “C” or better in CRJU 101 and CRJU 300 (or as previously offered before Fall 2023, CRJU 110)",
CRJU 404,"Terrorism, Homeland Security, and Criminal Justice",3,,,"A grade of “C” or better in CRJU 101 and CRJU 300 (or as previously offered before Fall 2023, CRJU 110)",
CRJU 406,Delinquency and the Juvenile Justice System,3,,,"A grade of “C” or better in CRJU 101 and CRJU 300 (or as previously offered before Fall 2023, CRJU 110)",
CRJU 408,Serial Killers and Psychopaths: The Psychology of the Criminal Mind,3,,,A grade of “C” or better in CRJU 304,
CRJU 409,Drugs and the Drug War,3,,,"A grade of “C” or better in CRJU 101 and CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110)",
CRJU 410,Police Administration,3,,,A grade of “C” or better in CRJU 302 and CRJU 330,
CRJU 412,Criminal Investigation,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 302 , and CRJU majors only",
CRJU 420,Legal Aspects of Corrections,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 303",
CRJU 423,Correctional Environments,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 303 , and instructor consent",
CRJU 425,Collateral Consequences of Incarceration,3,,,"A grade of “C” or better in CRJU 101 , CRJU 110 or CRJU 300 , and CRJU 303 , or instructor consent",
CRJU 426,Social Justice in Action,3,,,A grade of “C” or better in CRJU 101,CRJU 110 or CRJU 300
CRJU 430,Criminal Evidence and Trials,3,,,"A grade of “C” or better in CRJU 301 , and CRJU 340 or CRJU 350",
CRJU 432,"Probation, Parole and Community Corrections",3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 303",
CRJU 440,Criminalistics: Forensic Science in the Crime Laboratory,3,,,A grade of “C” or better in CRJU 230,
CRJU 441,Investigating High-Tech Crimes,3,,,A grade of “C” or better in CRJU 230,
CRJU 442,Forensic Psychology and the Criminal Justice System,3,,,A grade of “C” or better in CRJU 301,
CRJU 443,Forensic Pathology and the Medical-Legal Investigation of Death,3,,,A grade of “C” or better in CRJU 230,
CRJU 444,Forensic Photography,3,,,A grade of “C” or better in CRJU 230,
CRJU 450,Domestic Violence and the Criminal Justice System,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), CRJU 301 , CRJU 302 , and CRJU 304",
CRJU 460,Introduction to Crime Analysis,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), CRJU 304",
CRJU 461,Crime Analysis Technique 1: Social Network Analysis,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), and CRJU 304",
CRJU 462,Crime Analysis Technique 2: Crime Mapping,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), CRJU 304 , CRJU 460 , and GEOG 471",
CRJU 463,Crime Analysis Technique 3: Intelligence Analysis,3,,,"A grade of “C” or better in CRJU 101 , CRJU 300 (or as previously offered prior to Fall 2023, CRJU 110), CRJU 304 , and CRJU 460",
CRJU 490,Selected Topics in Criminal Justice,3,,,A grade of “C” or better in all 300-level core courses,
CRJU 497,Directed Research or Independent Study,3,,,"A grade of “C” or better in all 300-level core courses ( CRJU 301 , CRJU 302 , CRJU 303 , CRJU 304 , CRJU 320 , CRJU 325 , CRJU 330 , CRJU 340 , and CRJU 350 ) and department consent",
CRJU 498,Senior Thesis,3,,,"A grade of “C” or better in all 300-level core courses ( CRJU 301 , CRJU 302 , CRJU 303 , CRJU 304 , CRJU 320 , CRJU 325 , CRJU 330 , CRJU 340 , and CRJU 350 ); a minimum 3",
CRJU 501,Proseminar and Professional Writing in Criminology and Criminal Justice,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
