course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
CWL 115,Intro to Health Humanities,3,,,,One GE Foundation course
CWL 206,"Science Fiction, Fantasy, and Horror",3,,,,One GE Foundation course
CWL 225,Short Stories of the World,3,,,,One GE Foundation course
CWL 242,The Bible As Literature,3,,,One GE Foundation course,
CWL 265,Intro to Literary Theory,3,,,,One GE Foundation course
CWL 300,Representing the World: Literature and Culture in Contact and Conflict,3,,,GE Foundation and upper-division status,
CWL 320,Comic Spirit,3,,,"GE Foundation requirements, one or more Exploration courses, and upper-division standing",
CWL 324,Theatre Today,3,,,"GE Foundation requirements, one or more Exploration courses, and upper-division standing",
CWL 344,Literature of the Holocaust,3,,,Completion of at least 60 units,
CWL 350,Global Literature in American Culture,3,,,Upper-division standing,
CWL 366,"Classical Stories, Modern Voices",3,,,GE Foundation requirements and upper-division standing,
CWL 405,Global Fantasy,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage",
CWL 430,Dante,3,,,Completion of at least 60 units,
CWL 451,Film and Novel in Society,3,,,"GE Foundation requirements, one or more Exploration courses, and upper-division standing",
CWL 492,Internship Program,,,,Consent of instructor and department chair,
CWL 495,Genre,,,,Consent of instructor,
CWL 499,Directed Studies,,,,Consent of instructor,
CWL 502,Selected Topics - Middle Eastern Literature and Culture,3,,,One course in literature or consent of instructor,
CWL 503,Selected Topics - Asian Literature,3,,,One course in literature or consent of instructor,
CWL 504,Selected Topics - Women in World Literature,3,,,One course in literature or consent of instructor,
CWL 506,Selected Topics - East European Literature and Culture,3,,,One course in literature or consent of instructor,
CWL 530,Dante,3,,,One course in literature or consent of instructor,
CWL 540,Selected Topics - Latin American Literary Studies,3,,,One course in literature or consent of instructor,
CWL 545,Selected Topics - American Folklore Studies,3,,,One course in literature or consent of instructor,
CWL 548,Selected Topics - Comparative Studies,3,,,One course in literature or consent of instructor,
CWL 549,Selected Topics - Major Continental Writers,3,,,One course in literature or consent of instructor,
CWL 549A,Selected Topics - Major Continental Writers - Nobel Prize Laureates,3,,,Consent of instructor,
CWL 550,Selected Topics - Comparative World Literature,3,,,CWL 501 or consent of instructor,
CWL 552,Selected Topics - Mythology,3,,,One course in literature or consent of instructor,
CWL 553,Fairy Tales,3,,,One course in literature or consent of instructor,
CWL 561,Selected Topics - Contemporary Literary Criticism,3,,,Two upper-division literature courses or consent of instructor,
