course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
ECON 100,Principles of Macroeconomics,3,,,MATH 104 or higher,
ECON 101,Principles of Microeconomics,3,,,MATH 104 or higher,
ECON 300,Fundamentals of Economics,3,,,Completion of at least 60 units and completion of the entire Foundation,
ECON 301,Economics of Public Issues,3,,,A score of 11 or higher on the GWAR Placement Examination or equivalent,
ECON 313,History of Economic Thought,3,,,"ECON 100 and ECON 101 , or ECON 300",
ECON 320,Money and Banking,3,,,ECON 100 and ECON 101,
ECON 330,Game Theory,3,,,ECON 101 or ECON 300,
ECON 340,Economics in Movies,3,,,ECON 101 or ECON 300 Application of economic concepts to real-world situations as depicted in movies,
ECON 341,Global Labor Market Issues,3,,,ECON 101 or ECON 300,
ECON 355,Law and Economics,3,,,"ECON 100 and ECON 101 , or ECON 300",
ECON 366,Introduction to Development Economics,3,,,ECON 100 and ECON 101 or ECON 300,
ECON 372,International Economics,3,,,"ECON 100 and ECON 101 , or ECON 300",
ECON 406,Applied Environmental and Natural Resource Economics,3,,,"ECON 306 , MATH 115 or MATH 119A or MATH 119B or MATH 122 , and BIOL 260 or ECON 380 or MATH 380 or STAT 108 or equivalent",
ECON 410,Advanced Microeconomics,3,,,ECON 310 and ECON 311 with grades of “C” or better,
ECON 411,Advanced Macroeconomics,3,,,ECON 310 and ECON 311 with grades of “C” or better,
ECON 420,Forecasting,4,,,"ECON 311 , and ECON 380 or MATH 380 with grades of “C” or better",
ECON 430,Industrial Organization,3,,,ECON 310 with a grade of “C” or better,
ECON 434,Economics of Regulation,3,,,ECON 310 with a grade of “C” or better,
ECON 437,Urban Economics,3,,,ECON 310 with a grade of “C” or better,
ECON 441,Labor Economics,3,,,"ECON 310 , and ECON 380 or MATH 380 with grades of “C” or better",
ECON 450,Public Sector Economics,3,,,ECON 310 and ECON 311 with grades of “C” or better,
ECON 455,Transportation Economics,3,,,"ECON 310 , and ECON 380 or MATH 380 with grades of “C” or better",
ECON 462,Environmental Economics,3,,,ECON 310 or ECON 317 with a grade of “C” or better,
ECON 470,International Trade,3,,,ECON 310 with a grade of “C” or better,
ECON 471,International Finance,3,,,ECON 311 and ECON 380 or MATH 380 with grades of “C” or better,
ECON 485,Introduction to Econometrics,4,,,"ECON 310 , ECON 311 , and ECON 380 or MATH 380 with grades of “C” or better",
ECON 490,Selected Topics in Economics,3,,,Consent of instructor,
ECON 495,Field Studies Practicum,3,,,ECON 310 or ECON 333 and consent of instructor,
ECON 499,Directed Study,,,,Consent of instructor,
ECON 510,Advanced Microeconomics,3,,,ECON 310 or equivalent with grades of “C” or better,
ECON 511,Advanced Macroeconomics,3,,,ECON 311 or equivalent with grades of “C” or better,
ECON 586,Econometrics II,4,,,ECON 585 The second in a two-semester sequence in advanced econometric and time series techniques,
ECON 587,Research Methods in Economics,3,,,ECON 585 Applications of research methods to economics,
ECON 597,Directed Studies,,,,Consent of instructor,
ECON 666,Seminar in Transportation Economics,3,,,"ECON 510 , ECON 511 , ECON 585 , ECON 586 , and ECON 587",
ECON 670,Seminar in International Trade and Development,3,,,"ECON 510 , ECON 511 , ECON 585 , ECON 586 , ECON 587 , and one of the following: ECON 565 , ECON 570 or ECON 571",
ECON 690,Seminar in Economics,3,,,"ECON 510 , ECON 511 , ECON 585 , ECON 586 , and ECON 587",ECON 691 Seminar on topics of current interest in economics
ECON 691,Economics Research Lab,1,,,,"ECON 690 Practical applications, empirical exercises, and research methods in economics"
ECON 697,Directed Research,,,,Consent of instructor,
