course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
EDEC 400,Introduction to Early Childhood Education,3,,,Students must have a valid CTC Clearance and proof of a negative TB test by the second week of the semester to begin clinical practice hours in this course,
EDEC 410,Social-Emotional and Cognitive Learning in Early Childhood Education,3,,,Admission to the PK-3 Early Childhood Education Specialist Instruction Credential program,
EDEC 430,Advocating for Early Intervention of Young Children and their Families,3,,,Admission to the PK-3 Early Childhood Education Specialist Instruction Credential program,
EDEC 450,Teaching Early Language and Literacy (Birth-K),3,,,Admission to the PK-3 Early Childhood Education Specialist Instruction Credential program,
EDEC 455,Teaching Early Language and Literacy (K-3rd Grade),3,,,Admission to the PK-3 Early Childhood Education Specialist Instruction Credential program,
EDEC 460,Integrated History-Social Science Concepts in Early Childhood Education,3,,,Admission to the PK-3 Early Childhood Education Specialist Instruction Credential Program,
EDEC 481A,Student Teaching in Kindergarten to Third Grade,6,,,"Completion of EDEC 450 , EDEC 455 , EDEC 460 , EDEC 465 , EDEC 470 with a 3",
EDEC 481B,Student Teaching in Preschool and Transitional Kindergarten,6,,,"Completion of EDEC 450 , EDEC 455 , EDEC 460 , EDEC 465 , and EDEC 470 with a 3",
EDEC 489,PK-3 Student Teaching Seminar,3,,,Admission to the PK-3 Early Childhood Education Specialist Instruction Credential Program; concurrent enrollment in EDEC 481A and EDEC 481B,
EDEC 520,Early Childhood Curriculum and Assessment,3,,,EDEC 521,
EDEC 521,Historical and Contemporary Perspectives in Early Childhood,3,,,Admission to Master of Arts in Early Childhood Education,
EDEC 522,"Developing Family, School, and Community Partnerships",3,,,"Admission to Master of Arts in Early Childhood Education, applying to PK-3 Early Childhood Education Specialist Instruction Credential, or Instructor Consent",
EDEC 525,"Early Literacy Development, Instruction, and Assessment",3,,,Admission to Master of Arts in Early Childhood Education ; EDEC 520 or instructor consent,
EDEC 526,Advanced Study of Infant and Toddler Programs,3,,,"EDEC 520 , Admission to Master of Arts in Early Childhood Education, or instructor consent",
EDEC 527,Early Childhood Mathematics and Integrated STEM,3,,,"Admission to Master of Arts in Education, Option in Early Childhood Education, EDEC 520 or instructor consent",
EDEC 530,Advocating for Early Intervention of Young Children and their Families,3,,,"Admitted to the Master of Arts in Early Childhood Education program, EDEC 521 , or instructor consent, or applying to PK-3 Early Childhood Education Specialist Instruction Credential program",
EDEC 623,"Leadership, Advocacy, and Supervision in Early Childhood Education",3,,,"EDEC 521 , EDEC 520 and EDEC 522",
EDEC 695,Seminar in Early Childhood Education,3,,,"EDEC 520 , EDEC 522 , Admission to Master of Arts in Education, Option in Early Childhood Education, advancement to candidacy, and department consent",
EDEC 697,Directed Research in Early Childhood Education,,,,"Permission of instructor, department chair, and associate dean",
EDEC 698,Thesis Study in Early Childhood Education,3,,,"Advancement to candidacy; approval of thesis advisor, department chair, and associate dean",
