course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
EDME 500,Contemporary Issues in Mathematics Education,3,,,"MA in Education, Option in in Mathematics Education students only",
EDME 501,Assessment in Teaching and Learning Mathematics,3,,,"MA in Education, Option in in Mathematics Education students only",
EDME 502,Research in Mathematics Teaching and Learning,3,,,"MA in Education, Option in in Mathematics Education students only",
EDME 503,"Advanced Mathematics Methods in Teaching, 1",3,,,"MA in Education, Option in in Mathematics Education students only",
EDME 504,"Advanced Mathematics Methods in Teaching, 2",3,,,"MA in Education, Option in in Mathematics Education students only",
EDME 505,Technology in Teaching and Learning Mathematics,3,,,"MA in Education, Option in in Mathematics Education students only",
EDME 520,Algebra: Research-Based Pedagogy,3,,,"MA in Education, Option in in Mathematics Education students only",
EDME 550,Global Perspectives in Mathematics Teaching,3,,,"MA in Education, Option in in Mathematics Education students only",
EDME 695,Advanced Studies in Mathematics Education,3,,,Advancement to candidacy in the Mathematics Education Program; approval of the Program Advisor; written application to take the comprehensive examination to the College of Education Graduate Office,
EDME 698,Thesis Study in Mathematics Education,3,,,"Advancement to candidacy in the Mathematics Education Program; approval of thesis advisor, department chair, and associate dean",
