course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
EDSP 350,Introduction to Teaching the Exceptional Individual,3,,,Students must have a valid CTC Clearance and proof of a negative TB test to begin fieldwork hours in this course,
EDSP 454,Academic Language Development and Inclusive Instruction for English Language Learners,3,,,Students must have a valid CTC Certificate of Clearance and proof of a negative TB test to begin fieldwork hours in this course,
EDSP 518,Integrated Math Instruction Across Content Areas,3,,,UDCP 400,UDCP 400
EDSP 525,Advocacy in Special Education,3,,,Full admittance to the Master of Science in Special Education or Applied Disability Studies Graduate Certificate,
EDSP 535,Collaborative Partnerships and Effective Communication in School and Community Settings,3,,,"Masters of Science, Special Education and Masters of Teaching, Special Education Majors Only",
EDSP 546,Critical Action Research in Special Education,3,,,"Master of Science, Special Education Majors or Master of Teaching, Special Education Majors only",
EDSP 546A,Induction in Special Education,2,,,"Masters in Science, Special Education Majors Only",
EDSP 546B,Induction in Special Education,1,,,"Masters in Science, Special Education Majors Only",
EDSP 550,Emerging Perspectives in Special Education,3,,,"Masters in Science, Special Education Majors Only",
EDSP 554,Foundations of Special Education and Dual Language Development/Immersion,3,,,Admission to the Master of Arts in Dual Language Development,
EDSP 558,Literacy Supports for Students with Diverse Abilities,4,,,EDSP 454 and EDSP 410,
EDSP 570,Community Inclusion: Introduction to Individuals with Disabilities,3,,,"Masters in Science, Special Education Majors Only",
EDSP 578,Instructional Methods and Strategies for Individuals with Extensive Support Needs,3,,,Admission to the Preliminary Education Specialist Credential Program or admittance to Master of Science in Special Education Program,
EDSP 586,Education Specialist Intern Credential Supervision for Mild/Moderate and Extensive Support Needs,2,,,Full admittance to Preliminary Education Specialist Credential Program and Education Specialist Intern Program pathway,
EDSP 587,Student Teaching: Mild/Moderate Support Needs,8,,,Full admission to the Preliminary Education Specialist Credential or Intern Credential for Mild/Moderate Support Needs,
EDSP 587A,Student Teaching for Mild/Moderate Support Needs: Additional or Dual Credential,4,,,Full admission to the Preliminary Education Specialist Credential or Intern Credential for Mild/Moderate Support Needs,
EDSP 587B,Advanced Field Study and Seminar: Education Specialist Credential in Mild/Moderate Disabilities,6,,,Full admission to the Preliminary Education Specialist Credential in Mild/Moderate Disabilities,
EDSP 588A,Student Teaching for Extensive Support Needs: Additional or Dual Credential,4,,,Full admission to the Preliminary Education Specialist Credential or Intern Credential for Extensive Support Needs,
EDSP 588B,Advanced Field Study and Seminar: Education Specialist Credential in Moderate/Severe Disabilities,6,,,Full admission to the Preliminary Education Specialist Credential in Moderate/Severe Disabilities,
EDSP 589,Student Teaching Seminar: Education Specialist,1,,,Full admittance to Preliminary Education Specialist Credential Program and admission to student teaching,
EDSP 695S,Seminar in Special Education,3,,,"Masters of Science, Special Education Majors Only",
