course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
GBA 599,Introduction to Data-driven Technologies: A Foundation for Understanding Disruptive Technologies,3,,,MBA Standing,
GBA 600,Sustainability and the Business Organization I,3,,,MBA majors only,
GBA 601,Sustainability and the Business Organization II,3,,,GBA 600,
GBA 685,International Collegiate Business Strategy Competition,3,,,MBA majors only,
GBA 690,Seminar in an MBA International Experience,3,,,"ACCT 610 , FIN 600 , HRM 652 , I S 601 , I S 602 , MGMT 647 , MKTG 661 and MBA majors only",
GBA 692A,Apostle Incubator Program,2,,,Consent of instructor,
GBA 692B,Apostle Incubator Program,1,,,Consent of instructor and must take GBA 692A prior to GBA 692B,
GBA 694,Short-Term Study Abroad,3,,,MBA majors only,
GBA 695,Selected Topics in Business Administration,,,,Consent of department chair,
GBA 698,Thesis,,,,GBA 601,
GBA 699,Integrated Analysis,3,,,"ACCT 610 , FIN 600 , HRM 652 , I S 601 , I S 602 , MGMT 647 , MKTG 661 and MBA majors only",
