course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
GEOG 100,World Regional Geography,3,,,,One G
GEOG 141,Physical Geography Laboratory,1,,,Concurrent or prior enrollment in GEOG 140 or GEOG 135 and a course fulfilling the 1C GE requirement,Concurrent or prior enrollment in GEOG 140 or GEOG 135 and a course fulfilling the 1C GE requirement
GEOG 175,"My Neighborhood, Our City",3,,,One GE Foundations course,One GE Foundations course
GEOG 300,Research Design in Geography,3,,,GEOG 200 and GEOG 280,
GEOG 301,The Urban Scene,3,,,GE Foundation requirement or post-baccalaureate standing,
GEOG 304,California,3,,,Completion of the GE Foundation and one or more Explorations courses and upper division standing; or post-baccalaureate standing,
GEOG 306,United States and Canada,3,,,GE Foundation requirement or post-baccalaureate standing,
GEOG 309,The Middle East and North Africa,3,,,Upper division standing,
GEOG 313,Southeast Asia,3,,,Completion of GE Foundation courses,
GEOG 314,South Asia,3,,,Completion of GE Foundation courses,
GEOG 315,East Asia,3,,,Completion of GE Foundation courses Prerequisites: GWAR portfolio course or score of 11 or higher on the GWAR Placement Exam,
GEOG 316,Europe,3,,,Upper-division standing; Completion of GE Foundation courses,
GEOG 318,Russia and Its Neighbors,3,,,"Completion of at least 60 units, completion of the entire GE Foundation, and completion of at least one GE Course from the Explorations stage Systematic and regional study of the physical, economic and cultural geography of the countries of the former Soviet Union",
GEOG 319,International Development,3,,,GE Foundation requirement,
GEOG 321,Geography of Latin America,3,,,Completion of GE Foundation courses,
GEOG 325,Geography of Climate Change,3,,,Completion of at least 60 units,
GEOG 330,California Ecosystems,3,,,GEOG 101 or GEOG 130 or GEOG 135 or GEOG 140 or ES P 101/GEOG 101 or ES P 200 ; AND GEOG 200 or BIOL 260 ; or instructor consent,
GEOG 340,Environmental Geography,3,,,,GEOG/ES P 101 or GEOG 130 or GEOG 135 or GEOG 140 or ES P 200 or consent of instructor Examines interrelationships between society and land and water environments
GEOG 350,Environmental Justice,3,,,GE Foundation courses completed; Completion of at least 60 units; and Completion of at least one GE Explorations,
GEOG 354,The Anthropocene: Earth in the Era of Humans,3,,,Completion of the GE Foundation,
GEOG 355,International Environmental Issues,3,,,Completion of GE Foundation courses,
GEOG 357,Sacred Geographies,3,,,Completion of GE Foundation,
GEOG 359,Coastal and Marine Science and Policy,3,,,Completion of the GE Foundation,
GEOG 360,Human Geography,3,,,GEOG 100 or GEOG 120 or GEOG 175 or PSY 175,
GEOG 371,Geospatial Science for Health,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage",
GEOG 392,Climate Action and Sustainability at CSULB,3,,,Completion of entire GE Foundation curriculum along with one or more GE Explorations courses and upper-division standing,
GEOG 400,Multivariate Geographical Analysis,4,,,GEOG 200 or STAT 108 or PSY 110 or BIOL 260 or HDEV 190 or SOC 170 or consent of instructor,
GEOG 402,Qualitative Research Methods,4,,,GEOG 360 recommended,
GEOG 440,Land and Water Resources,3,,,GEOG/ES P 101 or GEOL 280 or GEOG 130 or GEOG 135 or GEOG 140 or GEOG 340 or ES P 200 or consent of instructor,
GEOG 441,The Geography of Mars,3,,,,GEOG 130 or GEOG 140 or ERTH 102 or consent of instructor
GEOG 442,Biogeography,3,,,,GEOG 330 / ES P 330
GEOG 443,Watersheds: Processes and Management,4,,,ES P/ GEOG 101 or GEOG 130 or GEOG 135 or GEOG 140 or ES P 200 or ERTH 280 or consent of instructor,
GEOG 444,Climatology,3,,,ES P 200 or GEOG 340 recommended,
GEOG 447,Landscape Restoration,3,,,GEOG 330 / ES P 330,GEOG 330 / ES P 330
GEOG 448,Environmental Assessment,3,,,ES P 200 or GEOG 340 recommended,
GEOG 450,Environmental Sustainability and Social Justice,3,,,Upper division standing,
