course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
H SC 201,Introduction to Public Health,3,,,Course that fulfills the 1A GE requirement,
H SC 210,Personal Health and Wellness,3,,,Course that fulfills the 1A GE requirement,
H SC 227,Drugs and Health,3,,,Completion of the GE Subject Area 1,
H SC 250,Public Health Biology,3,,,Course that fulfills the 1A GE requirement,
H SC 301,Orientation to Health Science,3,,,"Open to Health Science majors, pre-majors and minors only",
H SC 327,Advanced Substance Use Policy and Advocacy,3,,,Upper Division Standing,
H SC 332,Mental Health and Community Wellbeing,3,,,Upper Division Standing,
H SC 350,Introduction to Health Advocacy and Policy,3,,,Upper Division Standing,
H SC 360,Public Health Informatics: The Role of Data,3,,,"Complete one of the following: H SC 201, H SC 260, CECS 174, CECS 181, HCA 300, HCA 416, HCA 417, H SC 400, H SC 407, I S 385, EE 407",
H SC 400,Principles of Epidemiology,3,,,Open to Health Science and Applied Data Science majors and minors only,
H SC 401,Community Health Education,3,,,A grade of “C” or better in H SC 421,
H SC 402,Applied Concepts of Community Health Education,3,,,"A grade of “C” or better in H SC 401 , and H SC 421",
H SC 403,Community Health Statistics,3,,,"GE Foundations, one or more explorations courses: a grade of “C” or better in SOC 170 or PSY 110 or STAT 108 or STAT 118 or HDEV 190",
H SC 405,Health Education Program Evaluation and Measurement,3,,,A grade of “C” or better in H SC 403 and H SC 421,
H SC 407,Health Equity & Social Justice in the US,3,,,"GE Foundation, one or more Exploration courses and upper-division standing",
H SC 410,Asian American Health,3,,,Upper Division Standing,
H SC 411A,Health Science for Elementary Teachers,3,,,Upper-division standing,Current CPR Certification required
H SC 411B,Health Science for Secondary Teachers,3,,,Upper-division standing,Current PR Certification required
H SC 412,African American Health,3,,,Upper Division Standing,
H SC 413,Latino Health,3,,,Upper Division Standing,
H SC 420,Global Health,3,,,"GE Foundation, one or more Exploration courses, and upper-division standing",
H SC 421,Health Behavior,3,,,"Open to Health Science pre-majors, Health Science majors, Health Science minors, Human Development majors, Kinesiology-Fitness pre-majors and Kinesiology-Fitness majors only",
H SC 422,Environmental Health,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage",
H SC 423,Consumer Health,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage",
H SC 425,Human Sexuality and Sex Education,3,,,G,
H SC 426,HIV/AIDS Policy and Advocacy,3,,,Upper Division Standing,
H SC 430,School Health Program,3,,,A grade of “C” or better in H SC 421,
H SC 431,Fostering Mental Health in the School Environment,3,,,Upper Division Standing,
H SC 435,Health Promotion and Risk Reduction,3,,,A grade of “C” or better in H SC 421,
H SC 440,Applied Concepts of Health Science,3,,,A grade of “C” or better in H SC 430,
H SC 460A,Emerging Technologies for the Public Health,3,,,"Complete one of the following: H SC 201, H SC 260, CECS 174, CECS 181, HCA 300, HCA 416, HCA 417, H SC 400, H SC 407, I S 385, EE 407",
H SC 460B,Public Health Maps and Spatial Analysis for Health Equity,3,,,"Complete one of the following: H SC 201, H SC 260, CECS 174, CECS 181, HCA 300, HCA 416, HCA 417, H SC 400, H SC 407, I S 385, EE 407",
H SC 485,Internship in Community Health Education,3,,,A grade of “C” or better in H SC 402 and H SC 405,
H SC 490,Independent Studies in Health Science,,,,Consent of instructor,
H SC 497,Selected Topics in Health Science,3,,,Department consent,
H SC 500,Elements of Epidemiological Research,3,,,H SC 403 or equivalent,
H SC 503,Principles of Public Health Statistics,3,,,H SC 403 or equivalent,
H SC 507,Health Equity and Health Disparities Research in the US,3,,,H SC majors only,
H SC 508,Public Health Policy and Leadership,3,,,Health Science majors only,
H SC 528,Principles of Environmental Health,3,,,H SC 500,
H SC 534,"Advanced Latino Nutrition, Health and Chronic Disease Prevention",3,,,H SC and FCS majors only,
H SC 535,Health Promotion and Risk Reduction,3,,,H SC 421 or consent of instructor,
H SC 537,Culturally Responsive Nutrition Promotion for Latinos,3,,,Family and Consumer Sciences and Health Care Graduate majors only,
H SC 570,Theoretical Concepts and Issues in Health Science,3,,,Open to HSC graduate students only,
H SC 581,Curriculum Development in Health Education,3,,,Undergraduate major in Health Science or related field,
H SC 585,Health Education Internship,,,,Advancement to candidacy and department consent,
H SC 590,Independent Study,,,,Open to HSC graduate students only,
H SC 597,Selected Topics in Health Science,3,,,Open to HSC graduate students only,
H SC 624,Seminar in Community Analysis and Program Planning,3,,,Undergraduate major in Health Science or related field; H SC 402 or department consent,
H SC 625,Advanced Community Health Education,3,,,Undergraduate major in Health Science or related field; H SC 624 or department consent,
H SC 626,Integrative Seminar in Public Health,3,,,"H SC 570 , advancement to candidacy",
H SC 696,Research Methods,3,,,Health Science majors only,
H SC 697,Directed Studies,,,,Advancement to candidacy,
H SC 698,Thesis,,,,"H SC 696 , advancement to candidacy",
H SC 720,Social Determinants of Global Health,3,,,"Admission to the DrPH Program, consent of the instructor",
H SC 770,Advanced Public Health Theoretical Concepts,3,,,Department Consent or Completion of DrPH Core Modules,
H SC 775,Professional Development,1,,,Admission to the DrPH Program; Completion of the DrPH core courses; Consent of the instructor,Must be taken concurrently with H SC 750
H SC 785A,Doctoral Practicum,3,,,Advancement to candidacy and department consent,
H SC 795,Directed Individual Study,,,,Consent of Instructor,
