course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
HIST 111,World History: Origins to 1500,3,,,None,
HIST 112,World Since 1500,3,,,None,
HIST 290,Selected Topics in History,3,,,GE Foundation requirements Topics of current interest in History,
HIST 301,Methodology of History,4,,,History majors only,
HIST 302,Theory and History,4,,,HIST 301,
HIST 307,A Critical History of Computing and Video Game Technology,3,,,Upper-division status or consent of undergraduate/graduate advisor,
HIST 395,"Gender, Sexuality and Desire in World History",3,,,"Upper-division status An introductory survey of the colonial and post-colonial world history regarding human gender, sexuality and desire",
HIST 396,Contemporary World History,3,,,HIST 111 or HIST 131 or consent of undergraduate/graduate advisor,
HIST 397,"Global Environmental History, 1500-Present",3,,,GE Foundations,
HIST 398,"Global Histories of Health, Medicine, and Disease, 1500-Present",3,,,GE Foundations,
HIST 401,History for Secondary Social Science Teachers,4,,,completed a majority of all coursework in the Social Science Subject Matter Program,
HIST 406,"Women, Gender, and Sexuality in Asia",3,,,Upper division standing,
HIST 418,"Central Asia and Afghanistan, Twentieth Century",3,,,Upper-division standing,
HIST 436,Challenging Empire: The Ordeals of Decolonization,3,,,GE Foundation requirements,
HIST 438,History of Marxist Thought,3,,,Completion of GE Foundation requirements; HIST 302,
HIST 440,The Silk Roads,3,,,HIST 111 or HIST 131 or consent of undergraduate/graduate advisor,
HIST 441,Mediterranean World,3,,,HIST 111 or HIST 131 or consent of undergraduate/graduate advisor Focuses on pre-modern Mediterranean world up to geographical shift of political power and wealth to the Atlantic world with an emphasis on the exchange and interaction of peoples and ideas,
HIST 442,The Indian Ocean in World History,3,,,HIST 111 or HIST 131 or consent of undergraduate/graduate advisor,
HIST 443,The Early Modern Atlantic World,3,,,"HIST 111 or HIST 132 or consent of undergraduate/graduate advisor Examines early modern Atlantic from a world historical perspective emphasis on cultural encounter/exchange, environmental interaction, and comparative colonial development from early Iberian maritime expansion through Atlantic revolutions and wars of independence",
HIST 444,The Pacific Ocean in World History,3,,,HIST 111 or HIST 131 or consent of undergraduate/graduate advisor Examines the Pacific World from the pre-modern period to the twentieth century from a world historical perspective,
HIST 451,The United States in the World,3,,,Upper-division standing,
HIST 453,Television Borders: Cultural crossings in the US Southwest and South,3,,,GE Foundation; Upper-division status,
HIST 457,Cycles of Violence in Mexico,3,,,GE Foundation; Upper-division status,
HIST 463,Power and Violence in Latin America and the Caribbean,3,,,Instructor consent,
HIST 476,The History of Social Activism,3,,,GE Category A must be completed prior to taking any upper-division course,
HIST 492,Proseminar in World History,3,,,Consent of the instructor,
HIST 494,Practicum in History,,,,Consent of instructor and department chair,
HIST 495,Selected Topics,3,,,HIST 301 and nine additional units of upper division History,
HIST 497,Selected Topics in Asian History,3,,,Consent of instructor,
HIST 498,Directed Studies,,,,Consent of instructor,
HIST 498O,Directed Studies in Oral History,,,,Consent of instructor,
HIST 499,Senior Seminar,4,,,"HIST 301 , HIST 302 ; 18 units of upper-division course work in History; at least two courses (6 units) of which must be in the 499 seminar’s area of concentration",
HIST 499H,Honors Thesis,3,,,"HIST 498H Research, writing, and presentation of a senior honors thesis under the direction of departmental faculty advisor",
HIST 501,Historical Thinking and the Discipline of History,3,,,Students must be first-semester candidates in the M,
HIST 502,Historical Research and Writing,3,,,Graduate standing in History or M,HIST 501
HIST 518,"Central Asia and Afghanistan, Twentieth Century",3,,,Upper Division Standing,
HIST 540,The Silk Roads,3,,,HIST 111 or HIST 131 or consent of undergraduate/graduate advisor,
HIST 541,Mediterranean World,3,,,Graduate standing in History,
HIST 542,The Indian Ocean in World History,3,,,Graduate Standing Examines the Indian Ocean from 600 CE to the nineteenth century from a world historical perspective,
HIST 543,The Early Modern Atlantic World,3,,,Graduate standing in History,
HIST 544,The Pacific Ocean in World History,3,,,HIST 111 or HIST 131 or consent of undergraduate/graduate advisor Examines the Pacific World from the pre-modern period to the twentieth century from a world historical perspective,
HIST 560,"Slavery, Resistance, and Freedom in Latin America",3,,,"GE Foundation requirements, one or more Exploration courses and upper division standing",
HIST 590,Selected Topics in Comparative History,3,,,Graduate standing in History,
HIST 595,Special Preparation,3,,,Graduate standing; consent of Graduate Advisor,
HIST 605,"Research in History Teaching, Learning, and Cognition",3,,,"Graduate standing in History Examines the extensive recent scholarship in history teaching, learning, and cognition, with an emphasis upon the significance and implementation of historical methodology and thinking in the classroom",
HIST 611,Seminars in Ancient and Medieval History,3,,,Graduate standing in History,
HIST 631,Seminars in European History (including Britain and Russia),3,,,Graduate standing in History,
HIST 641,Seminars in World History,3,,,Graduate standing in History,
HIST 673,Seminars in United States History,3,,,Graduate standing in History,
HIST 695,Directed Readings,,,,Consent of instructor,
HIST 698A,Directed Research,3,,,Consent of instructor,
