course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
MATH 104,The Power of Mathematics,3,,,,Appropriate CSU Multiple Measures Placement or concurrent enrollment in MATH 94
MATH 109,Modeling with Algebra,3,,,MAPB 7 or MAPB 11,
MATH 111,Precalculus Trigonometry,3,,,A grade of “C” or better in MATH 112A or appropriate CSULB Algebra and Calculus Placement,
MATH 112A,Essential Algebra A,3,,,Appropriate CSU Multiple Measures placement or concurrent enrollment in MATH 92A,
MATH 112B,Essential Algebra B,3,,,A grade of ”A” or “B” in MATH 112A or concurrent enrollment in MATH 92B,A grade of ”A” or “B” in MATH 112A or concurrent enrollment in MATH 92B
MATH 113,Precalculus Algebra,3,,,Appropriate CSULB Algebra and Calculus Placement,Students in need of additional support will be required to enroll concurrently in MATH 93
MATH 115,Calculus for Business,3,,,"Appropriate CSULB Algebra and Calculus Placement, or a grade of “B” or better in MATH 112A","Appropriate CSULB Algebra and Calculus Placement, or a grade of “B” or better in MATH 112A"
MATH 116,Finite Math,3,,,Appropriate CSU Multiple Measures Placement or concurrent enrollment in MATH 96,Appropriate CSU Multiple Measures Placement or concurrent enrollment in MATH 96
MATH 119A,Survey of Calculus I,3,,,"A grade of “C” or better in MATH 112B or MATH 113 , or appropriate CSULB Algebra and Calculus Placement",
MATH 122,Calculus I,4,,,"A grade of “C” or better in MATH 111 and either MATH 112B or MATH 113 , or appropriate CSULB Algebra and Calculus Placement",
MATH 123,Calculus II,4,,,A grade of “C” or better in MATH 122,
MATH 170,Calculus for Data Science I,4,,,"A grade of “C” or better in either MATH 112B or MATH 113, or appropriate CSULB Algebra and Calculus Placement",
MATH 224,Calculus III,4,,,A grade of “C” or better in MATH 123 or 222,
MATH 233,Fundamental Concepts for Advanced Mathematics,3,,,MATH 123 with a grade of “C” or better,
MATH 247,Introduction to Linear Algebra,3,,,MATH 123,
MATH 297,Directed Study,,,,Consent of instructor,
MATH 303,Reflections in Space and Time,3,,,"GE Foundation requirements, at least one GE Exploration course, upper-division standing",
MATH 304,The Art of Mathematics,3,,,Completion of GE Foundation requirement; at least one GE Explorations course; Completion of 60 units,
MATH 309,Complexity and Emergence,3,,,"GE Foundation requirements, at least one GE Exploration course, upper-division standing",
MATH 310,History of Early Mathematics,3,,,,At least one of MATH 224 or MATH 233 or MATH 247
MATH 323,Introduction to Numerical Analysis,4,,,"MATH 224 , and a course in computer programming",
MATH 341,Number Theory,3,,,"A grade of “C” or better in MATH 233 Divisibility, congruences, number theoretic functions, Diophantine equations, primitive roots, continued fractions",
MATH 347,Linear Algebra,3,,,MATH 233 and MATH 247,
MATH 349,Linear Algebra and Differential Equations for Engineers,3,,,"MATH 123 with a grade of “C” or better, and BME 201 with a grade of “C” or better",
MATH 355,College Geometry,3,,,A grade of “C” or better in MATH 247,
MATH 361A,Introduction to Mathematical Analysis I,3,,,MATH 224 and MATH 233,
MATH 361B,Introduction to Mathematical Analysis II,3,,,A grade of “C” or better in MATH 361A,
MATH 364A,Ordinary Differential Equations I,3,,,MATH 224,MATH 247
MATH 364B,Ordinary Differential Equations II,3,,,MATH 364A or MATH 370A,
MATH 370A,Applied Mathematics I,3,,,A grade of “C” or better in MATH 123,
MATH 380,Probability and Statistics,3,,,MATH 224,
MATH 423,Intermediate Numerical Analysis,3,,,MATH 247 and MATH 323,
MATH 444,Introduction to Abstract Algebra,3,,,MATH 247 and a grade of “C” or better in at least one of MATH 341 or MATH 347,
MATH 451,Differential Geometry,3,,,MATH 364A or MATH 370A,
MATH 456,Dynamics and Geometry of Chaos,3,,,"MATH 247 , MATH 361A , or consent of instructor",
MATH 463,Multivariable Calculus,3,,,"MATH 224 , MATH 247 , and MATH 361B",
MATH 470,Introduction to Partial Differential Equations,3,,,MATH 364A or MATH 370A,
MATH 472,Fourier Analysis,3,,,MATH 364A or MATH 370A,
MATH 473,Scientific Computing,3,,,MATH 323 and MATH 364A or MATH 370A,
MATH 474,Mathematics of Financial Derivatives,3,,,"MATH 364A or MATH 370A , MATH 380 , or consent of instructor",
MATH 479,Mathematical Modeling,3,,,"MATH 247 , MATH 323 ; MATH 364A or MATH 370A ; and consent of instructor",
MATH 485,Mathematical Optimization,3,,,"MATH 247 and at least one of MATH 323 , MATH 347 or MATH 380",
MATH 491,Honors Seminar in Problem Solving,1,,,Consent of instructor,
MATH 495,Topics in Modern Mathematics,3,,,Consent of instructor,
MATH 496,Special Problems,,,,Consent of instructor,
MATH 497,Directed Studies,,,,Junior or senior standing and consent of instructor,
MATH 498H,Senior Thesis - Honors,3,,,"Admission to Honors in the Major in Mathematics or to the University Honors Program, and consent of instructor",
MATH 520,Finite Element Method,3,,,"MATH 323 , MATH 361A , MATH 364A",
MATH 521,Matrix Method in Data Analysis and Pattern Recognition,3,,,MATH 423 or MATH 576,
MATH 540,Elements of Abstract Algebra,3,,,MATH 444,
MATH 545,Topics in Abstract Algebra,3,,,MATH 540,
MATH 550,Elements of Topology,3,,,MATH 361B,
MATH 555,Topics in Topology,3,,,MATH 550,
MATH 560,Functional Analysis,3,,,"MATH 247 , MATH 361B",
MATH 561,Elements of Real Analysis,3,,,MATH 361B,
MATH 562,Elements of Complex Analysis,3,,,MATH 361B,
MATH 563,Applied Analysis,3,,,MATH 361B and either MATH 364A or MATH 370A,
MATH 564,Applied Nonlinear Ordinary Differential Equations,3,,,MATH 361B ; MATH 364A or MATH 370A,
MATH 565,Topics in Real Analysis,3,,,MATH 561,
MATH 566,Topics in Complex Analysis,3,,,MATH 562,
MATH 570,Partial Differential Equations,3,,,MATH 364A and MATH 463,
MATH 573,Advanced Scientific Computing,3,,,MATH 323 and MATH 364A or MATH 370A,
MATH 574,Stochastic Calculus and Applications,3,,,"MATH 361B , MATH 364A or MATH 370A , MATH 380",
MATH 575,Calculus of Variations,3,,,MATH 361B and either MATH 364A or MATH 370A Solution methods for variational problems,
MATH 576,Numerical Analysis,3,,,"MATH 323 , MATH 361B , MATH 364A",
MATH 577,Numerical Solution of Partial Differential Equations,3,,,MATH 423 or MATH 576 or consent of instructor,
MATH 578,Numerical Linear Algebra,3,,,MATH 247 and MATH 323 or consent of instructor,
MATH 579,Advanced Mathematical Modeling,3,,,"MATH 247 , MATH 323 ; MATH 364A or MATH 370A ; one additional graduate level mathematics course, and consent of instructor",
MATH 590,Selected Topics in Mathematics,3,,,Consent of Instructor Specialized and advanced topics in mathematics,
MATH 680,Topics in Ordinary Differential Equations,3,,,MATH 564 and Consent of Instructor,
MATH 681,Topics in Partial Differential Equations,3,,,MATH 570 and Consent of Instructor,
MATH 682,Topics in Numerical Analysis,3,,,MATH 576 and Consent of Instructor,
MATH 695,Seminar in Mathematics,3,,,Consent of instructor,
MATH 697,Directed Studies,,,,Consent of instructor,
MATH 698,Thesis or Project,,,,Advancement to candidacy,
