course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
MGMT 300,Principles of Management and Operations,3,,,"Business majors, Pre-Business majors, International Business minors, Entrepreneurship minors, SCM minors, Asian Studies, Construction Engineering Management, and Applied Mathematics",
MGMT 326,"Management, Sustainability, & Society",3,,,None,
MGMT 355,Experiential Entrepreneurial Management,3,,,"Not open for credit to students with credit in MGMT 421, consent by instructor",
MGMT 405,International and Comparative Management,3,,,"MGMT 300 , IB 300 , I S 301 and MGMT, HRM majors & International Business majors or MGMT 300 , IB 300 and International Business minors",
MGMT 406,International Business Policy,3,,,"MGMT 300 , IB 300 , I S 301 and Management & International Business majors or MGMT 300 , IB 300 and International Business minors",
MGMT 412,Production Control,3,,,"I S 301 , MGMT 300",
MGMT 421,Entrepreneurship and New Venture Creation,3,,,"First-time, first-year students excluded",
MGMT 425,Business Strategy and Policy,3,,,"ACCT 320 or ACCT 202 , MGMT 300 , MKTG 300 , FIN 300 , I S 301 , plus completion of GE Foundation courses and at least one GE Explorations course",
MGMT 454,Organization Theory,3,,,"I S 301 , MGMT 300",
MGMT 455,Managerial Decision Making Processes,3,,,"MGMT 300 , I S 301",
MGMT 456,Service Management,3,,,MGMT 300 and I S 301,
MGMT 495,Selected Topics in Management,3,,,"MGMT majors, HRM majors, SCM majors, ENTR minors or HRM Minors only",
MGMT 497,Directed Studies in Management,,,,MGMT and SCM majors only,
MGMT 500,"Business Policies, Operations and Organizations",3,,,MBA majors only,
MGMT 542,Seminar in Entrepreneurship and New Venture Creation,3,,,MGMT 500 and MBA majors only,
MGMT 543,International Business Policy,3,,,MGMT 500 and MBA majors only,
MGMT 647,Seminar in Strategic Management,3,,,MGMT 500 and MBA majors only,
MGMT 695,Selected Topics in Management,3,,,Consent of department chair,
MGMT 697,Directed Studies in Management,,,,Consent of department chair,
