course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
OSI 419,Marine Ichthyology,4,,,Consent of instructor,
OSI 425,Marine Phycology,4,,,"BIOL 211 , BIOL 212 , BIOL 213",
OSI 455,Marine Ecological Processes,4,,,BIOL 350 and consent of instructor; statistics recommended,
OSI 490,Selected Topics in Ocean Studies,,,,Consent of instructor,
OSI 490L,Selected Topics in Ocean Studies Laboratory,,,,Consent of instructor,
OSI 496,Undergraduate Directed Research,,,,Consent of instructor,
OSI 519,Marine Ichthyology,4,,,Consent of instructor,
OSI 525,Marine Phycology,4,,,"BIOL 211 , BIOL 212 , BIOL 213",
OSI 555,Marine Ecological Processes,4,,,BIOL 350 and consent of instructor; statistics recommended,
OSI 590,Selected Topics in Ocean Studies,,,,Consent of instructor,
OSI 590L,Selected Topics in Ocean Studies Laboratory,,,,Consent of instructor,
OSI 697,Directed Research,,,,Consent of instructor and graduate standing,
