course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
PPA 509,Seminar in Strategic Planning for Public Managers,3,,,Consent of instructor,
PPA 510,Urban Environmental Governance,3,,,Open to PPA graduate students only An examination of the challenges of environmental protection and resource management confronting urban governments,
PPA 512,Urban Executive Management,3,,,Open to PPA graduate students only,
PPA 515,Administrative Report Writing,3,,,Open to PPA graduate students only,
PPA 517,Analytical Skills Development,3,,,Open to PPA graduate students only,
PPA 518,Microeconomics and Public Policy,3,,,Open to PPA graduate students only,
PPA 521,Microcomputer Management for Public Administrators,3,,,Open to PPA graduate students only,
PPA 523,Urban Information Systems for Public Management,3,,,Open to PPA graduate students only,
PPA 525,Non-Profit Management,3,,,Open to PPA graduate students only,
PPA 533,"Race, Inequality and Public Policy",3,,,Open to PPA graduate students only,
PPA 535,Intergovernmental Relations,3,,,Open to PPA graduate students only,
PPA 540,Grants Administration and Management,3,,,Open to PPA graduate students only,
PPA 542,Emergency Planning and Management,3,,,Open to PPA graduate students only,
PPA 546,The Urban Crisis and the Public Administrator,3,,,Open to PPA graduate students only,
PPA 554,Public Works Facilities and Urban Policy,3,,,Open to PPA graduate students only,
PPA 555,Government Budgeting and Finance,3,,,PPA 518 or ECON 101 or ECON 300 or equivalent with a grade of “C” or better,
PPA 560,Public Financial Management,3,,,PPA 555,
PPA 567,Basic Governmental (Fund) Accounting,3,,,PPA 555,
PPA 570,Negotiating Dynamics: Strategies and Skills,3,,,Open to PPA graduate students only,
PPA 571,Leadership Skills and Strategies in the Public Sector,3,,,Open to PPA graduate students only,
PPA 575,Public Sector Employer-Employee Relations,3,,,Open to PPA graduate students only,
PPA 577,Public Sector Human Resources Management,3,,,Open to PPA graduate students only,
PPA 581,Government/Community Relations,3,,,Open to PPA graduate students only,
PPA 585,Public Policy and Administration Internship,,,,Instructor consent,
PPA 590,Selected Topics in Public Policy and Administration,3,,,Open to PPA graduate students only,
PPA 597,Directed Studies,,,,Instructor consent,
PPA 610,Seminar in Urban Affairs,3,,,Open to PPA graduate students only An interdisciplinary course gives students opportunity to develop expanded awareness of the interrelationships between various urban problems in the urban systemic environment,
PPA 660,Seminar in Organization Theory and Behavior,3,,,Open to PPA graduate students only Examination of theories of organizations and behavior of members therein,
PPA 670,Policy Issue Analysis,3,,,Open to PPA graduate students only Introduces theories and approaches to policy analysis,
PPA 696,Research Methods in Public Administration,3,,,PPA 517 or STAT 108 or equivalent with a grade of “C” or better,
PPA 697,Directed Research,3,,,"Advancement to candidacy, completion of required MPA courses, consent of instructor",
