course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
REC 141,Introduction to Leisure Services,3,,,,One GE Foundation course
REC 168,Introduction to Travel and Tourism,3,,,"Enrollment in, or completion of, at least one GE Foundation The purpose of this course is to introduce students to the basic elements and concepts of tourism, including the geography, economics, psychology, history, and physical development of tourism, as well as the industry’s positive and negative impacts in destination communities",
REC 201,Teamwork and Group Dynamics,3,,,,One GE Foundation course
REC 210,"Health and Wellness in Parks, Recreation, and Tourism",3,,,1st & 2nd year students or Recreation Majors and Minors only,
REC 225,Programming Recreation Activities,3,,,"Pre-REC majors, REC majors, Pre-REC Therapy majors, REC Therapy majors, and REC minors only Methods and materials used in planning and leading organized recreation programs in public and private agencies",
REC 242,Backpacking,2,,,None,
REC 243C,Desert Expedition,3,,,None,
REC 244,Kayaking,2,,,None,
REC 245,Wilderness Water Expedition,3,,,None,
REC 247A,Techniques of Rock Climbing,2,,,None,
REC 323,Park & Recreation Facility Operations,3,,,REC majors & minors only; REC majors: A grade of “C” or better in REC 141 &nbsp;or REC 225,
REC 325,Advanced Program and Event Management,3,,,Pre-REC majors and REC majors: A grade of “C” or better in REC 141 or REC 225,
REC 340,Leisure in Contemporary Society,3,,,GE Foundations requirements; one or more GE Exploration courses; upper division standing,
REC 341,Evaluation and Research in Leisure Services,3,,,A “C” or better in REC 141 or REC 225,
REC 351,Foundations of Inclusive Recreation and Recreation Therapy,3,,,A “C” or better in REC 141 or REC 225,
REC 371,Human Services Programming in Urban Areas,3,,,GE Foundation requirements,
REC 421,Supervisory and Administrative Practices,3,,,A grade of “C” or better in REC 141 or REC 225,
REC 423,Facility Design and Operations,3,,,"A grade of “C” or better in REC 325 , REC 341",
REC 427,Legal Aspects of Leisure Services,3,,,A grade of “C” or better in REC 325,
REC 430,Recreation in the Ocean Environment,3,,,Consent of instructor,
REC 431,Recreation Resource Management,3,,,"A grade of “C” or better in Rec 141 or Rec 225 Prerequisites for Wilderness Studies Certificate Students: None Review of the techniques of recreation resource management; the role of citizens, government and private agencies in acquisition and development of these resources; development of resource management policies",
REC 434,Adventure Education Programming and Leadership,3,,,1 GE Foundation course or consent of instructor,
REC 435,Human Dimensions and Management in Experiential Education,3,,,1 GE Foundation course or consent of instructor,
REC 437,Equity and Access of Recreation and Leisure,3,,,None,
REC 452,Assessment and Documentation in Recreation Therapy,3,,,A grade of “C” or better in REC 351,
REC 453,Comprehensive Programming and Evaluation in Recreation Therapy,3,,,A grade of “C” or better in REC 351,
REC 458,Clinical Techniques in Recreation Therapy,3,,,A grade of “C” or better in REC 351,
REC 462,"Travel, Tourism, and Resort Recreation Management",3,,,Pre-REC majors and REC majors: A grade of “C” or better in REC 168,
REC 465,Convention and Conference Planning,3,,,Pre-REC majors and REC majors: A grade of “C” or better in REC 168,
REC 467,Principles of Ecotourism Development,3,,,A grade of “C” or better in REC 325,
REC 468,Sustainable Tourism Planning and Development,3,,,A grade of “C” or better in REC 168,
REC 469,"Disability, Culture and Society: Issues and Intervention",3,,,Freshmen are prohibited from enrolling in upper division courses,
REC 480,Philosophy of Recreation and Leisure,3,,,"A grade of “C” or better in REC 341 , REC 351 , and three 300 or 400 level REC classes",
REC 485,Field Work,3,,,Consent of instructor,
REC 498,Internship in Leisure Services,,,,"Completion of all major requirements; REC 485 , or 1000 hours of verified paid or volunteer leadership experience approved by faculty advisor, or 500 hours of experience and fluency in both English and a second language consistent with CSULB Language Proficiency Requirements; and consent of internship coordinator",
REC 499,Independent Study,,,,Consent of department and department chair,
REC 527,Legal Aspects of Leisure Services,3,,,A grade of “C” or better in REC 325 or graduate student status,
REC 537,Equity and Access of Recreation and Leisure,3,,,None,
REC 551,Management and Administration of Recreation Therapy Services,3,,,None,
REC 552,Assessment and Documentation in Recreation Therapy,3,,,None,
REC 553,Comprehensive Programming and Evaluation in Recreation Therapy,3,,,None,
REC 558,Clinical Techniques in Recreation Therapy,3,,,None,
REC 567,Principles of Ecotourism Development,3,,,A grade of “C” or better in REC 325 or graduate student status,
REC 569,"Disability, Culture and Society: Issues and Intervention",3,,,Senior or graduate standing,
REC 590,Selected Topics in Recreation,,,,Consent of instructor,
REC 591,Research Proposal Writing,3,,,REC 571 Addresses variations in research design and methodology,
REC 595,Data Analysis in Recreation Administration,3,,,None,
REC 599,Independent Study,,,,Consent of graduate advisor and department chair,
REC 692,Directed Project,,,,"REC 591 , REC 696 , and Advancement to Candidacy Students will work under the guidance of a faculty advisor to develop a project that advances the field of Recreation, Parks, and Tourism",
REC 697,Directed Studies,3,,,"REC 591 , REC 696 , and advancement to candidacy",
REC 698,Thesis,,,,"REC 591 , REC 696 , advancement to candidacy",
