course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
RGR 100A,Uptown/Downtown: The City as Text,3,,,,One G
RGR 314,Introduction to Contemporary Europe,3,,,"GE Foundation requirements, one or more Exploration courses, and upper-division standing",
RGR 315,Contemporary European Society,3,,,"GE Foundation requirements, one or more Exploration courses, and upper-division standing",
RGR 346,"The European Cinema of Communism, Fascism and Resistance",3,,,Completion of GE Foundation courses; upper-division standing,
RGR 360,Spycraft: Modern Espionage in Global Perspective,3,,,Completion of at least 60 units,
RGR 400,Crime and Punishment,3,,,"GE Foundation requirements, one or more Exploration courses and upper-division standing",
RGR 401,Elementary Language Study for Graduate Students,4,,,Department consent required,
RGR 402,Intermediate Language Study for Graduate Students,4,,,Department consent required,
RGR 424,Second Language Acquisition,3,,,Upper-division standing Study of history of second language learning/teaching,
RGR 425,Romance Linguistics,3,,,"SPAN 423 or ITAL 414 or consent of program instructor Comparative description of the constitution and development of Romance languages in all their aspects: phonetical, lexical and morphosyntactical",
RGR 450,1492 and Beyond,3,,,"GE Foundation requirements, completion of one or more Exploration courses and upper-division standing",
RGR 470,New Technologies in the Learning of Languages Other Than English,3,,,"Advanced communication skills in the target language; basic knowledge of computer use (LI 110 or ISTE competencies for K-12 students); EDSS 300A-T (F), or concurrent enrollment, or consent of instructor",
RGR 485,Intercomprehension among Romance Languages: a Road to Multilingualism,3,,,"Knowledge of English and one Romance language, upper division",
RGR 490,Selected Topics,3,,,,Upper-division standing
RGR 501,Research Methods and Critical Theory,3,,,Enrolled in one of RGRLL M,
RGR 525,Romance Linguistics,3,,,FREN 424 or SPAN 423 or ITAL 414 or consent of instructor,
RGR 570,New Technologies in the Learning of Languages Other Than English,3,,,(A) Advanced communication skills in the target language,
RGR 585,Intercomprehension among Romance Languages: a Road to Multilingualism,3,,,"Knowledge of English and one Romance language, graduate standing or consent of graduate advisor",
RGR 590,Selected Topics,3,,,,"Graduate standing or consent of graduate advisor Course Description: Exploration of a specific topic related to language, literature, linguistics, translation, and/or culture within RGRLL"
RGR 601,Teaching Methodology,3,,,"Graduate level or consent of instructor in French, German, or Spanish and instructor",
RGR 603,Theory and Practice of Literary Translation,3,,,Graduate standing,
