course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
R/ST 242,The Bible as Literature,3,,,One GE Foundation course,
R/ST 319,Biblical Hebrew II,3,,,R/ST 318,
R/ST 320A,Biblical Aramaic I,3,,,GE Foundation requirements,
R/ST 320B,Biblical Aramaic II,3,,,GE Foundation requirements,
R/ST 353,Religions of Southeast Asia,3,,,"GE Foundation requirements, completion of one or more Explorations courses, and upper-division standing",
R/ST 362,Religion and Psychology,3,,,Completion of at least 60 units,
R/ST 366,"Global Magic, Witchcraft, and the Body",3,,,Completion of at least 60 units,
R/ST 375,The Historical Jesus,3,,,Completion of at least 60 units,
R/ST 376,Christian Origins,3,,,Completion of at least 60 units,
R/ST 391,Religion and Science,3,,,Completion of at least 60 units,
R/ST 402,Religion in America,3,,,Completion of at least 60 units,
R/ST 410,"Women, Religion and Spirituality",3,,,"ENGL 100B or GE English Composition (Area 1A) and upper-division standing, or consent of instructor",
R/ST 471,Early Christianity and Society,3,,,"GE Foundation requirements, one or more Explorations courses, and upper-division standing",
R/ST 499,Directed Studies,,,,Consent of instructor,
R/ST 503,Professional Research Praxis: How to do it,3,,,Consent of instructor,
R/ST 590,Selected Topics in Religious Studies,3,,,Consent of instructor,
R/ST 595,Advanced Study,3,,,Consent of instructor,
R/ST 599,Graduate Tutorial,,,,Consent of instructor,
R/ST 601,Theories and Methods in the Study of Religion,3,,,Consent of instructor,
R/ST 604,Seminar in Religion in the Contemporary World,3,,,Consent of instructor,
R/ST 610,"Indigenous Religion, Gender, and Representation",3,,,Graduate standing or consent of instructor,
R/ST 624,Seminar in Ancient Mediterranean Religion,3,,,Consent of instructor,
R/ST 659,"Violence, Religion, Gender and Sexuality",3,,,"Graduate Standing or consent of instructor Explores the connections between religion, sexuality, and forms of violence against women in the contemporary world",
R/ST 665,"Magic, Witchcraft, Sexuality and Religion",3,,,"Graduate standing Focuses on connections between magic, witchcraft, sexuality and power in the contemporary, global world",
R/ST 690,Selected Topics in Religious Studies,3,,,Consent of instructor,
R/ST 697,Directed Research,,,,Consent of instructor,
R/ST 698,Thesis,,,,"Advancement to candidacy, consent of advisor",
