course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
SCED 301,Science for Early Childhood,3,,,"CDFS 214 or CDFS 215 , with a “C” or better",
SCED 401,A Process Approach to Science,3,,,"BIOL 200 ; PHSC 112 ; ERTH 106 , or both ERTH 102 and ERTH 104 ; all with a “C” or better grade",
SCED 403,Integrated Science,3,,,Minimum of 9 units of science and consent of instructor,
SCED 404,The Nature of Science and Scientific Reasoning,3,,,Minimum of 9 units of science (introductory level or higher) or consent of instructor,
SCED 475,"Teaching and Learning Science, K-8",3,,,Admission to the Multiple Subject Credential Program,
SCED 490A,Selected Topics in Science Education,,,,Consent of instructor,
SCED 490B,Selected Topics in Life Science Education,,,,Consent of instructor,
SCED 490C,Selected Topics in Earth/Space Science Education,,,,Consent of instructor,
SCED 490D,Selected Topics in Physical Science Education,,,,Consent of instructor,
SCED 496,Directed Studies in Science Education,,,,Consent of instructor,
SCED 500,Life Science Applications for K-8 Teachers,3,,,Admission to M,
SCED 501,Earth Sciences Applications for K-8 Teachers,3,,,Admission to the M,
SCED 502,Physical Science Applications for K-8 Teachers,3,,,Admission to M,
SCED 550,Current Issues and Research in Science Education,3,,,Admission to M,
SCED 551,"Science Teaching, Learning and Curriculum Models",3,,,Admission to M,
SCED 552,Nature of Science,3,,,Admission to M,
SCED 553,Science Learning in Informal Settings,3,,,Admission to Science Education M,
SCED 560,Science Education Research Methods,3,,,Admission to the M,
SCED 563,Advanced Practices in Informal Education,3,,,"SCED 553 or Instructor Consent Development of strategies and practices, including planning, engagement and evaluation, that support science learning in out-of-school settings (e",
SCED 590,Selected Topics in Science Education,,,,Consent of instructor,
SCED 697,Directed Research,,,,Consent of instructor and admission to M,
SCED 698,Thesis/Project,,,,Advancement to Candidacy for the M,
