course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
SOC 100,Principles of Sociology,3,,,,One GE Foundation course
SOC 142,Social Trends and Problems,3,,,One GE Foundation Course,One GE Foundation Course
SOC 170,Elementary Statistics,4,,,Eligible to take General Education Quantitative Reasoning Course as determined by the CSU Multiple Measures of Academic Proficiency,
SOC 270,Introduction to Research Methods,3,,,SOC 100 or SOC 142 and SOC 170 or HDEV 190 or PSY 110,
SOC 318,Cases in International Social Conflict,3,,,GE Foundations,
SOC 320,Sociology of Families,3,,,SOC 100,
SOC 325,Sociology of Gender,3,,,SOC 100,
SOC 335,Social Psychology,3,,,GE Foundation requirements and one Explorations course,
SOC 340,The Latino Population in the United States,3,,,GE Foundation and one Explorations course,
SOC 341,Central American and Caribbean Peoples in California,3,,,GE Foundation and one Explorations course,
SOC 342,Critical Criminology,3,,,"GE Foundation, one Exploration course, and upper-division standing",
SOC 345,"Youth, Policing, and Justice",3,,,,One Foundation Course
SOC 346,"Race, Gender and Class",3,,,GE Foundation requirements,
SOC 353,Urban and Social Policy Analysis,3,,,"GE Foundations, upper-division standing",
SOC 354,Qualitative Methods of Social Research,4,,,"SOC 100 , SOC 170 (or HDEV 190 or PSY 110) SOC 270 , and one upper division course in sociology",
SOC 355,Quantitative Methods of Social Research,4,,,"SOC 100 , SOC 170 (or HDEV 190 or PSY 110 ), SOC 270 , and one upper-division course in sociology (300 or 400 level)",
SOC 356,Classical Sociological Theory,3,,,SOC 100,
SOC 357,Modern Sociological Theory,3,,,"SOC 100 , SOC 356 and one other upper division course in Sociology",
SOC 358,The Sociology of Migration and Immigration,3,,,"GE Foundation, one Explorations course, and upper-division standing",
SOC 405,Un-Imaging the Middle East,3,,,Upper-Division standing,
SOC 410,Environmental Sociology,3,,,"GE Foundation requirements, one or more Exploration courses, and upper-division standing",
SOC 415,Sociology of Education,3,,,GE Foundation,
SOC 420,Social Stratification,3,,,GE Foundation and SOC 100,
SOC 423,Critical Perspectives on the Child Welfare System,3,,,GE Foundation,
SOC 426,Sociology of Sexualities,3,,,Completion of GE Foundation,
SOC 427,Social Movements and Activism,3,,,Upper-Division standing,
SOC 430,Sociology of Globalization,3,,,GE Foundation and SOC 100,
SOC 436,"Racism, Power, and Inequality",3,,,GE Foundation and SOC 100 or SOC 142,
SOC 449,Sociology of Human Rights and Social Justice,3,,,GE Foundation and SOC 100,
SOC 460,Poverty and Public Policy,3,,,"GE Foundation, one explorations course, SOC 100 or SOC 142 and upper division standing",
SOC 462,Sociology of Health and Medicine,3,,,GE Foundation requirements,
SOC 463,Mental Health and Society,3,,,GE Foundation and SOC 100,
SOC 464,Aging and Society,3,,,SOC 100 or SOC 142,
SOC 465,Sociological Dimensions of Mortality and Bereavement,3,,,Completion of 60 upper-division units,
SOC 466,AIDS and Society,3,,,"GE Foundation, one Explorations course, and upper-division standing",
SOC 475,Religion and Social Change,3,,,SOC 100,
SOC 487H,Selected Topics - Honors,3,,,SOC 356 and admission to Sociology Honors Program,
SOC 488H,Honors Research Seminar,3,,,SOC 355 and admission to the Sociology Honors Program,
SOC 489H,Honors Thesis,3,,,"SOC 356 , SOC 488H and admission to the Sociology Honors Program",
SOC 490,Selected Topics in Sociology,,,,GE Foundation and SOC 100,
SOC 492,Selected Topics in Interaction and Group Relations,3,,,GE Foundation and SOC 100,
SOC 493,Selected Topics in Medical Sociology,3,,,GE Foundation and SOC 100,
SOC 494,Selected Topics in Social Change and Global Issues,3,,,GE Foundation and SOC 100,
SOC 495,Internship,,,,"GE Foundations, SOC 100 or SOC 142 , and consent of instructor",
SOC 496,Field Practicum,,,,SOC 495,
SOC 497,Peer Facilitation in Sociology,3,,,A grade of at least a “B” earned in at least one upper division course related to the peer facilitation activity and consent of instructor,
SOC 499,Directed Studies,,,,Consent of instructor,
