course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
TRST 201,Meaning in Transit: An Introduction to Translation Studies,3,,,One GE Foundation course,One GE Foundation course
TRST 435,Psycholinguistics of Translation and Bilingualism,3,,,TRST 301,
TRST 451,Audiovisual Translation,3,,,"3 years of language instruction, TRST 301, or consent of instructor This course covers the theory and practice of audiovisual translation, including the core technical, linguistic, semiotic, and accessibility considerations needed to subtitle for television, cinema and DVD, and an overview of the profession",
TRST 452,"Localization: Website, Software, App and Video Game Translation",3,,,TRST 401,
TRST 465,Community Interpreting,3,,,3 years of language instruction or consent of instructor,
TRST 499,Directed Study,,,,Consent of Instructor,
TRST 500,Theory Informed Practices and Perspectives in Translation,3,,,Graduate standing,
TRST 535,Psycholinguistics of Translation and Bilingualism,3,,,Graduate standing,
TRST 551,Audiovisual Translation,3,,,Graduate standing,
TRST 552,"Localization: Website, Software, App and Video Game Translation",3,,,Graduate standing,
TRST 565,Community Interpreting,3,,,Graduate standing,
TRST 599,Directed Study,,,,Graduate standing and consent of instructor,
TRST 696,Research Methods for Translators and Multilingual Experts,3,,,Graduate standing,
