course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
CECS 100,Critical Thinking in the Digital Information Age,3,,,,ENGL 100B or GE English Composition (Area 1A)
CECS 105H,Introduction to Computer Engineering and Computer Science,1,,,Engr Honors Program track I or II,
CECS 174,Introduction to Programming and Problem Solving,3,,,,CECS 180 or MATH 122
CECS 180,Data Computing for Everyone,3,,,"Appropriate CSU Multiple Measures Placement, or concurrent enrollment in the support class of CECS 80","Appropriate CSU Multiple Measures Placement, or concurrent enrollment in the support class of CECS 80"
CECS 181,Introduction to Data Science,3,,,,CECS 174
CECS 200,Intermediate Web Design,3,,,CECS 110 with a grade of “C” or better,
CECS 201,Computer Logic Design I,3,,,"Computer Science and Computer Engineering majors, pre-majors, and minors only",MATH 122
CECS 211,Principles of Computer Engineering I,3,,,MATH 122 with a grade of “C” or better,
CECS 225,Digital Logic and Assembly Programming,3,,,"Computer Science and Computer Engineering majors, pre-majors, and minors only","CECS 174 An introductory course in digital logic and assembly programming covering number representation, digital logic, Boolean algebra and logic gates, combinatorial building blocks, latches and flip-flops, arithmetic circuits, memory system organization, machine and assembly language programming, and MIPS architecture"
CECS 228,Discrete Structures with Computing Applications,3,,,CECS 174 and (MATH 170 or MATH 122) all with a grade of “C” or better,
CECS 228H,Discrete Structures with Computing Applications,3,,,CECS 174 and MATH 122 all with a grade of “C” or better,
CECS 229,Discrete Structures with Computing Applications II,3,,,CECS 228 with a grade of “C” or better This is the second course in a two-course sequence in computing applications of discrete structures,
CECS 229H,Discrete Structures with Computing Applications II,3,,,CECS 228 or CECS 228H with a grade of “C” or better,
CECS 262,Introduction to Embedded System Programming,3,,,CECS 174 and CECS 201 all with a grade of “C” or better,
CECS 271,Introduction to Numerical Methods,3,,,CECS 229 or MATH 247 with a grade of “C” or better,
CECS 274,Data Structures,3,,,CECS 174 with a grade of “C” or better,
CECS 275,Programming and Data Structures in C++,3,,,"CECS 262 or equivalent with a grade of “C” or better Disciplined methods of design, coding and testing using the C++ programming language",
CECS 277,Object Oriented Application Development,3,,,CECS 174 with a grade of “C” or better,
CECS 278,Cyber Security Principles,3,,,"CECS 100 Principles, mechanisms, implementation, and sound practices of computer security and data protection",
CECS 280,Introduction to Data Mining,3,,,CECS 181 or STAT 181,
CECS 281,Introduction to Data Visualization for Data Science,3,,,STAT 181 or CECS 181 with a grade of “C” or better,
CECS 300,Design of Dynamic Web Sites,3,,,CECS 200 with a grade of “C” or better,
CECS 301,Computer Logic Design II,3,,,"CECS 174 , CECS 201 all with a grade of “C” or better",
CECS 301H,Computer Logic Design II,3,,,"CECS 174 , CECS 201 all with a grade of “C” or better",
CECS 302,Introduction to Computer Forensics,3,,,"CECS 100 Introduction to principles of digital forensics, evidence collection, preservation and analysis",
