course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
CHIN 101,Fundamentals of Chinese,4,,,"One GE Foundation course which may be taken concurrently, or formal prerequisites and/or competency equivalent for CHIN 101",
CHIN 102,Fundamentals of Chinese,4,,,"One GE Foundation course which may be taken concurrently, or formal prerequisites and/or competency equivalent for advanced study in Chinese",
CHIN 201,Intermediate Chinese,4,,,"CHIN 102; GE Foundation requirements, or formal prerequisites and/or competency equivalent for advanced study in Chinese",
CHIN 202,Intermediate Chinese,4,,,"CHIN 201; GE Foundation requirements, or formal prerequisites and/or competency equivalent for advanced study in Chinese",
CHIN 301,Advanced Chinese,3,,,CHIN 202 or its equivalent,
CHIN 370,Chinese Literature in English Translation,3,,,GE Foundation requirements,
CHIN 380,Languages and Dialects in China,3,,,CHIN 102 or equivalent,
CHIN 390,Topics in Chinese Cultural Studies,3,,,Upper-division standing,
CHIN 462,Contrastive Analysis of Chinese and English,3,,,Upper-division standing,
CHIN 481,Principles and Practice of Teaching Chinese,3,,,Upper-division standing,
CHIN 499,Directed Studies in Chinese,,,,Consent of instructor,
CHIN 561,Structure of Modern Chinese Language,3,,,Consent of instructor,
CHIN 562,Contrastive Analysis of Chinese and English,3,,,Consent of instructor,
CHIN 599,Directed Studies in Chinese,,,,Consent of instructor,
