term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,ACCT,480,ACCT 480,ACCT SYSTEMS & DATA PROCESSING,4,,01,10182,Summer_2026|ACCT 480|01|10182,FALSE,\N,306,SEM,MTuW,6-9:30PM,available,ONLINE-ONLY,Smith R,Class instruction is: Synch. Online - Meet Times.
Summer_2026,ACCT,604,ACCT 604,FORENSIC ACCOUNTING,2,,01,10165,Summer_2026|ACCT 604|01|10165,FALSE,\N,309,SEM,M,6-9:30PM,available,ONLINE-ONLY,Johnson K,Class instruction is: Online - Mixed Meet Times.
Summer_2026,ACCT,604,ACCT 604,FORENSIC ACCOUNTING,2,,01,\N,Summer_2026|ACCT 604|01|NOCLASS|1b54cc1ec3284ee4,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,ACCT,699,ACCT 699,"PROF. RESPONSIBILITIES, ETHICS",4,,01,10603,Summer_2026|ACCT 699|01|10603,FALSE,\N,309,SEM,W,6-9:30PM,available,ONLINE-ONLY,Sharpstone L,Class instruction is: Online - Mixed Meet Times.Course enrollment for Summer Online MBA Program students.
Summer_2026,ACCT,699,ACCT 699,"PROF. RESPONSIBILITIES, ETHICS",4,,01,\N,Summer_2026|ACCT 699|01|NOCLASS|a4520b419b9e09ba,FALSE,\N,,,Sa,8-3:30PM,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,ACCT,699,ACCT 699,"PROF. RESPONSIBILITIES, ETHICS",4,,01,\N,Summer_2026|ACCT 699|01|NOCLASS|0cae4877be6fbad8,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,ACCT,470,ACCT 470,AUDITING,4,GE AREA: F-Capstone,02,10873,Summer_2026|ACCT 470|02|10873,FALSE,\N,311,SEM,MTuW,5-8:20PM,available,COB-218,Zhang S,Class instruction is: Hybrid (Face to Face & Synch).In Person Exams: The class will meet in person for exam dates. Please refer to the syllabi for more information.
Summer_2026,ACCT,470,ACCT 470,AUDITING,4,GE AREA: F-Capstone,02,\N,Summer_2026|ACCT 470|02|NOCLASS|4d819607bf96f113,FALSE,\N,,,MTuW,NA,,ONLINE-ONLY,Zhang S,additional meeting detail
Summer_2026,ACCT,610,ACCT 610,MANAGERIAL ACCOUNTING CONTROL,3,,01,10436,Summer_2026|ACCT 610|01|10436,FALSE,\N,309,SEM,M,6-8:45PM,,ONLINE-ONLY,Lin P,Class instruction is: Online - Mixed Meet Times.Seats are reserved for OMBA Summer Program CourseOnline course- 50% synchronous- 1 synchronous class meeting day per week; Details to be included in syllabus.
Summer_2026,ACCT,610,ACCT 610,MANAGERIAL ACCOUNTING CONTROL,3,,01,\N,Summer_2026|ACCT 610|01|NOCLASS|8680dad98f5987e9,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
