term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,ART,291,ART 291,INTRO STUDIO: ANIMATION,3,,01,10841,Summer_2026|ART 291|01|10841,FALSE,\N,311,ACT,MTuW,9:30-2:30PM,available,LA5-346,Mintz A,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,ART,291,ART 291,INTRO STUDIO: ANIMATION,3,,01,\N,Summer_2026|ART 291|01|NOCLASS|d69f97c880832912,FALSE,\N,,,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,additional meeting detail
Summer_2026,ART,291,ART 291,INTRO STUDIO: ANIMATION,3,,02,10420,Summer_2026|ART 291|02|10420,FALSE,\N,306,ACT,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,Class instruction is: Synch. Online - Meet Times.
Summer_2026,ART,391,ART 391,CORE STUDIO:ANIMATION-PRACTICE,3,,01,10418,Summer_2026|ART 391|01|10418,FALSE,\N,311,ACT,MTuW,9:30-2:30PM,available,LA5-346,Mintz A,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,ART,391,ART 391,CORE STUDIO:ANIMATION-PRACTICE,3,,01,\N,Summer_2026|ART 391|01|NOCLASS|1ec59857c94e0488,FALSE,\N,,,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,additional meeting detail
Summer_2026,ART,391,ART 391,CORE STUDIO:ANIMATION-PRACTICE,3,,02,10842,Summer_2026|ART 391|02|10842,FALSE,\N,306,ACT,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,Class instruction is: Synch. Online - Meet Times.
Summer_2026,ART,392,ART 392,ANIMATION: ACTING AND STAGING,3,,01,10839,Summer_2026|ART 392|01|10839,FALSE,\N,311,ACT,MTuW,9:30-2:30PM,available,LA5-346,Mintz A,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,ART,392,ART 392,ANIMATION: ACTING AND STAGING,3,,01,\N,Summer_2026|ART 392|01|NOCLASS|6879b6607ca672f6,FALSE,\N,,,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,additional meeting detail
Summer_2026,ART,392,ART 392,ANIMATION: ACTING AND STAGING,3,,02,10840,Summer_2026|ART 392|02|10840,FALSE,\N,306,ACT,MTuW,9:30-2:30PM,available,ONLINE-ONLY,Mintz A,Class instruction is: Synch. Online - Meet Times.
Summer_2026,ART,393,ART 393,CORE STUDIO:ANIMATION-DESIGN 1,3,,01,10419,Summer_2026|ART 393|01|10419,FALSE,\N,311,ACT,MTuW,9:30-2:30PM,,LA5-346,Mintz A,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,ART,393,ART 393,CORE STUDIO:ANIMATION-DESIGN 1,3,,01,\N,Summer_2026|ART 393|01|NOCLASS|558f16095076c215,FALSE,\N,,,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,additional meeting detail
Summer_2026,ART,393,ART 393,CORE STUDIO:ANIMATION-DESIGN 1,3,,02,10485,Summer_2026|ART 393|02|10485,FALSE,\N,306,ACT,MTuW,9:30-2:30PM,available,ONLINE-ONLY,Mintz A,Instructor Consent RequiredClass instruction is: Synch. Online - Meet Times.
Summer_2026,ART,495,ART 495,FIELD STUDIES IN ART,1,,01,10379,Summer_2026|ART 495|01|10379,FALSE,\N,"3,305",SUP,TBA,NA,available,ONLINE-ONLY,Staff,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Summer_2026,ART,499E,ART 499E,SPECIAL STUDIES IN ANIMATION,3,,01,10421,Summer_2026|ART 499E|01|10421,FALSE,\N,"1,311",ACT,MTuW,9:30-2:30PM,available,LA5-346,Mintz A,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,ART,499E,ART 499E,SPECIAL STUDIES IN ANIMATION,3,,01,\N,Summer_2026|ART 499E|01|NOCLASS|182bc240b01db7cc,FALSE,\N,,,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,additional meeting detail
